Well Name,Stages,Top Perf,Bottom Perf,Num Perfs,Plug Depth,TVD,Capacity Top Perf,Capacity Bottom Perf,Capacity Plug,Date,IWHP,Break Pres,Start Time,End Time,Pump Time,Ave Rate,Ave Pres,Max Rate,Max Pres,ISIP,FG,Design,Avg HHP,15 minute SIP,15% HCl Acid,Slickwater,Pump Down,Total Fluid,100 Mesh,Total Proppant,100 Mesh,Delivered Total Prop,Plexslick 957 gal,Chemplex 4-N-1 gal,Payzone 845 gal,Payzone 850 gal,Payzone 217 gal,Stim741 Gel gal,15% HCl Acid gal
Silvertip A 1H,1.0,23230.0,23392.0,24.0,23411.0,12540.0,423.5,425.9,426.2,43223.0,4780.0,7570.0,0.54,0.9,0.36,56.0,11291.0,67.0,13500.0,6340.0,0.94,55.0,15497.0,,29.0,12077.0,255.0,12362.0,443960.0,443960.0,443960.0,443960.0,511.0,7.0,99.0,38.0,99.0,30.0,1237.0
Silvertip A 1H,2.0,23029.0,23191.0,24.0,23210.0,12534.0,420.5,422.9,423.2,43224.0,5160.0,9050.0,0.62,0.75,0.13,58.0,11606.0,57.0,12230.0,6555.0,0.96,55.0,16499.0,,30.0,8958.0,250.0,9238.0,248520.0,248520.0,248520.0,248520.0,366.0,8.0,67.0,28.0,67.0,20.0,1264.0
Silvertip A 1H,3.0,22829.0,22990.0,24.0,23009.0,12531.0,417.5,419.9,420.2,43224.0,5240.0,8610.0,0.99,0.18,0.19,53.7,12067.0,58.5,12350.0,5730.0,0.89,55.0,15882.0,,26.0,13194.0,241.0,13462.0,502480.0,502480.0,502480.0,502480.0,570.0,7.0,111.0,42.0,111.0,20.0,1111.0
Silvertip A 1H,4.0,22628.0,22790.0,24.0,22809.0,12523.0,414.5,416.9,417.2,43225.0,5095.0,8300.0,0.43,0.63,0.19,57.5,11747.0,59.5,12270.0,5800.0,0.9,55.0,16555.0,,30.0,14223.0,240.0,14493.0,504680.0,504680.0,504680.0,504680.0,596.0,8.0,118.0,46.0,118.0,20.0,1251.0
Silvertip A 1H,5.0,22427.0,22589.0,32.0,22608.0,12509.0,411.5,413.9,414.2,43225.0,4860.0,9580.0,0.84,0.01,0.17,58.6,11951.0,63.5,12300.0,6020.0,0.91,55.0,17165.0,,29.0,12109.0,224.0,12362.0,496340.0,496340.0,496340.0,496340.0,503.0,7.0,102.0,38.0,102.0,20.0,1206.0
Silvertip A 1H,6.0,22227.0,22388.0,24.0,22407.0,12505.0,408.5,410.9,411.2,43226.0,4790.0,8250.0,0.23,0.39,0.16,59.2,11574.0,62.8,12150.0,6085.0,0.92,55.0,16794.0,,30.0,11793.0,210.0,12033.0,484500.0,484500.0,484500.0,484500.0,483.0,8.0,99.0,37.0,99.0,20.0,1261.0
Silvertip A 1H,7.0,22026.0,22188.0,24.0,22207.0,12513.0,405.5,407.9,408.2,43226.0,48000.0,8050.0,0.67,0.92,0.25,61.0,12088.0,66.0,12310.0,5985.0,0.91,55.0,18073.0,,29.0,14573.0,191.0,14793.0,498860.0,498860.0,498860.0,498860.0,603.0,7.0,123.0,46.0,123.0,20.0,1227.0
Silvertip A 1H,8.0,21825.0,21987.0,24.0,22006.0,12526.0,402.5,404.9,405.2,43227.0,4970.0,7770.0,0.15,0.44,0.29,56.0,11627.0,62.0,12160.0,6210.0,0.93,55.0,15959.0,,30.0,13813.0,213.0,14056.0,494120.0,494120.0,494120.0,494120.0,606.0,8.0,116.0,45.0,116.0,20.0,1251.0
Silvertip A 1H,9.0,21625.0,21786.0,24.0,21805.0,12536.0,399.5,401.9,402.2,43227.0,4910.0,7910.0,0.63,0.83,0.2,54.6,11480.0,63.7,12250.0,6310.0,0.94,55.0,15363.0,,29.0,12350.0,222.0,12600.0,500040.0,500040.0,500040.0,500040.0,514.0,7.0,104.0,39.0,104.0,20.0,1211.0
Silvertip A 1H,10.0,21424.0,21586.0,24.0,21605.0,12536.0,396.5,399.0,399.2,43228.0,5420.0,,0.05,0.21,0.16,58.3,11965.0,61.3,12250.0,6257.0,0.93,55.0,17097.0,,28.0,11393.0,195.0,11617.0,500640.0,500640.0,500640.0,500640.0,473.0,7.0,96.0,36.0,96.0,20.0,1190.0
Silvertip A 1H,11.0,21223.0,21385.0,24.0,21404.0,12534.0,393.5,396.0,396.2,43228.0,5080.0,9150.0,0.39,0.62,0.23,54.0,11980.0,59.5,12270.0,6260.0,0.93,55.0,15856.0,,30.0,11452.0,180.0,11661.0,252460.0,252460.0,252460.0,252460.0,495.0,7.0,98.0,37.0,98.0,30.0,1240.0
Silvertip A 1H,12.0,21023.0,21184.0,24.0,21203.0,12535.0,390.6,393.0,393.2,43228.0,5330.0,8070.0,0.8,0.95,0.15,61.1,11992.0,63.9,12280.0,7640.0,1.04,55.0,17959.0,,30.0,11363.0,212.0,11606.0,498460.0,498460.0,498460.0,498460.0,472.0,8.0,96.0,36.0,96.0,20.0,1269.0
Silvertip A 1H,13.0,20822.0,20984.0,24.0,21003.0,12531.0,387.6,390.0,390.3,43229.0,5460.0,9040.0,0.12,0.36,0.24,51.0,12030.0,62.0,12410.0,5610.0,0.88,55.0,15038.0,,30.0,16412.0,194.0,16635.0,508040.0,508040.0,508040.0,508040.0,531.0,7.0,137.0,52.0,137.0,30.0,1240.0
Silvertip A 1H,14.0,20621.0,20783.0,24.0,20802.0,12525.0,384.6,387.0,387.3,43229.0,5230.0,8380.0,0.54,0.7,0.16,58.0,11840.0,63.7,12310.0,6240.0,0.93,55.0,16831.0,,30.0,11526.0,174.0,11730.0,499200.0,499200.0,499200.0,499200.0,479.0,8.0,98.0,37.0,98.0,20.0,1251.0
Silvertip A 1H,15.0,20421.0,20582.0,24.0,20601.0,12513.0,381.6,384.0,384.3,43229.0,4960.0,8490.0,0.85,0.02,0.18,62.5,12009.0,63.8,12330.0,6242.0,0.93,55.0,18396.0,,29.0,12920.0,203.0,13152.0,502060.0,502060.0,502060.0,502060.0,536.0,7.0,108.0,41.0,108.0,20.0,1206.0
Silvertip A 1H,16.0,20220.0,20382.0,24.0,20401.0,12512.0,378.6,381.0,381.3,43230.0,5100.0,8370.0,0.17,0.32,0.15,61.0,12039.0,65.0,12280.0,5980.0,0.91,55.0,17999.0,,30.0,11612.0,164.0,11806.0,511460.0,511460.0,511460.0,511460.0,482.0,8.0,98.0,37.0,98.0,20.0,1261.0
Silvertip A 1H,17.0,20019.0,20181.0,24.0,20200.0,12517.0,375.6,378.0,378.3,43230.0,5030.0,8890.0,0.64,0.81,0.17,53.3,11919.0,66.0,12390.0,6093.0,0.92,55.0,15571.0,,28.0,11231.0,179.0,11438.0,498440.0,498440.0,498440.0,498440.0,468.0,7.0,95.0,35.0,95.0,30.0,1172.0
Silvertip A 1H,18.0,19819.0,19980.0,24.0,19999.0,12519.0,372.6,375.0,375.3,43231.0,5030.0,8250.0,0.2,0.35,0.15,58.0,12080.0,65.0,12370.0,6025.0,0.91,55.0,17173.0,,27.0,10998.0,206.0,11231.0,503580.0,503580.0,503580.0,503580.0,462.0,7.0,93.0,35.0,93.0,20.0,1150.0
Silvertip A 1H,19.0,19618.0,19780.0,24.0,19799.0,12516.0,369.6,372.0,372.3,43231.0,4790.0,8630.0,0.82,0.96,0.15,59.5,12002.0,63.7,12425.0,6308.0,0.94,55.0,17503.0,,29.0,10944.0,171.0,11144.0,497560.0,497560.0,497560.0,497560.0,454.0,7.0,92.0,35.0,92.0,30.0,1219.0
Silvertip A 1H,20.0,19418.0,19579.0,24.0,19598.0,12518.0,366.6,369.0,369.3,43232.0,5380.0,8000.0,0.13,0.34,0.21,63.8,11930.0,66.0,12450.0,6240.0,0.93,55.0,18655.0,,30.0,12530.0,154.0,12714.0,508010.0,508010.0,508010.0,508010.0,536.0,8.0,105.0,39.0,105.0,30.0,1275.0
Silvertip A 1H,21.0,19217.0,19379.0,24.0,19398.0,12521.0,363.6,366.0,366.3,43232.0,5540.0,7860.0,0.5,0.67,0.17,61.8,11730.0,64.5,12330.0,6110.0,0.92,55.0,17768.0,,27.0,12853.0,152.0,13032.0,499900.0,499900.0,499900.0,499900.0,550.0,7.0,110.0,41.0,110.0,20.0,1150.0
