Stage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Top Perf,"21,923","21,722","21,521","21,320","21,119","20,918","20,717","20,516","20,314","20,113","19,912","19,711","19,510","19,309","19,108","18,907","18,706","18,505","18,304","18,103","17,902","17,701","17,500","17,299","17,098","16,897","16,696","16,495","16,294","16,093","15,892","15,691","15,490","15,289","15,087","14,886","14,685","14,484","14,283","14,082","13,881","13,680","13,479","13,278","13,077","12,876","12,675","12,474"
Bottom Perf,"22,085","21,884","21,683","21,482","21,281","21,080","20,879","20,678","20,477","20,275","20,074","19,873","19,672","19,471","19,270","19,069","18,868","18,667","18,466","18,265","18,064","17,863","17,662","17,461","17,260","17,059","16,858","16,657","16,456","16,255","16,054","15,853","15,652","15,451","15,250","15,048","14,847","14,646","14,445","14,244","14,043","13,842","13,541","13,440","13,239","13,038","12,837","12,636"
Num Perfs,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Plug Depth,"22,104","21,903","21,702","21,501","21,300","21,099","20,898","20,697","20,496","20,294","20,093","19,892","19,691","19,490","19,289","19,088","18,887","18,686","18,485","18,284","18,083","17,882","17,681","17,480","17,279","17,078","16,877","16,676","16,475","16,274","16,073","15,872","15,671","15,470","15,269","15,067","14,866","14,665","14,464","14,263","14,062","13,861","13,660","13,459","13,258","13,057","12,856","12,655"
TVD,"12,138","12,144","12,144","12,144","12,144","12,146","12,149","12,153","12,157","12,160","12,163","12,167","12,170","12,173","12,176","12,179","12,181","12,185","12,189","12,192","12,195","12,198","12,203","12,205","12,209","12,212","12,215","12,217","12,219","12,220","12,221","12,223","12,226","12,228","12,229","12,231","12,232","12,236","12,238","12,240","12,241","12,243","12,245","12,247","12,248","12,249","12,250","12,251"
Capacity Top Perf,401.5,398.5,395.5,392.5,389.5,386.5,383.5,380.5,377.5,374.5,371.5,368.5,365.5,362.5,359.5,356.5,353.5,350.5,347.5,344.5,341.5,338.5,335.5,332.5,329.4,326.4,323.4,320.4,317.4,314.4,311.4,308.4,305.4,302.4,299.4,296.4,293.4,290.4,287.4,284.4,281.4,278.4,275.4,272.4,269.4,266.4,263.4,260.4
Capacity Bottom Perf,403.9,400.9,397.9,394.9,391.9,388.9,385.9,382.9,379.9,376.9,373.9,370.9,367.9,364.9,361.9,358.9,355.9,352.9,349.9,346.9,343.9,340.9,337.9,334.9,331.9,328.9,325.9,322.9,319.9,316.9,313.9,310.9,307.9,304.9,301.9,298.8,295.8,292.8,289.8,286.8,283.8,280.8,276.3,274.8,271.8,268.8,265.8,262.8
Capacity Plug,404.2,401.2,398.2,395.2,392.2,389.2,386.2,383.2,380.2,377.2,374.2,371.2,368.2,365.2,362.2,359.2,356.2,353.2,350.2,347.2,344.2,341.2,338.2,335.2,332.2,329.2,326.1,323.1,320.1,317.1,314.1,311.1,308.1,305.1,302.1,299.1,296.1,293.1,290.1,287.1,284.1,281.1,278.1,275.1,272.1,269.1,266.1,263.1
Date,7/11/18,7/12/18,7/12/18,7/13/18,7/13/18,7/13/18,7/14/18,7/14/18,7/14/18,7/15/18,7/15/18,7/15/18,7/15/18,7/16/18,7/16/18,7/16/18,7/17/18,7/17/18,7/17/18,7/17/18,7/17/18,7/17/18,7/17/18,7/19/18,7/19/18,7/19/18,7/20/18,7/20/18,7/20/18,7/20/18,7/21/18,7/21/18,7/21/18,7/21/18,7/22/18,7/22/18,7/22/18,7/23/18,7/23/18,7/23/18,7/24/18,7/24/18,7/24/18,7/25/18,7/25/18,7/25/18,7/25/18,7/26/18
IWHP,"4,750","5,170","5,320","5,180","5,140","5,320","5,380","5,410","5,170","5,100","5,270","5,420","5,410","5,280","5,000","5,060","5,230","5,110","5,230","5,090","4,980","5,130","5,070","5,020","4,820","5,060","5,000","4,880","4,970","5,130","5,090","5,190","5,050","5,270","4,960","5,120","5,150","4,880","5,300","5,030","4,570","5,060","5,000","5,130","5,200","5,130","5,130","5,130"
