Chart,,,,,,,,,,,
,BHP,BHP at gauge,Casing Pressure,Choke,Gas Rate,Injection Rate,Measured BHP,Measured BHT,Oil Rate,Tubing Pressure,Water Rate
2018-09-23 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-24 19:00:00,7750.10,,3930.00,25.00,1011.00,0.00,0.00,0.00,436.00,0.00,518.00
2018-09-25 19:00:00,7972.00,,3930.00,25.00,3758.37,0.00,0.00,0.00,1470.00,0.00,2918.00
2018-09-26 19:00:00,7947.05,,3839.00,28.00,3397.12,0.00,0.00,0.00,1376.00,0.00,2860.00
2018-09-27 19:00:00,7630.15,,3515.00,35.00,4175.96,0.00,0.00,0.00,1684.00,0.00,3570.00
2018-09-28 19:00:00,7466.37,,3373.00,42.00,4797.87,0.00,0.00,0.00,1916.00,0.00,3975.00
2018-09-29 19:00:00,7170.52,,3061.00,52.00,7939.39,0.00,0.00,0.00,3027.00,0.00,6263.00
2018-09-30 19:00:00,7028.35,,2821.00,57.00,8585.28,0.00,0.00,0.00,3506.00,0.00,7257.00
2018-10-01 19:00:00,7057.98,,2821.00,57.00,9514.97,0.00,0.00,0.00,3807.00,0.00,8027.00
2018-10-02 19:00:00,7054.77,,2821.00,57.00,9524.85,0.00,0.00,0.00,3680.00,0.00,8084.00
2018-10-03 19:00:00,6374.87,,2200.00,64.00,10244.41,0.00,0.00,0.00,3884.00,0.00,8233.00
2018-10-04 19:00:00,6134.53,,1975.00,64.00,10992.37,0.00,0.00,0.00,4075.00,0.00,8675.00
2018-10-05 19:00:00,6623.58,,2427.00,49.00,10002.98,0.00,0.00,0.00,3738.00,0.00,8208.00
2018-10-06 19:00:00,6434.95,,2249.00,57.00,9924.92,0.00,0.00,0.00,3213.00,0.00,8488.00
2018-10-07 19:00:00,5935.55,,1790.00,64.00,10688.26,0.00,0.00,0.00,3936.00,0.00,8665.00
2018-10-08 19:00:00,5909.24,,1780.00,64.00,10963.70,0.00,0.00,0.00,4135.00,0.00,8596.00
2018-10-09 19:00:00,5924.74,,1780.00,64.00,11220.49,0.00,0.00,0.00,4266.00,0.00,8803.00
2018-10-10 19:00:00,5817.96,,1697.00,64.00,11087.84,0.00,0.00,0.00,4225.00,0.00,8671.00
2018-10-11 19:00:00,5777.86,,1666.00,64.00,10848.91,0.00,0.00,0.00,4163.00,0.00,8535.00
2018-10-12 19:00:00,5740.37,,1640.00,64.00,10549.81,0.00,0.00,0.00,4060.00,0.00,8354.00
2018-10-13 19:00:00,5716.73,,1623.00,64.00,10204.93,0.00,0.00,0.00,3957.00,0.00,8164.00
2018-10-14 19:00:00,5681.24,,1602.00,64.00,9855.51,0.00,0.00,0.00,3788.00,0.00,7955.00
2018-10-15 19:00:00,5648.05,,1563.00,64.00,9641.42,0.00,0.00,0.00,3765.00,0.00,7929.00
2018-10-16 19:00:00,5633.12,,1563.00,64.00,9573.52,0.00,0.00,0.00,3693.00,0.00,7818.00
2018-10-17 19:00:00,5628.83,,1563.00,64.00,9121.43,0.00,0.00,0.00,3525.00,0.00,7560.00
2018-10-18 19:00:00,5559.23,,1517.00,64.00,9460.35,0.00,0.00,0.00,3647.00,0.00,7643.00
2018-10-19 19:00:00,5506.09,,1493.00,64.00,9509.24,0.00,0.00,0.00,3648.00,0.00,7518.00
2018-10-20 19:00:00,5472.29,,1466.00,64.00,9311.21,0.00,0.00,0.00,3583.00,0.00,7421.00
2018-10-21 19:00:00,5430.06,,1433.00,64.00,9138.85,0.00,0.00,0.00,3512.00,0.00,7345.00
2018-10-22 19:00:00,5408.26,,1420.00,64.00,8996.85,0.00,0.00,0.00,3452.00,0.00,7247.00
2018-10-23 19:00:00,5381.30,,1420.00,64.00,9064.39,0.00,0.00,0.00,3489.00,0.00,7087.00
2018-10-24 19:00:00,5263.89,,1420.00,64.00,9652.08,0.00,0.00,0.00,3787.00,0.00,6510.00
2018-10-25 19:00:00,5172.93,,1376.00,64.00,9508.68,0.00,0.00,0.00,3712.00,0.00,6266.00
2018-10-26 19:00:00,5039.62,,1282.00,64.00,8737.82,0.00,0.00,0.00,3459.00,0.00,5895.00
2018-10-27 19:00:00,5241.70,,1420.00,64.00,8721.41,0.00,0.00,0.00,3487.00,0.00,5920.00
