Chart,,,,,,,,,
,BHP,BHP at gauge,Casing Pressure,Choke,Gas Rate,Injection Rate,Oil Rate,Tubing Pressure,Water Rate
2018-09-29 19:00:00,0.00,,,,0.00,0.00,0.00,,0.00
2018-11-14 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-15 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-16 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-17 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-18 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-19 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-20 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-21 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-22 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-23 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-24 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-25 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-26 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-27 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-28 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-29 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-30 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-01 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-02 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-03 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-04 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-05 18:00:00,5627.18,,1525.00,28.00,908.66,0.00,389.00,0.00,861.00
2018-12-06 18:00:00,5825.33,,1515.00,31.00,1213.11,0.00,491.00,0.00,1859.00
2018-12-07 18:00:00,6217.84,,1919.00,31.00,2032.73,0.00,652.00,0.00,2971.00
2018-12-08 18:00:00,6331.34,,1953.00,31.00,1389.98,0.00,363.00,0.00,2232.00
2018-12-09 18:00:00,5531.03,,1396.00,49.00,3083.97,0.00,1271.00,0.00,4005.00
2018-12-10 18:00:00,6077.27,,1821.00,49.00,2594.90,0.00,913.00,0.00,3621.00
2018-12-11 18:00:00,5809.09,,1630.00,51.00,2098.94,0.00,945.00,0.00,2644.00
2018-12-12 18:00:00,5440.51,,1309.00,51.00,3623.27,0.00,1586.00,0.00,4710.00
2018-12-13 18:00:00,5424.20,,1273.00,54.00,4138.99,0.00,1865.00,0.00,5446.00
2018-12-14 18:00:00,5309.14,,1236.00,64.00,3112.34,0.00,1234.00,0.00,4045.00
2018-12-15 18:00:00,5216.24,,1121.00,64.00,4417.27,0.00,1772.00,0.00,5944.00
2018-12-16 18:00:00,5158.54,,1095.00,64.00,4589.59,0.00,1815.00,0.00,6032.00
2018-12-17 18:00:00,4986.69,,1034.00,64.00,2257.83,0.00,922.00,0.00,2867.00
2018-12-18 18:00:00,5082.11,,1048.00,64.00,4435.95,0.00,1815.00,0.00,5783.00
2018-12-19 18:00:00,5019.14,,993.00,64.00,4522.04,0.00,1809.00,0.00,6041.00
2018-12-20 18:00:00,5236.68,,1135.00,35.00,4324.80,0.00,1723.00,0.00,5851.00
2018-12-21 18:00:00,5280.64,,1186.00,35.00,2303.51,0.00,908.00,0.00,3177.00
2018-12-22 18:00:00,5305.50,,1199.00,60.00,2269.29,0.00,917.00,0.00,3136.00
2018-12-23 18:00:00,5126.35,,1085.00,64.00,3456.98,0.00,1423.00,0.00,4595.00
2018-12-24 18:00:00,4995.22,,985.00,57.00,3746.10,0.00,1567.00,0.00,5038.00
2018-12-25 18:00:00,4965.67,,970.00,57.00,3825.02,0.00,1544.00,0.00,5148.00
2018-12-26 18:00:00,4833.70,,918.00,64.00,3347.12,0.00,1365.00,0.00,4351.00
2018-12-27 18:00:00,3998.32,,888.00,64.00,4448.75,0.00,1785.00,0.00,2623.00
2018-12-28 18:00:00,4764.77,,845.00,64.00,4287.82,0.00,1733.00,0.00,5719.00
2018-12-29 18:00:00,4728.41,,821.00,64.00,4311.24,0.00,1720.00,0.00,5797.00
2018-12-30 18:00:00,4697.35,,800.00,64.00,4167.55,0.00,1660.00,0.00,5675.00
2018-12-31 18:00:00,4664.58,,783.00,64.00,4150.95,0.00,1662.00,0.00,5640.00
2019-01-01 18:00:00,4634.93,,766.00,64.00,4151.97,0.00,1678.00,0.00,5637.00
2019-01-02 18:00:00,4586.88,,751.00,64.00,4123.66,0.00,1643.00,0.00,5527.00
2019-01-03 18:00:00,4570.54,,744.00,64.00,4019.33,0.00,1598.00,0.00,5399.00
2019-01-04 18:00:00,4562.70,,745.00,64.00,4027.86,0.00,1603.00,0.00,5360.00
2019-01-05 18:00:00,4571.64,,750.00,64.00,4087.91,0.00,1623.00,0.00,5427.00
2019-01-06 18:00:00,4580.03,,762.00,64.00,3969.64,0.00,1578.00,0.00,5224.00
2019-01-07 18:00:00,4556.41,,754.00,64.00,4004.18,0.00,1594.00,0.00,5221.00
2019-01-08 18:00:00,4530.05,,745.00,64.00,4020.68,0.00,1610.00,0.00,5189.00
2019-01-09 18:00:00,4519.18,,741.00,64.00,3984.22,0.00,1601.00,0.00,5130.00
2019-01-10 18:00:00,4558.79,,730.00,64.00,3773.79,0.00,1593.00,0.00,5105.00
2019-01-11 18:00:00,4570.51,,722.00,64.00,3692.90,0.00,1599.00,0.00,5101.00
2019-01-12 18:00:00,4552.86,,718.00,64.00,3650.91,0.00,1577.00,0.00,5009.00
2019-01-13 18:00:00,4538.63,,711.00,64.00,3615.93,0.00,1574.00,0.00,4954.00
2019-01-14 18:00:00,4524.77,,716.00,64.00,3390.14,0.00,1480.00,0.00,4577.00
2019-01-15 18:00:00,4521.71,,706.00,64.00,3511.17,0.00,1522.00,0.00,4804.00
2019-01-16 18:00:00,5928.47,,1689.00,64.00,2393.49,0.00,1038.00,0.00,3249.00
2019-01-17 18:00:00,0.00,,1689.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-01-18 18:00:00,0.00,,1689.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-01-19 18:00:00,0.00,,1689.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-01-20 18:00:00,0.00,,1689.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-01-21 18:00:00,0.00,,1689.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-01-22 18:00:00,0.00,,1689.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-01-23 18:00:00,0.00,,1689.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-01-24 18:00:00,0.00,,1689.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-01-25 18:00:00,0.00,,1689.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-01-26 18:00:00,0.00,,1689.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-01-27 18:00:00,0.00,,1689.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-01-28 18:00:00,0.00,,1689.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-01-29 18:00:00,0.00,,1689.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-01-30 18:00:00,0.00,,1689.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-01-31 18:00:00,0.00,,1689.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-01 18:00:00,0.00,,1689.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-02 18:00:00,0.00,,1689.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-03 18:00:00,0.00,,1689.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-04 18:00:00,0.00,,1689.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-05 18:00:00,4421.88,,1121.00,64.00,174.18,0.00,111.00,0.00,21.00
