Chart,,,,,,,,,
,BHP,BHP at gauge,Casing Pressure,Choke,Gas Rate,Injection Rate,Oil Rate,Tubing Pressure,Water Rate
2018-09-29 19:00:00,0.00,,,,0.00,0.00,0.00,,0.00
2018-11-14 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-15 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-16 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-17 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-18 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-19 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-20 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-21 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-22 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-23 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-24 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-25 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-26 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-27 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-28 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-29 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-11-30 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-01 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-02 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-03 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-04 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-05 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-06 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-07 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-08 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-09 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-10 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-11 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-12 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-13 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-14 18:00:00,7500.40,,2975.00,27.00,634.09,0.00,160.00,0.00,679.00
2018-12-15 18:00:00,6223.09,,1758.00,31.00,2171.86,0.00,300.00,0.00,3534.00
2018-12-16 18:00:00,5829.18,,1520.00,34.00,3319.78,0.00,941.00,0.00,4482.00
2018-12-17 18:00:00,5520.88,,1297.00,48.00,3730.10,0.00,1088.00,0.00,4928.00
2018-12-18 18:00:00,5110.06,,1064.00,55.00,4736.21,0.00,1381.00,0.00,5741.00
2018-12-19 18:00:00,5069.58,,1064.00,55.00,4669.74,0.00,1355.00,0.00,5480.00
2018-12-20 18:00:00,4619.50,,832.00,64.00,4618.08,0.00,1334.00,0.00,5289.00
2018-12-21 18:00:00,4464.58,,775.00,64.00,4783.29,0.00,1381.00,0.00,5304.00
2018-12-22 18:00:00,4433.99,,775.00,64.00,4433.02,0.00,1284.00,0.00,4858.00
2018-12-23 18:00:00,4560.26,,852.00,64.00,4311.26,0.00,1234.00,0.00,4629.00
2018-12-24 18:00:00,4299.01,,732.00,57.00,3654.16,0.00,1042.00,0.00,4001.00
2018-12-25 18:00:00,4222.56,,707.00,57.00,3644.86,0.00,1055.00,0.00,3925.00
2018-12-26 18:00:00,4020.30,,643.00,57.00,2703.84,0.00,776.00,0.00,2890.00
2018-12-27 18:00:00,4009.73,,622.00,64.00,3768.71,0.00,1082.00,0.00,4051.00
2018-12-28 18:00:00,3925.14,,599.00,64.00,3610.21,0.00,1062.00,0.00,3810.00
2018-12-29 18:00:00,3898.72,,599.00,64.00,3499.08,0.00,1010.00,0.00,3658.00
2018-12-30 18:00:00,3781.84,,561.00,64.00,3386.34,0.00,976.00,0.00,3523.00
2018-12-31 18:00:00,3750.19,,549.00,64.00,3289.77,0.00,956.00,0.00,3431.00
2019-01-01 18:00:00,3721.75,,538.00,64.00,3195.93,0.00,943.00,0.00,3333.00
2019-01-02 18:00:00,3682.91,,533.00,64.00,3138.23,0.00,907.00,0.00,3243.00
2019-01-03 18:00:00,3629.92,,518.00,64.00,3077.53,0.00,885.00,0.00,3171.00
2019-01-04 18:00:00,3594.73,,510.00,64.00,3018.53,0.00,869.00,0.00,3091.00
2019-01-05 18:00:00,3560.97,,503.00,64.00,2969.00,0.00,851.00,0.00,3021.00
2019-01-06 18:00:00,3515.23,,487.00,64.00,2921.08,0.00,842.00,0.00,2976.00
2019-01-07 18:00:00,3501.09,,488.00,64.00,2872.73,0.00,824.00,0.00,2902.00
2019-01-08 18:00:00,3472.59,,478.00,64.00,2823.20,0.00,819.00,0.00,2849.00
2019-01-09 18:00:00,3458.79,,472.00,64.00,2764.57,0.00,802.00,0.00,2803.00
2019-01-10 18:00:00,3428.22,,468.00,64.00,2726.23,0.00,786.00,0.00,2740.00
2019-01-11 18:00:00,3391.00,,456.00,64.00,2691.29,0.00,781.00,0.00,2701.00
2019-01-12 18:00:00,3365.63,,450.00,64.00,2639.66,0.00,765.00,0.00,2642.00
2019-01-13 18:00:00,3363.87,,446.00,64.00,2600.07,0.00,762.00,0.00,2616.00
2019-01-14 18:00:00,3340.80,,441.00,64.00,2570.86,0.00,743.00,0.00,2588.00
2019-01-15 18:00:00,3280.72,,431.00,64.00,2520.64,0.00,723.00,0.00,2498.00
2019-01-16 18:00:00,3267.17,,420.00,64.00,2503.70,0.00,719.00,0.00,2518.00
2019-01-17 18:00:00,3236.99,,418.00,64.00,2482.63,0.00,716.00,0.00,2456.00
2019-01-18 18:00:00,3367.90,,458.00,64.00,2460.28,0.00,722.00,0.00,2432.00
2019-01-19 18:00:00,3198.19,,409.00,64.00,2427.63,0.00,704.00,0.00,2388.00
2019-01-20 18:00:00,3199.32,,408.00,64.00,2396.23,0.00,697.00,0.00,2363.00
2019-01-21 18:00:00,3161.42,,403.00,64.00,2352.04,0.00,677.00,0.00,2298.00
2019-01-22 18:00:00,3206.32,,398.00,64.00,2316.64,0.00,682.00,0.00,2344.00
2019-01-23 18:00:00,3199.04,,399.00,64.00,2290.47,0.00,671.00,0.00,2307.00
2019-01-24 18:00:00,3199.48,,395.00,64.00,2257.94,0.00,765.00,0.00,2195.00
2019-01-25 18:00:00,3189.91,,394.00,64.00,2265.28,0.00,655.00,0.00,2303.00
2019-01-26 18:00:00,3188.02,,396.00,64.00,2272.34,0.00,667.00,0.00,2287.00
2019-01-27 18:00:00,3159.93,,391.00,64.00,2276.10,0.00,672.00,0.00,2270.00
2019-01-28 18:00:00,3157.88,,389.00,64.00,2260.48,0.00,671.00,0.00,2259.00
2019-01-29 18:00:00,4745.49,,361.00,64.00,540.50,0.00,155.00,726.00,475.00
2019-01-30 18:00:00,6361.97,,361.00,64.00,1.29,0.00,0.00,726.00,141.00
2019-01-31 18:00:00,0.00,,361.00,64.00,0.00,0.00,0.00,726.00,0.00
2019-02-01 18:00:00,0.00,,361.00,64.00,0.00,0.00,0.00,726.00,0.00
2019-02-02 18:00:00,0.00,,361.00,64.00,0.00,0.00,0.00,726.00,0.00
2019-02-03 18:00:00,0.00,,361.00,64.00,0.00,0.00,0.00,726.00,0.00
2019-02-04 18:00:00,4929.65,,1091.00,64.00,564.48,0.00,192.00,726.00,695.00
2019-02-05 18:00:00,4283.41,,723.00,64.00,1777.83,0.00,558.00,0.00,1937.00
