Chart,,,,,,,,
,BHP,Casing Pressure,Choke,Gas Rate,Injection Rate,Oil Rate,Tubing Pressure,Water Rate
2016-12-27 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-12-28 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-12-29 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-12-30 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-12-31 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-01 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-02 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-03 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-04 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-05 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-06 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-07 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-08 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-09 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-10 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-11 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-12 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-13 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-14 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-15 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-16 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-17 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-18 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-19 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-20 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-21 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-22 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-23 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-24 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-25 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-26 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-27 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-28 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-29 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-30 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-01-31 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-01 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-02 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-03 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-04 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-05 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-06 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-07 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-08 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-09 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-10 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-11 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-12 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-13 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-14 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-15 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-16 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-17 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-18 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-19 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-20 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-21 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-22 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-23 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-24 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-25 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-26 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-27 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-02-28 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-03-01 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-03-02 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-03-03 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-03-04 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-03-05 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-03-06 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-03-07 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-03-08 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-03-09 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-03-10 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-03-11 18:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-03-12 19:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-03-13 19:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-03-14 19:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-03-15 19:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-03-16 19:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-03-17 19:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-03-18 19:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-03-19 19:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-03-20 19:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-03-21 19:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-03-22 19:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-03-23 19:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-03-24 19:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-03-25 19:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
