Chart,,,,,,,,,
,BHP,BHP at gauge,Casing Pressure,Choke,Gas Rate,Injection Rate,Oil Rate,Tubing Pressure,Water Rate
2018-12-03 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-04 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-05 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-06 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-07 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-08 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-09 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-10 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-11 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-12 18:00:00,7702.71,,3118.00,25.00,510.65,0.00,247.00,0.00,666.00
2018-12-13 18:00:00,6714.71,,2867.00,25.00,3913.86,0.00,1977.00,0.00,2218.00
2018-12-14 18:00:00,6441.51,,2596.00,37.00,4890.66,0.00,2269.00,0.00,2880.00
2018-12-15 18:00:00,6133.35,,2305.00,37.00,7520.69,0.00,3216.00,0.00,4335.00
2018-12-16 18:00:00,6047.18,,2168.00,47.00,9281.63,0.00,3901.00,0.00,5507.00
2018-12-17 18:00:00,5856.85,,1942.00,48.00,8634.42,0.00,3705.00,0.00,5622.00
2018-12-18 18:00:00,5855.14,,1942.00,48.00,7729.52,0.00,3358.00,0.00,5162.00
2018-12-19 18:00:00,5690.33,,1901.00,36.00,7249.77,0.00,3148.00,0.00,4276.00
2018-12-20 18:00:00,5499.43,,1783.00,50.00,8189.35,0.00,3579.00,0.00,4398.00
2018-12-21 18:00:00,5290.34,,1621.00,54.00,9342.82,0.00,4086.00,0.00,4784.00
2018-12-22 18:00:00,5153.67,,1524.00,54.00,9304.86,0.00,4101.00,0.00,4699.00
2018-12-23 18:00:00,5025.49,,1464.00,54.00,9256.13,0.00,3998.00,0.00,4492.00
2018-12-24 18:00:00,4945.18,,1413.00,54.00,8263.92,0.00,3677.00,0.00,4033.00
2018-12-25 18:00:00,4781.00,,1335.00,54.00,8769.95,0.00,3774.00,0.00,4049.00
2018-12-26 18:00:00,4770.59,,1334.00,54.00,7074.26,0.00,3072.00,0.00,3402.00
2018-12-27 18:00:00,4650.59,,1271.00,54.00,8153.13,0.00,3526.00,0.00,3688.00
2018-12-28 18:00:00,4568.24,,1226.00,54.00,7893.03,0.00,3446.00,0.00,3530.00
2018-12-29 18:00:00,4473.79,,1186.00,54.00,7628.77,0.00,3301.00,0.00,3349.00
2018-12-30 18:00:00,4399.39,,1154.00,54.00,7449.31,0.00,3214.00,0.00,3217.00
2018-12-31 18:00:00,4340.03,,1126.00,54.00,7166.38,0.00,3108.00,0.00,3070.00
2019-01-01 18:00:00,4265.09,,1084.00,54.00,6946.03,0.00,3052.00,0.00,2966.00
2019-01-02 18:00:00,4196.68,,1058.00,54.00,6803.09,0.00,2951.00,0.00,2883.00
2019-01-03 18:00:00,4133.40,,1026.00,54.00,6661.53,0.00,2888.00,0.00,2830.00
2019-01-04 18:00:00,4059.86,,998.00,54.00,6526.67,0.00,2814.00,0.00,2740.00
2019-01-05 18:00:00,4010.29,,974.00,54.00,6381.36,0.00,2749.00,0.00,2689.00
2019-01-06 18:00:00,3928.32,,937.00,54.00,6311.18,0.00,2719.00,0.00,2652.00
2019-01-07 18:00:00,3884.39,,915.00,54.00,6170.26,0.00,2671.00,0.00,2601.00
2019-01-08 18:00:00,3865.10,,905.00,54.00,5896.59,0.00,2565.00,0.00,2503.00
2019-01-09 18:00:00,3801.38,,878.00,54.00,5800.56,0.00,2523.00,0.00,2460.00
2019-01-10 18:00:00,3790.20,,881.00,54.00,5818.40,0.00,2516.00,0.00,2433.00
2019-01-11 18:00:00,3531.68,,771.00,64.00,5950.34,0.00,2583.00,0.00,2475.00
2019-01-12 18:00:00,3430.33,,735.00,64.00,6510.60,0.00,2824.00,0.00,2618.00
2019-01-13 18:00:00,3376.84,,710.00,64.00,6234.96,0.00,2705.00,0.00,2563.00
2019-01-14 18:00:00,3329.36,,693.00,64.00,6047.62,0.00,2617.00,0.00,2503.00
2019-01-15 18:00:00,3293.11,,688.00,64.00,5279.70,0.00,2272.00,0.00,2216.00
2019-01-16 18:00:00,3268.18,,665.00,64.00,5720.75,0.00,2474.00,0.00,2431.00
2019-01-17 18:00:00,3233.62,,664.00,64.00,5623.22,0.00,2428.00,0.00,2326.00
2019-01-18 18:00:00,3170.88,,639.00,64.00,5513.87,0.00,2399.00,0.00,2282.00
2019-01-19 18:00:00,3118.67,,623.00,64.00,5395.44,0.00,2343.00,0.00,2227.00
2019-01-20 18:00:00,3092.15,,615.00,64.00,5315.93,0.00,2299.00,0.00,2199.00
2019-01-21 18:00:00,3060.87,,606.00,64.00,5220.08,0.00,2259.00,0.00,2153.00
2019-01-22 18:00:00,3042.98,,596.00,64.00,5093.56,0.00,2229.00,0.00,2111.00
2019-01-23 18:00:00,3002.38,,586.00,64.00,5018.54,0.00,2183.00,0.00,2071.00
2019-01-24 18:00:00,3002.21,,586.00,64.00,4926.89,0.00,2170.00,0.00,2016.00
2019-01-25 18:00:00,2950.60,,568.00,64.00,4848.30,0.00,2135.00,0.00,1988.00
2019-01-26 18:00:00,2943.99,,568.00,64.00,4776.41,0.00,2083.00,0.00,1971.00
2019-01-27 18:00:00,2924.65,,563.00,64.00,4703.48,0.00,2049.00,0.00,1940.00
2019-01-28 18:00:00,2875.96,,545.00,64.00,4618.99,0.00,2021.00,0.00,1909.00
2019-01-29 18:00:00,2872.07,,545.00,64.00,4178.15,0.00,1842.00,0.00,1747.00
2019-01-30 18:00:00,4917.56,,1523.00,64.00,2025.12,0.00,896.00,0.00,859.00
2019-01-31 18:00:00,3403.23,,556.00,64.00,922.77,0.00,423.00,0.00,520.00
2019-02-01 18:00:00,3017.63,,526.00,64.00,4761.30,0.00,2089.00,0.00,2369.00
2019-02-02 18:00:00,2926.80,,522.00,64.00,4457.48,0.00,1903.00,0.00,2137.00
2019-02-03 18:00:00,2763.73,,520.00,64.00,4630.38,0.00,1926.00,0.00,1917.00
2019-02-04 18:00:00,2706.59,,520.00,64.00,4562.31,0.00,1890.00,0.00,1790.00
2019-02-05 18:00:00,2616.82,,495.00,64.00,4554.62,0.00,1883.00,0.00,1752.00
2019-02-06 18:00:00,3019.00,,646.00,64.00,4224.10,0.00,1764.00,0.00,1604.00
2019-02-07 18:00:00,4729.18,,1425.00,0.00,1220.12,0.00,699.00,0.00,315.00
2019-02-08 18:00:00,3341.44,,665.00,64.00,2919.71,0.00,1303.00,0.00,1419.00
2019-02-09 18:00:00,3271.47,,655.00,64.00,3148.46,0.00,1359.00,0.00,1509.00
2019-02-10 18:00:00,3220.62,,650.00,64.00,3153.84,0.00,1355.00,0.00,1465.00
2019-02-11 18:00:00,3203.75,,649.00,64.00,3154.40,0.00,1362.00,0.00,1438.00
2019-02-12 18:00:00,3178.81,,646.00,64.00,3151.04,0.00,1358.00,0.00,1417.00
2019-02-13 18:00:00,3242.14,,651.00,64.00,2701.76,0.00,1187.00,0.00,1260.00
2019-02-14 18:00:00,3194.09,,645.00,64.00,3131.15,0.00,1353.00,0.00,1430.00
2019-02-15 18:00:00,3177.91,,645.00,64.00,1601.00,0.00,692.00,0.00,718.00
2019-02-16 18:00:00,0.00,,645.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-17 18:00:00,0.00,,645.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-18 18:00:00,0.00,,645.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-19 18:00:00,0.00,,645.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-20 18:00:00,0.00,,645.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-21 18:00:00,0.00,,645.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-22 18:00:00,0.00,,645.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-23 18:00:00,0.00,,645.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-24 18:00:00,0.00,,645.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-25 18:00:00,0.00,,645.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-26 18:00:00,0.00,,645.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-27 18:00:00,0.00,,645.00,0.00,0.00,0.00,0.00,0.00,0.00
2019-02-28 18:00:00,5169.83,4747.25,23.13,50.00,248.33,0.00,145.00,1085.63,261.00
2019-03-01 18:00:00,4537.93,4149.64,19.38,64.00,2461.93,0.00,1287.00,649.38,1744.00
2019-03-02 18:00:00,4418.13,4034.08,83.75,64.00,2473.53,0.00,1269.00,611.88,1685.00
2019-03-03 18:00:00,4301.25,3921.99,127.50,64.00,2398.32,0.00,1207.00,598.13,1582.00
