Chart,,,,,,,,,
,BHP,BHP at gauge,Casing Pressure,Choke,Gas Rate,Injection Rate,Oil Rate,Tubing Pressure,Water Rate
2018-12-04 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-05 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-06 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-07 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-08 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-09 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-10 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-11 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-12 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-13 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-14 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-15 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-16 18:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-17 18:00:00,0.00,,653.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-18 18:00:00,6744.06,,2493.00,23.00,592.10,0.00,361.00,0.00,507.00
2018-12-19 18:00:00,7180.96,,2454.00,23.00,1069.24,0.00,522.00,0.00,2439.00
2018-12-20 18:00:00,6905.32,,2344.00,25.00,1888.78,0.00,869.00,0.00,3555.00
2018-12-21 18:00:00,6791.15,,2227.00,30.00,2021.00,0.00,943.00,0.00,3908.00
2018-12-22 18:00:00,6603.83,,2081.00,35.00,2265.27,0.00,1042.00,0.00,4248.00
2018-12-23 18:00:00,6352.68,,1942.00,40.00,3419.96,0.00,1490.00,0.00,5733.00
2018-12-24 18:00:00,6081.34,,1753.00,45.00,4314.61,0.00,1890.00,0.00,6709.00
2018-12-25 18:00:00,5896.61,,1651.00,48.00,5130.99,0.00,2147.00,0.00,7380.00
2018-12-26 18:00:00,5831.07,,1584.00,51.00,4343.56,0.00,1801.00,0.00,6393.00
2018-12-27 18:00:00,5596.65,,1418.00,57.00,5172.98,0.00,2169.00,0.00,7338.00
2018-12-28 18:00:00,5375.09,,1275.00,64.00,6155.50,0.00,2575.00,0.00,8357.00
2018-12-29 18:00:00,5196.42,,1173.00,64.00,6581.94,0.00,2719.00,0.00,8588.00
2018-12-30 18:00:00,5091.48,,1111.00,64.00,6658.37,0.00,2745.00,0.00,8566.00
2018-12-31 18:00:00,5049.67,,1087.00,64.00,6443.20,0.00,2675.00,0.00,8246.00
2019-01-01 18:00:00,4975.79,,1042.00,64.00,6197.42,0.00,2614.00,0.00,7881.00
2019-01-02 18:00:00,4887.64,,999.00,64.00,6093.54,0.00,2544.00,0.00,7628.00
2019-01-03 18:00:00,4847.92,,976.00,64.00,5921.79,0.00,2471.00,0.00,7413.00
2019-01-04 18:00:00,4806.33,,956.00,64.00,5753.97,0.00,2398.00,0.00,7157.00
2019-01-05 18:00:00,4761.57,,936.00,64.00,5575.10,0.00,2323.00,0.00,6870.00
2019-01-06 18:00:00,4715.05,,914.00,64.00,5502.80,0.00,2296.00,0.00,6723.00
2019-01-07 18:00:00,4681.49,,896.00,64.00,5393.50,0.00,2264.00,0.00,6572.00
2019-01-08 18:00:00,4632.08,,871.00,64.00,5285.35,0.00,2228.00,0.00,6409.00
2019-01-09 18:00:00,4600.23,,857.00,64.00,5191.88,0.00,2190.00,0.00,6258.00
2019-01-10 18:00:00,4666.06,,840.00,64.00,4727.67,0.00,2148.00,0.00,6139.00
2019-01-11 18:00:00,4666.80,,816.00,64.00,4464.89,0.00,2111.00,0.00,5989.00
2019-01-12 18:00:00,4651.07,,805.00,64.00,4352.54,0.00,2065.00,0.00,5860.00
2019-01-13 18:00:00,4618.41,,788.00,64.00,4267.28,0.00,2032.00,0.00,5736.00
2019-01-14 18:00:00,4594.39,,776.00,64.00,4193.69,0.00,1994.00,0.00,5632.00
2019-01-15 18:00:00,4585.10,,770.00,64.00,3697.29,0.00,1767.00,0.00,4964.00
2019-01-16 18:00:00,4551.32,,758.00,64.00,4095.03,0.00,1946.00,0.00,5456.00
2019-01-17 18:00:00,4526.43,,744.00,64.00,3990.71,0.00,1908.00,0.00,5318.00
2019-01-18 18:00:00,4502.32,,730.00,64.00,3952.28,0.00,1905.00,0.00,5274.00
2019-01-19 18:00:00,4472.24,,718.00,64.00,3868.82,0.00,1858.00,0.00,5137.00
2019-01-20 18:00:00,4453.84,,710.00,64.00,3836.99,0.00,1837.00,0.00,5093.00
2019-01-21 18:00:00,4437.72,,703.00,64.00,3780.44,0.00,1814.00,0.00,5004.00
2019-01-22 18:00:00,4420.55,,691.00,64.00,3720.38,0.00,1805.00,0.00,4941.00
2019-01-23 18:00:00,4394.66,,682.00,64.00,3688.58,0.00,1784.00,0.00,4869.00
2019-01-24 18:00:00,4365.70,,666.00,64.00,3572.24,0.00,1745.00,0.00,4723.00
2019-01-25 18:00:00,4446.41,,666.00,64.00,3363.81,0.00,1725.00,0.00,4719.00
2019-01-26 18:00:00,4109.63,,561.00,64.00,3551.16,0.00,1725.00,0.00,4663.00
2019-01-27 18:00:00,4332.30,,653.00,64.00,3496.77,0.00,1703.00,0.00,4602.00
2019-01-28 18:00:00,4315.76,,644.00,64.00,3441.85,0.00,1688.00,0.00,4530.00
2019-01-29 18:00:00,4346.21,,644.00,64.00,2795.64,0.00,1381.00,0.00,3759.00
2019-01-30 18:00:00,4877.93,,644.00,64.00,860.30,0.00,527.00,0.00,1325.00
2019-01-31 18:00:00,4170.18,,320.00,64.00,130.72,0.00,131.00,0.00,55.00
2019-02-01 18:00:00,0.00,,320.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-02 18:00:00,3345.77,,320.00,64.00,2183.40,0.00,1165.00,0.00,2738.00
2019-02-03 18:00:00,4293.18,,643.00,64.00,3855.47,0.00,2033.00,0.00,4831.00
2019-02-04 18:00:00,4279.61,,645.00,64.00,3672.06,0.00,1771.00,0.00,4699.00
2019-02-05 18:00:00,4178.95,,611.00,64.00,3619.39,0.00,1652.00,0.00,4649.00
2019-02-06 18:00:00,4279.14,,646.00,64.00,3151.48,0.00,1549.00,0.00,3977.00
2019-02-07 18:00:00,5706.87,,1233.00,0.00,860.47,0.00,508.00,0.00,1299.00
2019-02-08 18:00:00,4843.03,,751.00,0.00,1695.02,0.00,1027.00,0.00,2767.00
2019-02-09 18:00:00,4701.37,,736.00,0.00,2021.83,0.00,1083.00,0.00,3069.00
2019-02-10 18:00:00,4694.41,,735.00,0.00,2017.50,0.00,1077.00,0.00,3047.00
2019-02-11 18:00:00,4686.22,,731.00,0.00,2007.50,0.00,1076.00,0.00,3024.00
2019-02-12 18:00:00,4675.17,,728.00,64.00,2000.34,0.00,1068.00,0.00,3004.00
2019-02-13 18:00:00,4779.92,,739.00,64.00,1601.43,0.00,928.00,0.00,2488.00
2019-02-14 18:00:00,4664.57,,728.00,64.00,2021.75,0.00,1075.00,0.00,3006.00
2019-02-15 18:00:00,4963.24,,728.00,64.00,938.65,0.00,515.00,0.00,1395.00
2019-02-16 18:00:00,0.00,,728.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-17 18:00:00,0.00,,728.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-18 18:00:00,0.00,,728.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-19 18:00:00,0.00,,728.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-20 18:00:00,0.00,,728.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-21 18:00:00,0.00,,728.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-22 18:00:00,0.00,,728.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-23 18:00:00,0.00,,728.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-24 18:00:00,0.00,,728.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-25 18:00:00,0.00,,728.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-26 18:00:00,0.00,,728.00,64.00,0.00,0.00,0.00,0.00,0.00
2019-02-27 18:00:00,0.00,,728.00,0.00,0.00,0.00,0.00,0.00,0.00
2019-02-28 18:00:00,5636.13,4141.31,406.88,50.00,116.05,0.00,106.00,1151.25,146.00
2019-03-01 18:00:00,5172.15,3789.61,425.63,64.00,1751.17,0.00,881.00,716.88,2758.00
2019-03-02 18:00:00,5215.36,3831.59,399.38,64.00,1881.77,0.00,1027.00,670.63,2985.00
2019-03-03 18:00:00,5160.50,3769.17,318.13,64.00,1767.73,0.00,913.00,649.38,2917.00
2019-03-04 18:00:00,5092.48,3704.83,298.75,64.00,1706.74,0.00,935.00,633.13,2757.00
2019-03-05 18:00:00,5062.19,3677.59,330.00,64.00,1716.82,0.00,935.00,622.50,2736.00
2019-03-06 18:00:00,5031.62,3649.47,381.88,64.00,1705.42,0.00,930.00,616.25,2686.00
2019-03-07 18:00:00,5000.88,3620.57,430.00,64.00,1696.81,0.00,921.00,609.38,2651.00
2019-03-08 18:00:00,4959.58,3580.76,410.63,64.00,1650.80,0.00,897.00,605.63,2557.00
2019-03-09 18:00:00,4955.32,3578.31,413.75,64.00,1680.03,0.00,912.00,598.75,2584.00
2019-03-10 19:00:00,4934.69,3558.81,395.00,64.00,1667.20,0.00,906.00,594.38,2550.00
2019-03-11 19:00:00,4913.03,3538.28,409.38,64.00,1656.13,0.00,899.00,588.75,2519.00
2019-03-12 19:00:00,4902.58,3528.03,391.88,64.00,1645.36,0.00,898.00,585.63,2499.00
2019-03-13 19:00:00,4779.09,3395.92,396.25,64.00,1326.94,0.00,727.00,592.50,2053.00
2019-03-14 19:00:00,4877.75,3503.81,364.38,64.00,1655.28,0.00,868.00,576.88,2513.00
2019-03-15 19:00:00,4871.59,3496.41,353.75,64.00,1614.48,0.00,864.00,580.00,2459.00
2019-03-16 19:00:00,4830.32,3453.55,383.75,64.00,1532.57,0.00,836.00,573.75,2341.00
2019-03-17 19:00:00,4836.71,3464.90,387.50,64.00,1621.96,0.00,866.00,568.13,2433.00
2019-03-18 19:00:00,4820.45,3449.04,398.13,64.00,1610.40,0.00,859.00,563.75,2410.00
2019-03-19 19:00:00,4808.24,3437.44,399.38,64.00,1601.20,0.00,859.00,560.63,2388.00
2019-03-20 19:00:00,4797.56,3427.03,395.00,64.00,1590.10,0.00,859.00,557.50,2367.00
2019-03-21 19:00:00,4785.55,3415.31,409.38,64.00,1583.40,0.00,853.00,553.75,2353.00
2019-03-22 19:00:00,4774.41,3404.05,405.00,64.00,1570.81,0.00,845.00,551.25,2334.00
2019-03-23 19:00:00,4763.24,3392.66,398.75,64.00,1557.50,0.00,836.00,548.75,2315.00
2019-03-24 19:00:00,4756.62,3386.27,405.00,64.00,1561.06,0.00,838.00,543.75,2319.00
2019-03-25 19:00:00,4749.04,3378.83,405.63,64.00,1552.18,0.00,837.00,541.88,2303.00
2019-03-26 19:00:00,4735.45,3365.83,416.88,64.00,1545.50,0.00,837.00,538.75,2286.00
2019-03-27 19:00:00,4727.14,3357.72,415.00,64.00,1541.39,0.00,830.00,536.88,2277.00
2019-03-28 19:00:00,4731.72,3361.90,421.00,64.00,1523.39,0.00,825.00,542.88,2251.00
2019-03-29 19:00:00,4707.18,3338.45,405.63,64.00,1530.48,0.00,826.00,530.63,2252.00
2019-03-30 19:00:00,4636.99,3268.71,368.75,32.00,1520.04,0.00,825.00,490.63,2235.00
2019-03-31 19:00:00,4566.90,3183.75,355.63,32.00,1111.35,0.00,625.00,538.75,1672.00
2019-04-01 19:00:00,4718.03,3346.94,386.25,32.00,1503.87,0.00,839.00,530.63,2235.00
2019-04-02 19:00:00,4703.58,3332.02,401.88,32.00,1487.71,0.00,828.00,526.25,2214.00
