,Date,BHP,Casing Pressure,Choke,Gas Rate,Injection Rate,Oil Rate,Tubing Pressure,Water Rate,GOR,DaysOn
266,2017-09-19,9231.33,3338.75,13.0,155.92,0.0,66.52,4640.0,196.0,2.343956704750451,0
267,2017-09-20,0.0,3338.75,0.0,0.0,0.0,0.0,4640.0,0.0,,1
268,2017-09-21,0.0,2706.88,0.0,0.0,0.0,0.0,4884.38,0.0,,2
269,2017-09-22,9195.04,3873.75,18.0,139.06,0.0,49.27,4056.25,546.0,2.8224071443068803,3
270,2017-09-23,9565.5,3055.63,18.0,1004.61,0.0,305.15,5028.13,1363.0,3.292184171718827,4
271,2017-09-24,8971.86,4017.5,24.0,3174.4,0.0,2046.01,4450.63,1875.0,1.5515075683892063,5
272,2017-09-25,8561.65,3966.25,24.0,4139.5,0.0,1810.66,4313.75,1819.0,2.2861829388178894,6
273,2017-09-26,8250.85,3918.75,24.0,3398.29,0.0,1372.83,4031.88,1850.0,2.4753902522526463,7
274,2017-09-27,8433.91,3733.75,25.0,3806.98,0.0,1501.25,4021.25,2234.0,2.535873438800999,8
275,2017-09-28,8380.87,3777.5,28.0,4357.75,0.0,1716.03,3739.38,2650.0,2.539436956230369,9
276,2017-09-29,8284.92,3677.5,38.0,4213.6,0.0,1670.2,3560.0,2804.0,2.522811639324632,10
277,2017-09-30,9477.03,3086.25,61.0,3965.61,0.0,1586.52,4755.63,2736.0,2.4995650858482716,11
278,2017-10-01,8328.86,3373.75,21.0,379.26,0.0,236.04,3766.25,549.0,1.606761565836299,12
279,2017-10-02,8149.62,2875.63,29.0,1409.25,0.0,547.71,3713.13,1562.0,2.5729857041134907,13
280,2017-10-03,8593.01,3156.25,28.0,3980.95,0.0,1602.11,3588.75,3306.0,2.484816897716137,14
281,2017-10-04,8255.85,2928.13,24.0,3283.48,0.0,1343.39,3801.25,2247.0,2.444174811484379,15
282,2017-10-05,8258.9,3270.0,33.0,4220.5,0.0,1791.65,3373.13,3019.0,2.3556498199983253,16
283,2017-10-06,8653.92,3114.38,25.0,4032.65,0.0,1522.45,3919.38,2865.0,2.648789779631515,17
284,2017-10-07,8539.1,2911.25,18.0,2136.89,0.0,381.39,4036.88,2436.0,5.602899918718372,18
285,2017-10-08,8574.49,2846.88,14.0,913.14,0.0,125.22,4011.88,1519.0,7.2922855773838045,19
286,2017-10-09,8496.23,3045.63,21.0,1409.01,0.0,687.97,4031.25,1511.0,2.0480689564951957,20
287,2017-10-10,8181.06,3168.13,22.0,2198.42,0.0,835.38,3779.38,1947.0,2.63164069046422,21
288,2017-10-11,8248.64,3271.25,22.0,3978.24,0.0,1462.02,3704.38,2561.0,2.721057167480609,22
289,2017-10-12,8188.06,2986.88,22.0,2091.04,0.0,813.1,3908.75,1676.0,2.5716885991882914,23
290,2017-10-13,8059.74,3156.88,45.0,2151.99,0.0,972.65,3638.13,1868.0,2.2125019277232303,24
291,2017-10-14,8490.49,3066.25,24.0,3296.22,0.0,1291.01,4003.75,2334.0,2.5532102772248084,25
292,2017-10-15,8213.46,3190.63,20.0,3196.74,0.0,1197.85,3696.88,2430.0,2.668731477230037,26
293,2017-10-16,8163.86,3255.0,63.0,4144.85,0.0,1335.91,3358.75,3160.0,3.102641645020997,27
294,2017-10-17,7991.9,3153.75,26.0,3028.95,0.0,1036.26,3479.38,2469.0,2.9229633489664755,28
295,2017-10-18,8266.22,3109.38,29.0,4436.92,0.0,1501.64,3287.5,3421.0,2.954716176979835,29
296,2017-10-19,7782.89,3053.75,25.0,2222.87,0.0,955.87,3444.38,1790.0,2.325494052538525,30
297,2017-10-20,8039.98,3148.13,27.0,3260.48,0.0,935.19,3370.63,2915.0,3.4864359114190697,31
298,2017-10-21,8163.93,3201.25,29.0,4135.83,0.0,1161.98,3215.0,3529.0,3.559295340711544,32
299,2017-10-22,8253.39,3071.25,22.0,3405.98,0.0,1175.94,3611.25,2757.0,2.8963892715614743,33
300,2017-10-23,8149.14,3052.5,22.0,2541.31,0.0,1011.18,3657.5,2202.0,2.513212286635416,34
301,2017-10-24,8127.58,3058.75,22.0,2495.46,0.0,957.87,3670.63,2149.0,2.605217827053776,35
302,2017-10-25,8134.82,3047.5,22.0,2529.31,0.0,961.97,3720.0,2088.0,2.629302369096749,36
303,2017-10-26,8026.02,3055.0,22.0,2365.47,0.0,938.92,3641.88,1958.0,2.519352021471478,37
304,2017-10-27,7701.51,3235.0,22.0,3259.78,0.0,1315.56,3161.88,2434.0,2.4778649396454746,38
305,2017-10-28,7844.66,3163.13,29.0,4677.63,0.0,1926.59,2983.13,2969.0,2.427932253359563,39
306,2017-10-29,7428.96,3113.13,22.0,2683.63,0.0,1062.0,3028.75,2100.0,2.52695856873823,40
307,2017-10-30,7730.37,3038.75,30.0,4484.44,0.0,1789.87,2813.13,3126.0,2.505455703486845,41
308,2017-10-31,7902.51,2769.38,31.0,4478.86,0.0,1834.34,2975.0,3117.0,2.4416738445435415,42
309,2017-11-01,7709.3,2795.63,64.0,4350.09,0.0,1753.16,2823.75,3070.0,2.481285222113213,43
310,2017-11-02,7733.89,2807.5,31.0,4544.48,0.0,1968.06,2744.38,3150.0,2.309116591973822,44
311,2017-11-03,7728.01,2819.38,31.0,4586.22,0.0,1949.17,2656.88,3312.0,2.352909186987282,45
312,2017-11-04,7716.35,2790.63,31.0,4661.95,0.0,2025.0,2582.5,3385.0,2.3021975308641975,46
313,2017-11-05,7751.04,2733.13,28.0,4431.61,0.0,1803.98,2726.25,3302.0,2.4565737979356754,47
314,2017-11-06,7907.87,2655.63,28.0,3739.07,0.0,1456.15,3118.13,2955.0,2.5677780448442813,48
315,2017-11-07,7762.04,2691.25,28.0,3487.86,0.0,1424.38,2965.63,2917.0,2.4486864460326596,49
316,2017-11-08,7633.13,2697.5,28.0,3735.0,0.0,1384.92,2916.88,2863.0,2.696906680530283,50
317,2017-11-09,7657.82,2684.38,31.0,3775.48,0.0,1526.83,2899.38,2862.0,2.4727572814262233,51
318,2017-11-10,7473.85,2708.13,31.0,3903.77,0.0,1591.58,2681.25,2916.0,2.4527639201296827,52
319,2017-11-11,7527.04,2716.25,31.0,4297.27,0.0,1619.46,2670.0,3096.0,2.6535203092388824,53
320,2017-11-12,7555.06,2723.75,33.0,4237.96,0.0,1826.91,2604.38,3122.0,2.3197420781538223,54
321,2017-11-13,8045.96,2571.88,40.0,4274.77,0.0,1645.25,3166.25,3119.0,2.59824950615408,55
