,Date,BHP,BHP at gauge,Casing Pressure,Choke,Gas Rate,Injection Rate,Oil Rate,Tubing Pressure,Water Rate,GOR,DaysOn
16,2018-12-19,5690.33,,1901.0,36.0,7249.77,0.0,3148.0,0.0,4276.0,2.302976493011436,0
17,2018-12-20,5499.43,,1783.0,50.0,8189.35,0.0,3579.0,0.0,4398.0,2.2881670857781504,1
18,2018-12-21,5290.34,,1621.0,54.0,9342.82,0.0,4086.0,0.0,4784.0,2.286544297601566,2
19,2018-12-22,5153.67,,1524.0,54.0,9304.86,0.0,4101.0,0.0,4699.0,2.2689246525237747,3
20,2018-12-23,5025.49,,1464.0,54.0,9256.13,0.0,3998.0,0.0,4492.0,2.3151900950475235,4
21,2018-12-24,4945.18,,1413.0,54.0,8263.92,0.0,3677.0,0.0,4033.0,2.2474626053848246,5
22,2018-12-25,4781.0,,1335.0,54.0,8769.95,0.0,3774.0,0.0,4049.0,2.323781134075252,6
23,2018-12-26,4770.59,,1334.0,54.0,7074.26,0.0,3072.0,0.0,3402.0,2.3028190104166666,7
24,2018-12-27,4650.59,,1271.0,54.0,8153.13,0.0,3526.0,0.0,3688.0,2.312288712422008,8
25,2018-12-28,4568.24,,1226.0,54.0,7893.03,0.0,3446.0,0.0,3530.0,2.2904904236796284,9
26,2018-12-29,4473.79,,1186.0,54.0,7628.77,0.0,3301.0,0.0,3349.0,2.311048167222054,10
27,2018-12-30,4399.39,,1154.0,54.0,7449.31,0.0,3214.0,0.0,3217.0,2.3177691350342253,11
28,2018-12-31,4340.03,,1126.0,54.0,7166.38,0.0,3108.0,0.0,3070.0,2.305785070785071,12
29,2019-01-01,4265.09,,1084.0,54.0,6946.03,0.0,3052.0,0.0,2966.0,2.275894495412844,13
30,2019-01-02,4196.68,,1058.0,54.0,6803.09,0.0,2951.0,0.0,2883.0,2.3053507285665877,14
31,2019-01-03,4133.4,,1026.0,54.0,6661.53,0.0,2888.0,0.0,2830.0,2.3066239612188366,15
32,2019-01-04,4059.86,,998.0,54.0,6526.67,0.0,2814.0,0.0,2740.0,2.319356787491116,16
33,2019-01-05,4010.29,,974.0,54.0,6381.36,0.0,2749.0,0.0,2689.0,2.321338668606766,17
34,2019-01-06,3928.32,,937.0,54.0,6311.18,0.0,2719.0,0.0,2652.0,2.321140125045973,18
35,2019-01-07,3884.39,,915.0,54.0,6170.26,0.0,2671.0,0.0,2601.0,2.310093597903407,19
36,2019-01-08,3865.1,,905.0,54.0,5896.59,0.0,2565.0,0.0,2503.0,2.2988654970760236,20
37,2019-01-09,3801.38,,878.0,54.0,5800.56,0.0,2523.0,0.0,2460.0,2.2990725326991677,21
38,2019-01-10,3790.2,,881.0,54.0,5818.4,0.0,2516.0,0.0,2433.0,2.312559618441971,22
39,2019-01-11,3531.68,,771.0,64.0,5950.34,0.0,2583.0,0.0,2475.0,2.3036546651180796,23
40,2019-01-12,3430.33,,735.0,64.0,6510.6,0.0,2824.0,0.0,2618.0,2.3054532577903686,24
41,2019-01-13,3376.84,,710.0,64.0,6234.96,0.0,2705.0,0.0,2563.0,2.3049759704251387,25
42,2019-01-14,3329.36,,693.0,64.0,6047.62,0.0,2617.0,0.0,2503.0,2.310897974780283,26
43,2019-01-15,3293.11,,688.0,64.0,5279.7,0.0,2272.0,0.0,2216.0,2.3238116197183096,27
44,2019-01-16,3268.18,,665.0,64.0,5720.75,0.0,2474.0,0.0,2431.0,2.312348423605497,28
45,2019-01-17,3233.62,,664.0,64.0,5623.22,0.0,2428.0,0.0,2326.0,2.315988467874794,29
46,2019-01-18,3170.88,,639.0,64.0,5513.87,0.0,2399.0,0.0,2282.0,2.298403501458941,30
47,2019-01-19,3118.67,,623.0,64.0,5395.44,0.0,2343.0,0.0,2227.0,2.3027912932138284,31
48,2019-01-20,3092.15,,615.0,64.0,5315.93,0.0,2299.0,0.0,2199.0,2.31227925184863,32
49,2019-01-21,3060.87,,606.0,64.0,5220.08,0.0,2259.0,0.0,2153.0,2.3107923860115096,33
50,2019-01-22,3042.98,,596.0,64.0,5093.56,0.0,2229.0,0.0,2111.0,2.285132346343652,34
51,2019-01-23,3002.38,,586.0,64.0,5018.54,0.0,2183.0,0.0,2071.0,2.2989189189189188,35
52,2019-01-24,3002.21,,586.0,64.0,4926.89,0.0,2170.0,0.0,2016.0,2.270456221198157,36
53,2019-01-25,2950.6,,568.0,64.0,4848.3,0.0,2135.0,0.0,1988.0,2.270866510538642,37
54,2019-01-26,2943.99,,568.0,64.0,4776.41,0.0,2083.0,0.0,1971.0,2.2930436869899182,38
55,2019-01-27,2924.65,,563.0,64.0,4703.48,0.0,2049.0,0.0,1940.0,2.295500244021474,39
56,2019-01-28,2875.96,,545.0,64.0,4618.99,0.0,2021.0,0.0,1909.0,2.285497278574963,40
57,2019-01-29,2872.07,,545.0,64.0,4178.15,0.0,1842.0,0.0,1747.0,2.2682681867535286,41
58,2019-01-30,4917.56,,1523.0,64.0,2025.12,0.0,896.0,0.0,859.0,2.2601785714285714,42
59,2019-01-31,3403.23,,556.0,64.0,922.77,0.0,423.0,0.0,520.0,2.181489361702128,43
60,2019-02-01,3017.63,,526.0,64.0,4761.3,0.0,2089.0,0.0,2369.0,2.2792245093346097,44
61,2019-02-02,2926.8,,522.0,64.0,4457.48,0.0,1903.0,0.0,2137.0,2.3423436678928007,45
62,2019-02-03,2763.73,,520.0,64.0,4630.38,0.0,1926.0,0.0,1917.0,2.4041433021806853,46
63,2019-02-04,2706.59,,520.0,64.0,4562.31,0.0,1890.0,0.0,1790.0,2.4139206349206352,47
64,2019-02-05,2616.82,,495.0,64.0,4554.62,0.0,1883.0,0.0,1752.0,2.418810408921933,48
65,2019-02-06,3019.0,,646.0,64.0,4224.1,0.0,1764.0,0.0,1604.0,2.3946145124716556,49
66,2019-02-07,4729.18,,1425.0,0.0,1220.12,0.0,699.0,0.0,315.0,1.74552217453505,50
67,2019-02-08,3341.44,,665.0,64.0,2919.71,0.0,1303.0,0.0,1419.0,2.2407597851112815,51
68,2019-02-09,3271.47,,655.0,64.0,3148.46,0.0,1359.0,0.0,1509.0,2.316747608535688,52
69,2019-02-10,3220.62,,650.0,64.0,3153.84,0.0,1355.0,0.0,1465.0,2.3275571955719556,53
70,2019-02-11,3203.75,,649.0,64.0,3154.4,0.0,1362.0,0.0,1438.0,2.316005873715125,54
71,2019-02-12,3178.81,,646.0,64.0,3151.04,0.0,1358.0,0.0,1417.0,2.320353460972018,55
72,2019-02-13,3242.14,,651.0,64.0,2701.76,0.0,1187.0,0.0,1260.0,2.2761246840775065,56
73,2019-02-14,3194.09,,645.0,64.0,3131.15,0.0,1353.0,0.0,1430.0,2.314227642276423,57
74,2019-02-15,3177.91,,645.0,64.0,1601.0,0.0,692.0,0.0,718.0,2.3135838150289016,58
75,2019-02-16,0.0,,645.0,64.0,0.0,0.0,0.0,0.0,0.0,,59
76,2019-02-17,0.0,,645.0,64.0,0.0,0.0,0.0,0.0,0.0,,60
77,2019-02-18,0.0,,645.0,64.0,0.0,0.0,0.0,0.0,0.0,,61
78,2019-02-19,0.0,,645.0,64.0,0.0,0.0,0.0,0.0,0.0,,62
79,2019-02-20,0.0,,645.0,64.0,0.0,0.0,0.0,0.0,0.0,,63
80,2019-02-21,0.0,,645.0,64.0,0.0,0.0,0.0,0.0,0.0,,64
81,2019-02-22,0.0,,645.0,64.0,0.0,0.0,0.0,0.0,0.0,,65
82,2019-02-23,0.0,,645.0,64.0,0.0,0.0,0.0,0.0,0.0,,66
83,2019-02-24,0.0,,645.0,64.0,0.0,0.0,0.0,0.0,0.0,,67
84,2019-02-25,0.0,,645.0,64.0,0.0,0.0,0.0,0.0,0.0,,68
85,2019-02-26,0.0,,645.0,64.0,0.0,0.0,0.0,0.0,0.0,,69
86,2019-02-27,0.0,,645.0,0.0,0.0,0.0,0.0,0.0,0.0,,70
87,2019-02-28,5169.83,4747.25,23.13,50.0,248.33,0.0,145.0,1085.63,261.0,1.7126206896551726,71
88,2019-03-01,4537.93,4149.64,19.38,64.0,2461.93,0.0,1287.0,649.38,1744.0,1.9129215229215228,72
89,2019-03-02,4418.13,4034.08,83.75,64.0,2473.53,0.0,1269.0,611.88,1685.0,1.94919621749409,73
90,2019-03-03,4301.25,3921.99,127.5,64.0,2398.32,0.0,1207.0,598.13,1582.0,1.987009113504557,74
91,2019-03-04,4189.17,3815.4,158.13,64.0,2345.41,0.0,1199.0,587.5,1453.0,1.956138448707256,75
92,2019-03-05,4129.05,3758.88,181.25,64.0,2385.9,0.0,1211.0,578.75,1411.0,1.9701899256812552,76
93,2019-03-06,4077.13,3709.53,203.75,64.0,2377.97,0.0,1207.0,571.88,1364.0,1.9701491300745648,77
94,2019-03-07,4033.54,3668.18,225.63,64.0,2375.62,0.0,1198.0,569.38,1328.0,1.9829883138564273,78
95,2019-03-08,4013.64,3649.53,248.13,64.0,2362.67,0.0,1194.0,571.25,1300.0,1.978785594639866,79
96,2019-03-09,3976.95,3614.06,271.25,64.0,2354.71,0.0,1190.0,562.5,1276.0,1.9787478991596639,80
97,2019-03-10,3961.57,3599.67,293.13,64.0,2356.18,0.0,1189.0,562.5,1260.0,1.9816484440706474,81
98,2019-03-11,3936.2,3574.98,313.13,64.0,2338.8,0.0,1185.0,557.5,1240.0,1.9736708860759495,82
99,2019-03-12,3910.08,3549.28,333.75,64.0,2324.27,0.0,1180.0,548.13,1227.0,1.9697203389830509,83
100,2019-03-13,3916.38,3555.57,352.5,64.0,2304.34,0.0,1174.0,554.38,1218.0,1.9628109028960818,84
101,2019-03-14,3877.83,3517.79,370.0,64.0,2300.79,0.0,1171.0,539.38,1205.0,1.964807856532878,85
102,2019-03-15,3892.5,3532.44,386.25,64.0,2280.37,0.0,1169.0,550.0,1194.0,1.9507014542343883,86
103,2019-03-16,3839.06,3479.51,401.88,64.0,2177.61,0.0,1130.0,538.13,1143.0,1.9270884955752214,87
104,2019-03-17,3839.19,3480.39,414.38,64.0,2285.68,0.0,1152.0,533.75,1185.0,1.9840972222222222,88
105,2019-03-18,3828.0,3469.99,426.25,64.0,2271.6,0.0,1145.0,536.88,1167.0,1.9839301310043667,89
106,2019-03-19,3808.74,3451.22,438.13,64.0,2261.46,0.0,1140.0,532.5,1154.0,1.9837368421052632,90
107,2019-03-20,3794.41,3437.78,449.38,64.0,2244.52,0.0,1141.0,526.88,1142.0,1.9671516213847502,91
108,2019-03-21,3781.7,3424.6,459.38,64.0,2234.96,0.0,1132.0,523.75,1137.0,1.9743462897526503,92
109,2019-03-22,3759.78,3403.73,468.75,64.0,2225.34,0.0,1127.0,517.5,1128.0,1.974569653948536,93
110,2019-03-23,3740.44,3384.12,478.13,64.0,2218.11,0.0,1118.0,511.88,1122.0,1.9839982110912344,94
111,2019-03-24,3749.51,3393.28,485.0,64.0,2208.44,0.0,1113.0,520.0,1116.0,1.9842228212039534,95
112,2019-03-25,3723.9,3368.0,494.38,64.0,2195.84,0.0,1108.0,509.38,1108.0,1.9818050541516248,96
113,2019-03-26,3716.65,3360.7,501.25,64.0,2180.78,0.0,1105.0,506.25,1102.0,1.973556561085973,97
114,2019-03-27,3723.14,3368.18,510.0,64.0,2165.06,0.0,1091.0,518.13,1091.0,1.9844729605866178,98
115,2019-03-28,4558.37,4151.12,514.0,64.0,2121.06,0.0,1102.0,525.13,2003.0,1.924736842105263,99
116,2019-03-29,3696.07,3341.01,524.38,64.0,2128.63,0.0,1067.0,514.38,1073.0,1.994967197750703,100
117,2019-03-30,4404.1,4046.15,515.0,64.0,2108.53,0.0,1068.0,903.13,1067.0,1.9742790262172287,101
118,2019-03-31,3613.78,3258.23,545.63,64.0,1859.51,0.0,944.0,510.63,966.0,1.9698199152542373,102
119,2019-04-01,3726.67,3369.15,549.38,64.0,2050.4,0.0,1068.0,513.75,1064.0,1.9198501872659177,103
120,2019-04-02,3681.73,3325.32,554.38,64.0,2052.55,0.0,1067.0,498.75,1051.0,1.923664479850047,104
121,2019-04-03,3732.78,3376.74,560.0,64.0,2045.35,0.0,1059.0,532.5,1041.0,1.9313975448536354,105
122,2019-04-04,3675.44,3319.87,565.63,64.0,2038.3,0.0,1053.0,505.63,1037.0,1.935707502374169,106
123,2019-04-05,3669.92,3314.98,569.38,64.0,2031.65,0.0,1050.0,505.0,1032.0,1.934904761904762,107
