,Date,BHP,BHP at gauge,Casing Pressure,Choke,Gas Rate,Injection Rate,Measured BHP,Measured BHT,Oil Rate,Tubing Pressure,Water Rate,GOR,DaysOn
12,2018-09-02,8690.88,,3861.0,34.0,776.0,0.0,0.0,0.0,309.0,0.0,1703.0,2.511326860841424,0
13,2018-09-03,9150.82,,4536.0,37.0,4694.06,0.0,0.0,0.0,1733.0,0.0,7255.0,2.70863242931333,1
14,2018-09-04,8603.72,,3862.0,35.0,1467.17,0.0,0.0,0.0,611.0,0.0,2981.0,2.4012602291325695,2
15,2018-09-05,8440.09,,3846.0,35.0,3142.43,0.0,0.0,0.0,1172.0,0.0,5150.0,2.681254266211604,3
16,2018-09-06,8273.42,,3755.0,37.0,5780.41,0.0,0.0,0.0,2142.0,0.0,7794.0,2.6986041083099908,4
17,2018-09-07,8186.7,,3692.0,40.0,6228.45,0.0,0.0,0.0,2303.0,0.0,8027.0,2.704494138080764,5
18,2018-09-08,8132.89,,3641.0,40.0,6924.92,0.0,0.0,0.0,2598.0,0.0,8591.0,2.6654811393379525,6
19,2018-09-09,8056.56,,3579.0,40.0,7000.15,0.0,0.0,0.0,2579.0,0.0,8567.0,2.7142884839084913,7
20,2018-09-10,8032.41,,3558.0,40.0,7333.66,0.0,0.0,0.0,2709.0,0.0,8802.0,2.7071465485418975,8
21,2018-09-11,7827.72,,3322.0,47.0,7383.97,0.0,0.0,0.0,2876.0,0.0,9076.0,2.5674443671766345,9
22,2018-09-12,7714.87,,3260.0,47.0,9436.08,0.0,0.0,0.0,3324.0,0.0,10174.0,2.8387725631768954,10
23,2018-09-13,7524.57,,3179.0,51.0,5657.54,0.0,0.0,0.0,1966.0,0.0,6460.0,2.8776907426246185,11
24,2018-09-14,7522.65,,3008.0,57.0,9217.59,0.0,0.0,0.0,3327.0,0.0,10603.0,2.770541027953111,12
25,2018-09-15,8051.53,,3528.0,59.0,11282.28,0.0,0.0,0.0,4131.0,0.0,11626.0,2.731125635439361,13
26,2018-09-16,7986.16,,3528.0,58.0,5894.73,0.0,0.0,0.0,2225.0,0.0,7406.0,2.649316853932584,14
27,2018-09-17,7336.85,,2805.0,57.0,11917.98,0.0,0.0,0.0,4195.0,0.0,12169.0,2.8409964243146604,15
28,2018-09-18,7247.79,,2714.0,58.0,11466.81,0.0,0.0,0.0,4196.0,0.0,11927.0,2.7327955195424214,16
