,Date,BHP,BHP at gauge,Casing Pressure,Choke,Gas Rate,Injection Rate,Measured BHP,Measured BHT,Oil Rate,Tubing Pressure,Water Rate,GOR,Days Since IP,Days Since IP Sum,DaysOn
0,2018-09-23,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0
1,2018-09-24,7750.1,,3930.0,25.0,1011.0,0.0,0.0,0.0,436.0,0.0,518.0,2.3188073394495414,1 days 00:00:00.000000000,1,1
2,2018-09-25,7972.0,,3930.0,25.0,3758.37,0.0,0.0,0.0,1470.0,0.0,2918.0,2.5567142857142855,1 days 00:00:00.000000000,2,2
3,2018-09-26,7947.05,,3839.0,28.0,3397.12,0.0,0.0,0.0,1376.0,0.0,2860.0,2.4688372093023254,1 days 00:00:00.000000000,3,3
4,2018-09-27,7630.15,,3515.0,35.0,4175.96,0.0,0.0,0.0,1684.0,0.0,3570.0,2.4797862232779098,1 days 00:00:00.000000000,4,4
5,2018-09-28,7466.37,,3373.0,42.0,4797.87,0.0,0.0,0.0,1916.0,0.0,3975.0,2.50410751565762,1 days 00:00:00.000000000,5,5
6,2018-09-29,7170.52,,3061.0,52.0,7939.39,0.0,0.0,0.0,3027.0,0.0,6263.0,2.6228576148001324,1 days 00:00:00.000000000,6,6
7,2018-09-30,7028.35,,2821.0,57.0,8585.28,0.0,0.0,0.0,3506.0,0.0,7257.0,2.4487393040502,1 days 00:00:00.000000000,7,7
8,2018-10-01,7057.98,,2821.0,57.0,9514.97,0.0,0.0,0.0,3807.0,0.0,8027.0,2.4993354347255057,1 days 00:00:00.000000000,8,8
9,2018-10-02,7054.77,,2821.0,57.0,9524.85,0.0,0.0,0.0,3680.0,0.0,8084.0,2.5882744565217393,1 days 00:00:00.000000000,9,9
10,2018-10-03,6374.87,,2200.0,64.0,10244.41,0.0,0.0,0.0,3884.0,0.0,8233.0,2.6375926879505665,1 days 00:00:00.000000000,10,10
11,2018-10-04,6134.53,,1975.0,64.0,10992.37,0.0,0.0,0.0,4075.0,0.0,8675.0,2.697514110429448,1 days 00:00:00.000000000,11,11
12,2018-10-05,6623.58,,2427.0,49.0,10002.98,0.0,0.0,0.0,3738.0,0.0,8208.0,2.6760246120920277,1 days 00:00:00.000000000,12,12
13,2018-10-06,6434.95,,2249.0,57.0,9924.92,0.0,0.0,0.0,3213.0,0.0,8488.0,3.088988484282602,1 days 00:00:00.000000000,13,13
14,2018-10-07,5935.55,,1790.0,64.0,10688.26,0.0,0.0,0.0,3936.0,0.0,8665.0,2.7155132113821137,1 days 00:00:00.000000000,14,14
15,2018-10-08,5909.24,,1780.0,64.0,10963.7,0.0,0.0,0.0,4135.0,0.0,8596.0,2.6514389359129384,1 days 00:00:00.000000000,15,15
16,2018-10-09,5924.74,,1780.0,64.0,11220.49,0.0,0.0,0.0,4266.0,0.0,8803.0,2.630213314580403,1 days 00:00:00.000000000,16,16
17,2018-10-10,5817.96,,1697.0,64.0,11087.84,0.0,0.0,0.0,4225.0,0.0,8671.0,2.624340828402367,1 days 00:00:00.000000000,17,17
18,2018-10-11,5777.86,,1666.0,64.0,10848.91,0.0,0.0,0.0,4163.0,0.0,8535.0,2.6060317079029547,1 days 00:00:00.000000000,18,18
19,2018-10-12,5740.37,,1640.0,64.0,10549.81,0.0,0.0,0.0,4060.0,0.0,8354.0,2.5984753694581277,1 days 00:00:00.000000000,19,19
20,2018-10-13,5716.73,,1623.0,64.0,10204.93,0.0,0.0,0.0,3957.0,0.0,8164.0,2.5789562800101087,1 days 00:00:00.000000000,20,20
21,2018-10-14,5681.24,,1602.0,64.0,9855.51,0.0,0.0,0.0,3788.0,0.0,7955.0,2.601771383315734,1 days 00:00:00.000000000,21,21
22,2018-10-15,5648.05,,1563.0,64.0,9641.42,0.0,0.0,0.0,3765.0,0.0,7929.0,2.560802124833997,1 days 00:00:00.000000000,22,22
23,2018-10-16,5633.12,,1563.0,64.0,9573.52,0.0,0.0,0.0,3693.0,0.0,7818.0,2.592342269157866,1 days 00:00:00.000000000,23,23
24,2018-10-17,5628.83,,1563.0,64.0,9121.43,0.0,0.0,0.0,3525.0,0.0,7560.0,2.587639716312057,1 days 00:00:00.000000000,24,24
25,2018-10-18,5559.23,,1517.0,64.0,9460.35,0.0,0.0,0.0,3647.0,0.0,7643.0,2.59400877433507,1 days 00:00:00.000000000,25,25
26,2018-10-19,5506.09,,1493.0,64.0,9509.24,0.0,0.0,0.0,3648.0,0.0,7518.0,2.606699561403509,1 days 00:00:00.000000000,26,26
27,2018-10-20,5472.29,,1466.0,64.0,9311.21,0.0,0.0,0.0,3583.0,0.0,7421.0,2.5987189506000554,1 days 00:00:00.000000000,27,27
28,2018-10-21,5430.06,,1433.0,64.0,9138.85,0.0,0.0,0.0,3512.0,0.0,7345.0,2.6021782460136675,1 days 00:00:00.000000000,28,28
29,2018-10-22,5408.26,,1420.0,64.0,8996.85,0.0,0.0,0.0,3452.0,0.0,7247.0,2.606271726535342,1 days 00:00:00.000000000,29,29
30,2018-10-23,5381.3,,1420.0,64.0,9064.39,0.0,0.0,0.0,3489.0,0.0,7087.0,2.5979908283175694,1 days 00:00:00.000000000,30,30
