,Date,BHP,BHP at gauge,Casing Pressure,Choke,Gas Rate,Injection Rate,Oil Rate,Tubing Pressure,Water Rate,GOR,DaysOn
0,2018-11-12,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
1,2018-11-13,7197.49,,2421.0,28.0,344.33,0.0,188.0,0.0,595.0,1.8315425531914893,1
2,2018-11-14,6841.8,,2421.0,28.0,1266.38,0.0,634.0,0.0,1764.0,1.9974447949526815,2
3,2018-11-15,6775.44,,2543.0,38.0,3606.23,0.0,1605.0,0.0,4424.0,2.246872274143302,3
4,2018-11-16,6747.91,,2520.0,48.0,3462.61,0.0,1485.0,0.0,4244.0,2.331723905723906,4
5,2018-11-17,6703.41,,2489.0,48.0,5381.22,0.0,2204.0,0.0,6636.0,2.441569872958258,5
6,2018-11-18,0.0,,2708.0,31.0,0.0,0.0,0.0,0.0,0.0,,6
7,2018-11-19,6241.7,,2090.0,34.0,4484.63,0.0,1902.0,0.0,5240.0,2.357849631966351,7
8,2018-11-20,6618.71,,2425.0,52.0,5760.93,0.0,2423.0,0.0,6904.0,2.377602146099876,8
9,2018-11-21,6233.8,,2026.0,55.0,6600.11,0.0,2818.0,0.0,8337.0,2.3421256210078067,9
10,2018-11-22,5941.29,,1764.0,64.0,6889.92,0.0,2887.0,0.0,8741.0,2.386532732940769,10
11,2018-11-23,5978.14,,1764.0,47.0,8229.09,0.0,3299.0,0.0,10836.0,2.49441952106699,11
12,2018-11-24,5656.54,,1547.0,64.0,8154.46,0.0,3236.0,0.0,9974.0,2.519919653893696,12
13,2018-11-25,5741.52,,1593.0,64.0,8775.35,0.0,3551.0,0.0,10960.0,2.471233455364686,13
14,2018-11-26,5570.39,,1462.0,64.0,8499.52,0.0,3513.0,0.0,10490.0,2.4194477654426416,14
15,2018-11-27,5507.74,,1416.0,64.0,8467.21,0.0,3522.0,0.0,10388.0,2.4040914253265186,15
16,2018-11-28,5483.45,,1416.0,64.0,8261.08,0.0,3351.0,0.0,9942.0,2.4652581319009252,16
17,2018-11-29,5488.92,,1419.0,64.0,8394.24,0.0,3449.0,0.0,10071.0,2.4338184981153956,17
18,2018-11-30,5362.79,,1414.0,64.0,6836.09,0.0,2813.0,0.0,7242.0,2.4301777461784573,18
19,2018-12-01,5541.29,,1419.0,64.0,8008.55,0.0,3449.0,0.0,10161.0,2.321991881704842,19
20,2018-12-02,5307.49,,1269.0,64.0,7609.52,0.0,3056.0,0.0,9470.0,2.4900261780104715,20
21,2018-12-03,5271.71,,1231.0,64.0,7235.38,0.0,2938.0,0.0,9197.0,2.4626889040163378,21
22,2018-12-04,5172.81,,1169.0,64.0,6837.98,0.0,2771.0,0.0,8630.0,2.467693973294839,22
23,2018-12-05,5219.52,,1169.0,64.0,6580.78,0.0,2719.0,0.0,8739.0,2.4202942258183153,23
24,2018-12-06,5406.15,,1364.0,64.0,4872.65,0.0,1996.0,0.0,5952.0,2.441207414829659,24
25,2018-12-07,5496.43,,1364.0,64.0,5243.59,0.0,2142.0,0.0,7154.0,2.4479878618113915,25
