,Date,BHP,BHP at gauge,Casing Pressure,Choke,Gas Rate,Injection Rate,Measured BHP,Measured BHT,Oil Rate,Tubing Pressure,Water Rate,Cum Oil,Mat Bal Time,Delta P,Rate N,Cum Water,Cum Liquid,Rate P
0,2018-09-23,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9985.888672,0.0,0.0,0.0,inf
1,2018-09-24,7750.1,,3930.0,25.0,1011.0,0.0,0.0,0.0,436.0,0.0,518.0,436.0,1.0,2235.7886719999988,0.44938527485986157,518.0,954.0,491.8735078399998
2,2018-09-25,7972.0,,3930.0,25.0,3758.37,0.0,0.0,0.0,1470.0,0.0,2918.0,1906.0,1.2965986394557822,2013.8886719999991,2.3082588111520255,3436.0,5342.0,96.32519473093889
3,2018-09-26,7947.05,,3839.0,28.0,3397.12,0.0,0.0,0.0,1376.0,0.0,2860.0,3282.0,2.385174418604651,2038.838671999999,2.1994340455359693,6296.0,9578.0,101.01781408861187
4,2018-09-27,7630.15,,3515.0,35.0,4175.96,0.0,0.0,0.0,1684.0,0.0,3570.0,4966.0,2.9489311163895486,2355.7386719999995,2.3425552310676143,9866.0,14832.0,94.10400313653597
5,2018-09-28,7466.37,,3373.0,42.0,4797.87,0.0,0.0,0.0,1916.0,0.0,3975.0,6882.0,3.5918580375782883,2519.5186719999992,2.447821227193212,13841.0,20723.0,89.76346611430316
6,2018-09-29,7170.52,,3061.0,52.0,7939.39,0.0,0.0,0.0,3027.0,0.0,6263.0,9909.0,3.273538156590684,2815.3686719999987,3.437583256860366,20104.0,30013.0,63.604906015001056
7,2018-09-30,7028.35,,2821.0,57.0,8585.28,0.0,0.0,0.0,3506.0,0.0,7257.0,13415.0,3.8262977752424416,2957.5386719999988,3.7835937637319184,27361.0,40776.0,57.6724162853628
8,2018-10-01,7057.98,,2821.0,57.0,9514.97,0.0,0.0,0.0,3807.0,0.0,8027.0,17222.0,4.523771998949304,2927.9086719999996,4.203877769962557,35388.0,52610.0,51.92745243192158
9,2018-10-02,7054.77,,2821.0,57.0,9524.85,0.0,0.0,0.0,3680.0,0.0,8084.0,20902.0,5.6798913043478265,2931.1186719999987,4.174251214414722,43472.0,64374.0,52.293708507256014
10,2018-10-03,6374.87,,2200.0,64.0,10244.41,0.0,0.0,0.0,3884.0,0.0,8233.0,24786.0,6.3815653964984556,3611.0186719999992,3.4638506859379152,51705.0,76491.0,62.546884449893525
11,2018-10-04,6134.53,,1975.0,64.0,10992.37,0.0,0.0,0.0,4075.0,0.0,8675.0,28861.0,7.082453987730061,3851.3586719999994,3.4104861079532536,60380.0,89241.0,63.397894751322355
12,2018-10-05,6623.58,,2427.0,49.0,10002.98,0.0,0.0,0.0,3738.0,0.0,8208.0,32599.0,8.720973782771535,3362.308671999999,3.676348394482708,68588.0,101187.0,59.07260539756905
13,2018-10-06,6434.95,,2249.0,57.0,9924.92,0.0,0.0,0.0,3213.0,0.0,8488.0,35812.0,11.145969498910675,3550.9386719999993,3.4033827314902343,77076.0,112888.0,63.69293295268438
14,2018-10-07,5935.55,,1790.0,64.0,10688.26,0.0,0.0,0.0,3936.0,0.0,8665.0,39748.0,10.098577235772357,4050.338671999999,3.2002946069156435,85741.0,125489.0,67.4617157748877
15,2018-10-08,5909.24,,1780.0,64.0,10963.7,0.0,0.0,0.0,4135.0,0.0,8596.0,43883.0,10.612575574365176,4076.6486719999994,3.211849355157729,94337.0,138220.0,67.20658418658078
16,2018-10-09,5924.74,,1780.0,64.0,11220.49,0.0,0.0,0.0,4266.0,0.0,8803.0,48149.0,11.286685419596813,4061.1486719999994,3.3100656998272653,103140.0,151289.0,65.21951819415104
17,2018-10-10,5817.96,,1697.0,64.0,11087.84,0.0,0.0,0.0,4225.0,0.0,8671.0,52374.0,12.39621301775148,4167.928671999999,3.1802398989898992,111811.0,164185.0,67.8322634676923
18,2018-10-11,5777.86,,1666.0,64.0,10848.91,0.0,0.0,0.0,4163.0,0.0,8535.0,56537.0,13.580831131395628,4208.0286719999995,3.100748692352398,120346.0,176883.0,69.5527687572342
19,2018-10-12,5740.37,,1640.0,64.0,10549.81,0.0,0.0,0.0,4060.0,0.0,8354.0,60597.0,14.92536945812808,4245.518671999999,3.003898243975386,128700.0,189297.0,71.77778789103914
20,2018-10-13,5716.73,,1623.0,64.0,10204.93,0.0,0.0,0.0,3957.0,0.0,8164.0,64554.0,16.313874147081123,4269.158672,2.916316793663549,136864.0,201418.0,73.922202960099
21,2018-10-14,5681.24,,1602.0,64.0,9855.51,0.0,0.0,0.0,3788.0,0.0,7955.0,68342.0,18.041710665258712,4304.648671999999,2.80144855621505,144819.0,213161.0,76.93601833256919
22,2018-10-15,5648.05,,1563.0,64.0,9641.42,0.0,0.0,0.0,3765.0,0.0,7929.0,72107.0,19.151925630810094,4337.838671999999,2.7678434064308455,152748.0,224855.0,77.8540773455926
23,2018-10-16,5633.12,,1563.0,64.0,9573.52,0.0,0.0,0.0,3693.0,0.0,7818.0,75800.0,20.525318169509884,4352.768671999999,2.7149353283583495,160566.0,236366.0,79.36400737376074
24,2018-10-17,5628.83,,1563.0,64.0,9121.43,0.0,0.0,0.0,3525.0,0.0,7560.0,79325.0,22.50354609929078,4357.058671999999,2.611818093997177,168126.0,247451.0,82.4952164257429
25,2018-10-18,5559.23,,1517.0,64.0,9460.35,0.0,0.0,0.0,3647.0,0.0,7643.0,82972.0,22.75075404442007,4426.658672,2.6172002679790527,175769.0,258741.0,82.29115341712667
26,2018-10-19,5506.09,,1493.0,64.0,9509.24,0.0,0.0,0.0,3648.0,0.0,7518.0,86620.0,23.74451754385965,4479.798671999999,2.5569567497383736,183287.0,269907.0,84.20384607552927
