Well,Date and Time,Elapsed Time,Choke,Tubing Pressure,Casing Pressure,Gas Rate,Prod.,Oil Rate,Cum Oil Prod.,Water Rate,Cum Water,Remaining,Recovered,Water
Silvertip 1H,9/26/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,9/27/2018,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,9/28/2018,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,9/29/2018,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,9/30/2018,96.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,10/1/2018,120.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,10/2/2018,144.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,10/3/2018,168.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,10/4/2018,192.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,10/5/2018,216.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,10/6/2018,240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,10/7/2018,264.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,10/8/2018,288.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,10/9/2018,312.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,10/10/2018,336.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,10/11/2018,360.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,10/12/2018,384.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,10/13/2018,408.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,10/14/2018,432.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,10/15/2018,456.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,10/16/2018,480.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,10/17/2018,504.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,10/18/2018,528.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,10/19/2018,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,10/20/2018,576.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,10/21/2018,600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,10/22/2018,624.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,10/23/2018,648.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644487.97,0.00,
Silvertip 1H,10/24/2018,672.00,20.00,0.00,2866.00,1044.41,0.00,349.00,349.00,937.00,937.00,643550.97,937.00,1114.63
Silvertip 1H,10/25/2018,696.00,35.00,0.00,2457.00,1887.12,1044.41,646.00,995.00,3363.00,4300.00,640187.97,4300.00,561.14
Silvertip 1H,10/26/2018,720.00,50.00,0.00,2193.00,4658.46,2931.53,1516.00,2511.00,5462.00,9762.00,634725.97,9762.00,852.89
Silvertip 1H,10/27/2018,744.00,58.00,0.00,1628.00,5271.72,7589.99,1657.00,4168.00,5610.00,15372.00,629115.97,15372.00,939.70
Silvertip 1H,10/28/2018,768.00,64.00,0.00,1448.00,7093.75,12861.71,2277.00,6445.00,6622.00,21994.00,622493.97,21994.00,1071.24
