DEPTH,DNAMarker0,DNAMarker1,DNAMarker2,DNAMarker3,DNAMarker4,DNAMarker5,DNAMarker6,DNAMarker7,DNAMarker8,DNAMarker9,DNAMarker10,DNAMarker11,DNAMarker12,DNAMarker13,DNAMarker14,DNAMarker15,DNAMarker16,DNAMarker17,DNAMarker18,DNAMarker19,DNAMarker20,DNAMarker21,DNAMarker22,DNAMarker23,DNAMarker24,DNAMarker25,DNAMarker26,DNAMarker27,DNAMarker28,DNAMarker29,DNAMarker30,DNAMarker31,DNAMarker32,DNAMarker33,DNAMarker34,DNAMarker35,DNAMarker36,DNAMarker37,DNAMarker38,DNAMarker39,DNAMarker40,DNAMarker41,DNAMarker42,DNAMarker43,DNAMarker44,DNAMarker45,DNAMarker46,DNAMarker47,DNAMarker48,DNAMarker49,DNAMarker50,DNAMarker51,DNAMarker52,DNAMarker53,DNAMarker54,DNAMarker55,DNAMarker56,DNAMarker57,DNAMarker58,DNAMarker59,DNAMarker60,DNAMarker61,DNAMarker62,DNAMarker63,DNAMarker64,DNAMarker65,DNAMarker66,DNAMarker67,DNAMarker68,DNAMarker69,DNAMarker70,DNAMarker71,DNAMarker72,DNAMarker73,DNAMarker74,DNAMarker75,DNAMarker76,DNAMarker77,DNAMarker78,DNAMarker79,DNAMarker80,DNAMarker81,DNAMarker82,DNAMarker83,DNAMarker84,DNAMarker85,DNAMarker86,DNAMarker87,DNAMarker88,DNAMarker89,DNAMarker90,DNAMarker91,DNAMarker92,DNAMarker93,DNAMarker94,DNAMarker95,DNAMarker96,DNAMarker97,DNAMarker98
10687,0,0,0,0,0.76608,0,0,0.00518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00054,0,0,0,0,0,0,0,0,0,0,0.00104,0,0,0,0,0,0,0,0,0,0,0.10263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215
10706,0.00192,0.00121,0,0.00204,0,0.00062,0,0.50391,0.00031,0,0,0,0,0.00065,0,0,0.00019,0,0,0.00074,0,0,0.00037,0.00022,0,0,0,0,0.00028,0.00492,0,0,0,0.00037,0,0.00087,0,0.00034,0,0,0,0,0,0.00037,0.12623,0,0,0,0.00046,0,0,0,0,0,0,0,0.00009,0,0,0,0,0,0,0,0,0,0,0,0.00083,0,0,0.00093,0,0,0,0,0,0,0,0,0,0,0.00025,0,0,0,0,0,0,0.00031,0,0.00022,0,0,0.00059,0.00025,0,0,0.00915
11848.8,0.01197,0.00406,0.02905,0.00233,0,0.00134,0.00178,0,0.0014,0.00061,0.00031,0.00112,0.00077,0.00133,0.00088,0.0014,0.00063,0.00057,0.00046,0.00061,0.00045,0.0003,0.00069,0.00054,0.00025,0.00025,0.00028,0.00039,0.00098,0.02191,0.01782,0.00029,0.11824,0.00182,0.00006,0.00022,0.00025,0.00022,0.00039,0.00713,0.00028,0.00015,0.00015,0.0011,0,0,0.00023,0.00031,0.00024,0.0001,0.0086,0,0,0.00019,0.00108,0,0.00105,0.00009,0.00116,0.01145,0.00027,0,0,0,0.00039,0,0.0072,0.00505,0.02132,0.00184,0.00133,0,0.0001,0.00016,0.07337,0,0.00941,0.00277,0.00022,0.00169,0.00007,0.00027,0.00017,0.00364,0.00011,0.00545,0.00011,0.00169,0,0.00007,0.00996,0.01743,0.00016,0.00169,0.0009,0.00013,0.00006,0.01298,0
11868.8,0.02043,0.00686,0.02789,0.00602,0,0.00247,0.00352,0,0.00197,0.00132,0.00081,0.00187,0.00097,0.00207,0.00143,0.00797,0.00076,0.00133,0.00157,0.00187,0.00078,0.00129,0.00171,0.00017,0.00065,0.00115,0.00031,0.00034,0.00049,0.01285,0.01171,0.0005,0.00126,0.00084,0.00065,0.00067,0.0005,0.0008,0.00053,0.01595,0.00012,0.00041,0.0004,0.00163,0,0.00027,0.00032,0.00246,0.00015,0.00032,0.08584,0.0004,0.00009,0.00037,0.00049,0,0.00095,0.00051,0.00046,0.00273,0.00007,0,0,0.00006,0.00035,0.0001,0.00526,0.0011,0.01378,0.00715,0.00076,0.00012,0,0.00022,0.00011,0.00022,0.01588,0.00013,0.00016,0.00074,0.00006,0.00756,0.00012,0.03177,0.00031,0.05525,0,0.0005,0.00054,0.00017,0.0325,0.00271,0.0003,0.00016,0.05206,0.00036,0.00013,0.03823,0
11888.8,0.0969,0.02334,0.00494,0.02909,0,0.01156,0.01686,0,0.01524,0.00403,0.0074,0.00553,0.00775,0.01172,0.00768,0.00276,0.00115,0.01153,0.01086,0.00364,0.0072,0.00454,0.00309,0.00476,0.00731,0.00537,0.0006,0.00113,0.00371,0.00255,0.0046,0.00315,0,0.00058,0.00639,0.00538,0.00367,0.00314,0.00194,0.00101,0.00023,0.00381,0.00461,0.00343,0,0,0,0.00165,0.00389,0.0035,0.0019,0.00252,0.00458,0.00459,0.00432,0,0.00665,0.00207,0.00408,0.0021,0.00478,0.00218,0.00241,0,0,0,0.03116,0.00048,0.00098,0,0,0,0,0.00044,0,0.00019,0.00534,0.00131,0,0,0.00282,0.00045,0.00053,0.00275,0.00037,0,0.00174,0.00174,0,0,0.00035,0.00033,0.0003,0.00268,0.00006,0.00197,0,0.00105,0.00252
11908.8,0.13377,0.02748,0.00437,0.00666,0,0.01776,0.02217,0,0.02149,0.00653,0.0072,0.01371,0.00983,0.00253,0.01285,0.00289,0.00225,0.01135,0.01214,0.00464,0.00733,0.00752,0.0082,0.00707,0.00594,0.00857,0.00149,0.00183,0.00626,0.00547,0.0018,0.00529,0.03315,0.001,0.00002,0.00566,0.00509,0.00538,0.0037,0.00118,0,0.00433,0.00481,0.00459,0,0,0.00078,0.00154,0.00423,0.00458,0.0015,0.00051,0.00372,0.00179,0.00123,0,0.00075,0.00134,0.00081,0.00206,0.00322,0.00005,0.00004,0.00071,0.00115,0.0012,0.00699,0.00107,0.0043,0.00069,0.00053,0.00035,0.00033,0.00321,0,0.00136,0.00268,0.00244,0.0006,0,0.00286,0,0.00207,0.00061,0.00048,0.00178,0.00281,0.0014,0.00048,0.00016,0.0008,0.00181,0.00194,0.00118,0.00019,0.00144,0,0.00216,0.00018
11948.8,0.16737,0.03274,0.0002,0.00624,0,0.01789,0.03267,0,0.03094,0.00668,0.01411,0.01386,0.01662,0.00301,0.01947,0.0065,0.00412,0.0161,0.01905,0.00495,0.00912,0.00937,0.01278,0.00799,0.00754,0.01098,0.00208,0.00219,0.00814,0.00029,0.00102,0.00867,0,0.00012,0,0.00752,0.00297,0.00912,0.00442,0.00048,0,0.00435,0.00975,0.00534,0,0.0002,0.00083,0.00212,0.00471,0.00806,0.00033,0.00195,0.00562,0.00261,0.0007,0,0.00081,0.00186,0.0009,0,0.0041,0,0,0,0,0.00109,0.00616,0,0.00204,0,0,0,0.00078,0.0039,0,0.00091,0.00115,0,0,0,0.00393,0,0.00219,0.0005,0.00094,0,0.00544,0.00035,0,0,0.00015,0.00028,0.00299,0.00017,0,0.00289,0,0.00048,0.00043
12028.4,0.13077,0.02936,0.02226,0.00667,0,0.03836,0.01923,0,0.01889,0.00519,0.02618,0.0117,0.00953,0.00198,0.01097,0.00352,0.00569,0.00913,0.01005,0.00536,0.00481,0.0083,0.00678,0.00431,0.00432,0.00634,0.00125,0.00321,0.00429,0.00531,0.00345,0.00538,0,0.00057,0.02194,0.00483,0.00469,0.00479,0.0037,0.01949,0.00008,0.00531,0.00406,0.00436,0,0.0002,0.00138,0.0006,0.00316,0.00317,0.00105,0.00028,0.00375,0.00354,0.00228,0,0.00022,0.00095,0.00078,0.00636,0.00225,0,0,0,0,0.00076,0.00024,0.00257,0.00278,0.00282,0.00017,0.00093,0.00076,0.00189,0,0.00134,0.00082,0.00298,0.00188,0,0.00312,0.0004,0.00166,0.00285,0.00068,0.00063,0.00168,0.00169,0.001,0.00054,0.00104,0.0006,0.00204,0.00337,0.00006,0.00122,0,0.00067,0
12058,0.11149,0.0257,0.02251,0.01694,0,0.01044,0.01124,0,0.01204,0.00866,0.00466,0.0082,0.00586,0.00895,0.00564,0.00149,0.01074,0.00627,0.00609,0.00364,0.00322,0.00484,0.00513,0.00334,0.00415,0.00332,0.00246,0.00169,0.00219,0.01287,0.00379,0.00322,0,0.00389,0.00039,0.00242,0.00305,0.00258,0.00191,0.00237,0.0019,0.00225,0.00232,0.00258,0,0.00078,0.00162,0.00094,0.00341,0.00169,0.00283,0,0.00087,0.00211,0.00404,0,0.00206,0.00089,0.00221,0.0102,0.00193,0,0,0.00007,0.00159,0.00106,0.00918,0.00157,0.00235,0.00428,0.00229,0.00066,0.00075,0.00168,0.00012,0.00095,0.02501,0.00072,0.00023,0.00111,0.0019,0,0.00258,0.00056,0.00058,0.0004,0.0011,0.00076,0.00036,0.00039,0.00592,0.00527,0.00133,0.00245,0.00059,0.00094,0.00008,0.00013,0.00002
12068.7,0.1503,0.03181,0.01257,0.01185,0,0.01491,0.02147,0,0.02048,0.00618,0.01013,0.0119,0.00958,0.00524,0.01278,0.00222,0.00438,0.0101,0.01191,0.00679,0.00829,0.0091,0.0069,0.00588,0.00503,0.00689,0.00194,0.0021,0.00525,0.00302,0.00307,0.00715,0,0.00225,0.00019,0.00544,0.00486,0.00468,0.00596,0.00144,0.00106,0.0042,0.00508,0.00417,0,0.00018,0.00091,0.00103,0.00361,0.00496,0.0005,0.0017,0.00394,0.00228,0.00403,0,0.0014,0.00167,0.00101,0.00413,0.00313,0.0001,0.00057,0.00016,0.00009,0.0015,0,0.0002,0.00095,0.001,0.00162,0.00083,0.00101,0.00297,0,0.00088,0.00055,0.00194,0.0002,0,0.00214,0.02758,0.00161,0.00116,0.00067,0.0001,0.0027,0.00127,0.00069,0.00013,0.00329,0.00157,0.00224,0.00822,0.00004,0.00229,0,0.0002,0
