Well Name,WINS,Completion,API #10,Operating Company,Budgeting Area,Production Method,Foreman Name,Route Description,Pad Name,State,County,Formation,Member,Interval,Target,True Vertical Depth,Measured Depth,First Date,Last Date,First Oil Date,First Gas Sales Date,Base or Wedge,Surface Latitude,Surface Longitude,Bottom Hole Latitude,Bottom Hole Longitude,Lateral Length,Stimulated Lateral Length,Total Proppant,Water Volume Pumped,Proppant Intensity,Fluid Intensity,Number of Stages,Number of Perforation Clusters,Stage Length,Cluster Spacing,Clusters/Stage,Primary Fluid,Primary Treatment Type,Proppant/cluster,Fluid/ cluster,Frac Company,Avg Injection Rate,Avg Injection Pressure,Max Injection Rate,Max Injection Pressure,Oil Gravity API,Gas Gravity,Solution Gas Oil Ratio,Initial Reservoir Pressure,Reservoir Temperature,Formation Compressibility,Water Saturation,N2 PCT,CO2 PCT,H2S PCT,PVT Lab Report,Result,Period Start,Period End,Slope,Variance,Average Oil Rate,Average Gas Rate,Average Water Rate,Average Oil Gravity,Average Gas Gravity,Average Separator Pressure,Average Separator Temperature,Average Separator Gas Oil Ratio,Stock Tank Gas Oil Ratio,Calculated Solution Gas Oil Ratio,Saturation Pressure,Stock Tank Gas Specific Gravity,Oil Specific Gravity,Water Specific Gravity,Corrected Gas Specific Gravity,Gas Pseudo Critical Pressure,Gas Pseudo Critical Temperature,Saturation Pressure,Bob,Boi,Bgi,Bwi,Coi,Cgi,Cwi,Cti,Pressure Gradient,Temperature Gradient,Initial Reservoir Pressure,Reservoir Temperature,Solution Gas Oil Ratio,Oil Gravity,Gas Gravity,Water Saturation,VLime,VClay,VSand,TOC,Isopach,Porosity,Structure ,Maturity,Recombined GOR,Solution GOR at Standard Conditions,Solution GOR at Separator Conditions,Initial Reservoir Pressure,Reservoir Temperature,Saturation Pressure,Fluid Type,Lab Company,Oil Gravity,Gas Gravity,N2 PCT,CO2 PCT,H2S PCT,Casing True Vertical Depth,Casing Measured Depth,Tubing Depth,Casing ID,Tubing ID,Tubing Flow Date,Lift Correlation,Gauge Depth,BHP Gauge Available,BHP All Inputs Available,Gas Lift Valves Data Source,Gas Lift Valve 1 Depth,Gas Lift Valve 2 Depth,Gas Lift Valve 3 Depth,Gas Lift Valve 4 Depth,Gas Lift Valve 5 Depth,Gas Lift Valve 6 Depth,Gas Lift Valve 7 Depth,Gas Lift Valve 8 Depth,Gas Lift Valve 9 Depth,Gas Lift Valve 10 Depth,BHP Last Calculated Value,Last Calculated Date,BHP Results Count,Well Status,Initial Value,Di,De,b,Manual Fit,Initial Value (Manual),Di (Manual),De (Manual),b (Manual),Initial Value (Auto),Di (Auto),De (Auto),b (Auto),Excluded Data,Excluded After Date,Notes,User Name,DateTime Last Processed,MBT Filter,MBT Filter Value,Outlier Filter,Outlier Filter Value,Bourdet Smoothing,Cubic Spline Smoothing,Cumulative Oil Production (Current),Cumulative Gas Production (Current),Cumulative Water Production (Current),Cumulative Liquid Production (Current),Cumulative BOE Production (Current),Cumulative Total Equivalent Rate Production (Current),Liq. Productivity Index Forecast - Initial Value,Liq. Productivity Index Forecast - Di,Liq. Productivity Index Forecast - b,Avg. Pressure Forecast - Initial Value,Avg. Pressure Forecast - Di,Avg. Pressure Forecast - b,Liq. Rate Prediction Forecast - Initial Value,Liq. Rate Prediction Forecast - Di,Liq. Rate Prediction Forecast - b
SILVERTIP 76-10 UNIT G 1H,J7516,1,4230132911,ANADARKO E&P ONSHORE LLC,DELAWARE BASIN PERMIAN OP BUDGET CC,GAS LIFT,JAMES WEAVER,DC1 SILVERTIP EAST,SILVERTIP 76-10 G/ 76-16 R/ 76-15 S 1H PAD,TX,LOVING,WOLFCAMP,WC_A,ALPHA,W1_ALPHA,12226.87648,12712,9/23/2017,5/27/2019,9/25/2017,10/10/2017,base,31.9709901,-103.5462606,31.9998755,-103.5462749,9665,9675,33333369,641184.07,3445.309457,66.2722553,45,360,215,26.94986072,8,SLICKWATER FRAC,PNP,92592.69167,1781.066861,PUMPCO,60,9410,72,11360,45.7,0.788,2409,10229.34473,183.3675537,0.000004,0.550790787,0.796,0.102,0,TRUE,TRUE,10/1/2017,10/2/2017,8.275892827,167.04,909.8181818,1673.803636,5022.545455,44.5,0.78,369.9090909,132.4545455,1840.017391,205.8249562,2045.842348,4233.373043,1.46654794,0.798532731,1.0547512,0.785808843,651.6360576,398.1455209,4771.953754,2.495026638,2.322765818,0.000466025,1.004238183,1.31201E-05,3.25428E-05,2.14083E-06,1.10728E-05,0.836627781,0.014997089,10229.34473,183.3675537,1848.646362,46.15315628,0.796495616,0.550790787,0.068001032,0.24522686,0.604070604,0.330816478,194.0964355,0.069715418,1.043144226,-8933.425781,1612,2409,1960,10035,183,4000,Bubble Point (Oil),Corelab,45.7,0.788,0.796,0.102,0,12219.6,12712,11712,3.826,2.441,9/23/2017,PetroleumExperts2,11368,TRUE,TRUE,DEFAULT,1064.727273,2129.454545,3194.181818,4258.909091,5323.636364,6388.363636,7453.090909,8517.818182,9582.545454,10647.27273,4412.947,5/27/2019,583,include,2.576,0.087187,87.45751548,2.14,FALSE,,,,,6.784186692,0.05,87.45751548,1.658135941,FALSE,,,SYSTEM.SCHEDULER,5/28/2019,TRUE,5,TRUE,1,0.2,0.2,410909.4698,917141.4706,1542616,1953525.474,563766.382,2517917.147,7.010393684,0.05,1.699817284,10263.96682,2.73E-07,12.06843514,7845.679594,0.05,5.018988701
SILVERTIP 76-10 UNIT H 1H,J7517,1,4230132922,ANADARKO E&P ONSHORE LLC,DELAWARE BASIN PERMIAN OP BUDGET CC,GAS LIFT,JAMES WEAVER,DC1 SILVERTIP EAST,SILVERTIP 76-10 H/ 76-11 I/ 76-15 T/ 76-14 U 1H PA PAD,TX,LOVING,WOLFCAMP,WC_A,BETA,MIDDLE_BETA,12680.44944,12960,12/10/2017,5/27/2019,12/11/2017,12/18/2017,base,31.9707138,-103.5314693,31.9998956,-103.5318658,9863,9893,33958166,724227.17,3432.54483,73.20602143,94,373,106,26.59408602,3.968085106,SLICKWATER FRAC,PNP,91040.65952,1941.627802,PUMPCO,54,10598,71,11830,46.9,0.78,2034.552941,10627.49121,188.3053741,0.000004,0.46594432,0.796,0.102,0,FALSE,TRUE,1/2/2018,1/2/2018,49.32506043,1589.76,1086.545455,1969.941818,4302.545455,46.9,0.78,346.3636364,131.9090909,1815.56479,218.9881508,2034.552941,4011.443407,1.47714957,0.793161435,1.0547512,0.777736352,652.738992,396.2581915,4408.94045,2.242066771,2.094319682,0.000461848,1.004840368,1.09672E-05,3.09447E-05,2.13691E-06,1.08528E-05,0.838100493,0.014850056,10627.49121,188.3053741,1800.39978,46.09835815,0.796741247,0.46594432,0.254161596,0.237725601,0.463736475,,282.1712646,0.076932885,1.039854407,-9293.710938,,,,,,,,,,,,,,12657.4,12960,11960,3.826,2.441,12/11/2017,PetroleumExperts2,11780.72,TRUE,TRUE,DEFAULT,1087.272727,2174.545454,3261.818182,4349.090909,5436.363636,6523.636363,7610.90909,8698.181818,9785.454545,10872.72727,3893.5024,5/27/2019,518,include,2.576,0.087187,87.76134859,2.14,FALSE,,,,,5.852599406,0.05,87.76134859,1.631245853,FALSE,,,SYSTEM.SCHEDULER,5/28/2019,TRUE,5,TRUE,1,0.2,0.2,431833.4096,873646.8202,1310048,1741881.41,577441.213,2237539.294,6.694122995,0.05,1.665094417,10671.58091,5.33E-07,9.748237344,10823.22208,0.05,3.063461301
SILVERTIP 76-11 UNIT I 1H,J7518,1,4230132923,ANADARKO E&P ONSHORE LLC,DELAWARE BASIN PERMIAN OP BUDGET CC,FLOWING,JAMES WEAVER,DC1 SILVERTIP EAST,SILVERTIP 76-10 H/ 76-11 I/ 76-15 T/ 76-14 U 1H PA PAD,TX,LOVING,WOLFCAMP,WC_A,ALPHA,W1_ALPHA,12356.10841,12829,12/4/2017,5/27/2019,12/6/2017,12/15/2017,base,31.9707144,-103.5313726,31.9999793,-103.5295971,9430,9479,19381390,409281.67,2044.666104,43.17772655,47,188,202,50.68983957,4,SLICKWATER FRAC,PNP,103092.5,2177.03016,PUMPCO,60,9306,72,11210,47.8,0.78,2165.699249,10355.66016,183.4889069,0.000004,0.618062794,0.796,0.102,0,FALSE,TRUE,12/8/2017,12/9/2017,52.6241925,5235.84,818.1818182,1600.254545,5506.909091,47.8,0.78,303.2727273,134.4545455,1968.080279,197.6189703,2165.699249,3996.616172,1.459350711,0.789180145,1.0547512,0.777736352,652.738992,396.2581915,4459.620174,2.329856868,2.173073408,0.000463106,1.003957641,1.18174E-05,3.20653E-05,2.13278E-06,9.83169E-06,0.838100493,0.014850056,10355.66016,183.4889069,1773.168701,46.26663971,0.795987189,0.618062794,0.076040417,0.238319084,0.605587065,0.404163241,197.4501038,0.068191476,1.039985061,-9020.951172,,,,,,,,,,,,,,12356.1,12829,11829,3.826,2.441,12/5/2017,PetroleumExperts2,11465.94,TRUE,TRUE,DEFAULT,1075.363636,2150.727273,3226.090909,4301.454545,5376.818182,6452.181818,7527.545454,8602.90909,9678.272727,10753.63636,4264.6306,5/27/2019,523,include,2.576,0.087187,87.9567256,2.14,FALSE,,,,,5.13241192,0.05,87.9567256,1.613981015,FALSE,,,SYSTEM.SCHEDULER,5/28/2019,TRUE,5,TRUE,1,0.2,0.2,257192.4599,629973.8212,1315274,1572466.46,362188.0971,1918182.672,5.464471563,0.05,1.595922354,10379.82515,3.68E-07,18.24511643,10462.16016,0.05,2.744549807
SILVERTIP 76-11 UNIT J 1H,J6662,1,4230132943,ANADARKO E&P ONSHORE LLC,DELAWARE BASIN PERMIAN OP BUDGET CC,GAS LIFT,JAMES WEAVER,DC1 SILVERTIP EAST,SILVERTIP 76-11 J/ 76-12 K/ 76-14 V/ 76-13 W 1H PA PAD,TX,LOVING,WOLFCAMP,WC_A,BETA,MIDDLE_BETA,12804.11524,13101,4/26/2018,5/27/2019,4/26/2018,4/26/2018,base,31.9707095,-103.5146155,31.9998999,-103.5150674,9839,9888,20921075,403166.02,2115.804511,40.77326254,25,200,396,49.68844221,8,SLICKWATER FRAC,PNP,104605.375,2015.8301,PUMPCO,60,9369,71,11833,46.21919632,0.796196938,1736.226318,10767.47168,187.5180054,0.000004,0.447691023,0.796,0.102,0,FALSE,,,,,,,,,,,,,,,,,,0.796199864,1.0547512,0.794080056,650.5054853,400.0693077,4011.875904,2.054113778,1.927772596,0.000461553,1.004243354,9.4004E-06,2.99063E-05,2.12409E-06,1.01429E-05,0.84093833,0.014645136,10767.47168,187.5180054,1736.226318,46.21919632,0.796196938,0.447691023,0.230495453,0.238655865,0.486977905,,272.3673096,0.080112427,1.040474057,-9369.152344,,,,,,,,,,,,,,12804.1,13101,12101,3.826,2.441,4/26/2018,PetroleumExperts2,11560,TRUE,TRUE,DEFAULT,1100.090909,2200.181818,3300.272727,4400.363636,5500.454545,6600.545454,7700.636363,8800.727272,9900.818181,11000.90909,3926.8376,5/27/2019,363,include,2.576,0.087187,89.79028257,2.14,FALSE,,,,,3.793839085,0.051879463,89.79028257,1.474508646,FALSE,,,SYSTEM.SCHEDULER,5/28/2019,TRUE,5,TRUE,1,0.2,0.2,231709.5903,417769.1299,711670,943379.5905,301337.7783,1177955.363,6.045127669,0.128476268,1.786351715,10881.22929,1.14882E-06,7.125017996,11306.61302,0.05,1.77028585
SILVERTIP 76-12 UNIT K 1H,J7520,1,4230132945,ANADARKO E&P ONSHORE LLC,DELAWARE BASIN PERMIAN OP BUDGET CC,FLOWING,JAMES WEAVER,DC1 SILVERTIP EAST,SILVERTIP 76-11 J/ 76-12 K/ 76-14 V/ 76-13 W 1H PA PAD,TX,LOVING,WOLFCAMP,WC_A,ALPHA,W1_ALPHA,12496.43405,13144,4/27/2018,5/27/2019,4/28/2018,4/27/2018,base,31.9707121,-103.5144221,31.9998775,-103.512358,9290,9340,19596800,627268.63,2098.158458,67.15938223,47,188,199,49.94652406,4,SLICKWATER FRAC,PNP,104238.2979,3336.535266,PUMPCO,60,9080,71,11300,46.21919632,0.796196938,1707.914063,10508.73047,183.0119781,0.000004,0.618062794,0.796,0.102,0,FALSE,,,,,,,,,,,,,,,,,,0.796199864,1.0547512,0.794080056,650.5054853,400.0693077,3948.916336,2.031865144,1.910125567,0.000462797,1.003438766,9.42453E-06,3.09187E-05,2.12076E-06,8.91034E-06,0.84093833,0.014645136,10508.73047,183.0119781,1707.914063,46.21919632,0.796196938,0.618062794,0.090160206,0.234282911,0.606606662,0.389100671,197.2427521,0.066977978,1.040177822,-9146.213867,,,,,,,,,,,,,,12496.5,13144,12144,3.92,2.441,4/28/2018,PetroleumExperts2,11700,TRUE,TRUE,DEFAULT,1104,2208,3312,4416,5520,6624,7728,8832,9936,11040,4579.319,5/27/2019,334,include,2.576,0.087187,88.61557448,2.14,FALSE,,,,,4.700533979,0.05,88.61557448,1.555885939,FALSE,,,SYSTEM.SCHEDULER,5/28/2019,TRUE,5,TRUE,1,0.2,0.2,197460.16,314556.4407,928631,1126091.161,249886.2334,1318510.963,6.15334638,0.075844798,1.619800255,10527.169,3.71E-07,14.56520367,11379.15209,0.05,2.444005204
SILVERTIP 76-12 UNIT L 1H,J6663,1,4230132954,ANADARKO E&P ONSHORE LLC,DELAWARE BASIN PERMIAN OP BUDGET CC,FLOWING,JAMES WEAVER,DC1 SILVERTIP EAST,SILVERTIP 76-12 UNIT L/ 76-13 X 1H PAD,TX,LOVING,WOLFCAMP,WC_A,ALPHA,SHALE_ALPHA,12553.61343,12851,11/22/2017,5/27/2019,11/24/2017,12/1/2017,base,31.9707052,-103.5043339,31.9998605,-103.5042581,9954,9993,25014020,545174.24,2503.154208,54.55561293,50,300,200,33.42140468,6,SLICKWATER FRAC,PNP,83380.06667,1817.247467,FTSI INC,56,10829,67,11584,45,0.78,1936.190663,10556.81445,183.8493805,0.000004,0.618062794,2.2,8.83,0,FALSE,TRUE,11/30/2017,11/30/2017,30.19162296,138.24,759.2727273,1315.44,6949.090909,45,0.78,357.8181818,133.3636364,1732.630132,203.5605314,1936.190663,4073.900747,1.451753545,0.801699717,1.0547512,0.701933236,663.0729891,378.0651061,4388.235717,2.166004224,2.029410565,0.000451818,1.003582465,1.05634E-05,3.25784E-05,2.12118E-06,9.34557E-06,0.84093833,0.014645136,10556.81445,183.8493805,1690.820801,46.21919632,0.796196938,0.618062794,0.090160206,0.232699558,0.607083797,0.389100671,197.2427521,0.066571742,1.039103866,-9185.451172,,,,,,,,,,,,,,12553.6,12851,11851,3.92,2.441,11/23/2017,PetroleumExperts2,,FALSE,TRUE,DEFAULT,1077.363636,2154.727273,3232.090909,4309.454545,5386.818182,6464.181818,7541.545454,8618.90909,9696.272727,10773.63636,4575.5939,5/27/2019,530,include,2.576,0.087187,86.78791689,2.14,FALSE,,,,,4.616370939,0.05,86.78791689,1.717605627,FALSE,,,SYSTEM.SCHEDULER,5/28/2019,TRUE,5,TRUE,1,0.2,0.2,233023.7001,492429.2914,1328756,1561779.701,315095.2483,1833748.136,5.231284977,0.05,1.659236902,10597.0165,4.13E-07,22.37582509,8909.465258,0.05,3.308892101
SILVERTIP 76-13 UNIT W 1H,J7521,1,4230132946,ANADARKO E&P ONSHORE LLC,DELAWARE BASIN PERMIAN OP BUDGET CC,GAS LIFT,JAMES WEAVER,DC1 SILVERTIP EAST,SILVERTIP 76-11 J/ 76-12 K/ 76-14 V/ 76-13 W 1H PA PAD,TX,LOVING,WOLFCAMP,WC_A,BETA,MIDDLE_BETA,12789.16416,13173,4/16/2018,5/27/2019,4/17/2018,4/27/2018,base,31.9707132,-103.5143256,31.9417406,-103.512552,9614,9648,24231670,543230.24,2511.57442,56.30495854,49,292,197,33.15463918,5.959183673,SLICKWATER FRAC,PNP,82985.17123,1860.377534,PUMPCO,66,10380,71,11730,45.8,0.78,1909.386357,10791.37891,188.3082886,0.000004,0.418051541,0.796,0.102,0,FALSE,TRUE,4/25/2018,4/26/2018,62.12804747,351.36,1001.454545,1786.996364,4396.363636,45.8,0.78,209.6363636,133.2727273,1784.706644,124.6797128,1909.386357,4000.360627,1.363537405,0.798082346,1.0547512,0.777736352,652.738992,396.2581915,4336.545773,2.154931558,2.017529068,0.000459458,1.004424988,1.02019E-05,3.01399E-05,2.12581E-06,1.08257E-05,0.84379077,0.01472405,10791.37891,188.3082886,1825.839355,44.1996727,0.80535686,0.418051541,0.12732029,0.293548793,0.544244945,,242.2301941,0.081861295,1.054496408,-9059.304688,,,,,,,,,,,,,,12582.4,13173,12173,3.92,2.441,4/17/2018,PetroleumExperts2,12100,TRUE,TRUE,DEFAULT,1106.636364,2213.272727,3319.909091,4426.545454,5533.181818,6639.818182,7746.454545,8853.090909,9959.727272,11066.36364,3815.8068,5/27/2019,372,include,2.576,0.087187,89.83720025,2.14,FALSE,,,,,3.91169501,0.05,89.83720025,1.448451437,FALSE,,,SYSTEM.SCHEDULER,5/28/2019,TRUE,5,TRUE,1,0.2,0.2,247294.84,368537.9202,714390,961684.8396,308717.8268,1225924.003,4.629431978,0.05,1.563032112,13617.36727,7.16005E-06,6.769326865,10455.71167,0.05,1.961180321
SILVERTIP 76-13 X 1H,J6667,1,4230132955,ANADARKO E&P ONSHORE LLC,DELAWARE BASIN PERMIAN OP BUDGET CC,FLOWING,JAMES WEAVER,DC1 SILVERTIP EAST,SILVERTIP 76-12 UNIT L/ 76-13 X 1H PAD,TX,LOVING,WOLFCAMP,WC_A,BETA,MIDDLE_BETA,12806.8849,13156,11/14/2017,5/27/2019,11/15/2017,11/22/2017,base,31.9707063,-103.5044307,31.941047,-103.503874,9761,9800,24470350,539820.88,2496.97449,55.08376327,49,294,200,33.44709898,6,SLICKWATER FRAC,PNP,83232.48299,1836.125442,FTSI INC,54,10840,68,11842,45,0.78,2138.342863,10806.33105,188.5692139,0.000004,0.404552042,2.2,8.83,0,FALSE,TRUE,11/20/2017,11/21/2017,8.275892827,259.2,1117.090909,2183.585455,6379.636364,45,0.78,326.1818182,136.5454545,1955.109624,183.2332392,2138.342863,4313.73692,1.433125983,0.801699717,1.0547512,0.701933236,663.0729891,378.0651061,4641.044852,2.304315987,2.148891748,0.000451109,1.004484884,1.13296E-05,3.14434E-05,2.12638E-06,1.16064E-05,0.84379077,0.01472405,10806.33105,188.5692139,1783.290649,44.1996727,0.80535686,0.404552042,0.109311186,0.303888857,0.552807987,,235.0376129,0.085042708,1.055907845,-9092.049805,,,,,,,,,,,,,,12583.8,13156,12156,3.826,2.441,11/14/2017,PetroleumExperts2,,FALSE,TRUE,DEFAULT,1105.090909,2210.181818,3315.272727,4420.363636,5525.454545,6630.545454,7735.636363,8840.727272,9945.818181,11050.90909,3848.9147,5/27/2019,535,include,2.576,0.087187,88.32369505,2.14,FALSE,,,,,4.866396842,0.05,88.32369505,1.581601726,FALSE,,,SYSTEM.SCHEDULER,5/28/2019,TRUE,5,TRUE,1,0.2,0.2,309928.0196,663147.4402,1242973,1552901.021,420452.5947,1927038.641,6.056079439,0.05,1.710699718,10840.85653,6.75E-07,6.478648654,10462.56697,0.05,2.688231528
SILVERTIP 76-14 UNIT U 1H,J7519,1,4230132924,ANADARKO E&P ONSHORE LLC,DELAWARE BASIN PERMIAN OP BUDGET CC,GAS LIFT,JAMES WEAVER,DC1 SILVERTIP EAST,SILVERTIP 76-10 H/ 76-11 I/ 76-15 T/ 76-14 U 1H PA PAD,TX,LOVING,WOLFCAMP,WC_A,ALPHA,W1_ALPHA,12333.05236,13015,1/10/2018,5/27/2019,1/11/2018,1/20/2018,base,31.9707141,-103.5312755,31.9410667,-103.5299211,9537,9566,12268440,411351.57,1282.504704,43.00141857,47,376,204,25.50933333,8,SLICKWATER FRAC,PNP,32628.82979,1094.020133,PUMPCO,60,9071,72,10890,46.3,0.78,1869.673514,10355.31152,183.958847,0.000004,0.593291104,0.796,0.102,0,FALSE,TRUE,1/15/2018,1/15/2018,49.32506043,1751.04,702.5454545,1160.683636,4850.181818,46.3,0.78,346.7272727,130.9090909,1656.242859,213.4306552,1869.673514,3874.22864,1.463967174,0.79583802,1.0547512,0.777736352,652.738992,396.2581915,4230.044328,2.126935699,1.995957302,0.000463368,1.00410727,1.03775E-05,3.20881E-05,2.13487E-06,9.48721E-06,0.839638948,0.014915922,10355.31152,183.958847,1894.407715,44.41090775,0.8043589,0.593291104,0.06851878,0.24537015,0.601964176,0.310416698,175.4576263,0.081294559,1.048142314,-8760.047852,,,,,,,,,,,,,,12186.7,13015,12015,3.92,2.441,1/11/2018,PetroleumExperts2,11445.71,TRUE,TRUE,DEFAULT,1092.272727,2184.545454,3276.818182,4369.090909,5461.363636,6553.636363,7645.90909,8738.181818,9830.454545,10922.72727,2425.8947,5/27/2019,485,include,2.576,0.087187,88.72459797,2.14,FALSE,,,,,5.022710825,0.05,88.72459797,1.546287596,FALSE,,,SYSTEM.SCHEDULER,5/28/2019,TRUE,5,TRUE,1,0.2,0.2,233391.8798,537161.4401,1206716,1440107.877,322918.7871,1725506.964,5.162141393,0.05,1.647045904,10373.64366,4.12E-07,13.4195305,11466.37988,0.05,2.475621958
SILVERTIP 76-14 V 1H,J6666,1,4230132944,ANADARKO E&P ONSHORE LLC,DELAWARE BASIN PERMIAN OP BUDGET CC,FLOWING,JAMES WEAVER,DC1 SILVERTIP EAST,SILVERTIP 76-11 J/ 76-12 K/ 76-14 V/ 76-13 W 1H PA PAD,TX,LOVING,WOLFCAMP,WC_A,ALPHA,W1_ALPHA,12466.64232,13200,4/28/2018,5/27/2019,4/28/2018,4/28/2018,base,31.9707112,-103.5145191,31.9410261,-103.5149022,9161,9193,22972800,504425.02,2498.944849,54.87055586,46,184,200,50.23497268,4,SLICKWATER FRAC,PNP,124852.1739,2741.440326,PUMPCO,60,9012,71,11900,44.1996727,0.80535686,1826.78894,10519.2373,183.5594635,0.000004,0.593291104,0.796,0.102,0,FALSE,,,,,,,,,,,,,,,,,,0.805351529,1.0547512,0.803322981,649.2415094,402.2071237,4174.110802,2.110573479,1.981467649,0.000464202,1.003588131,9.95521E-06,3.06837E-05,2.12253E-06,9.30815E-06,0.84379077,0.01472405,10519.2373,183.5594635,1826.78894,44.1996727,0.80535686,0.593291104,0.075633056,0.253156513,0.601395369,0.336095542,175.6894836,0.080357365,1.044313669,-8854.779297,,,,,,,,,,,,,,12286.3,13200,12200,3.92,2.441,4/28/2018,PetroleumExperts2,11760,TRUE,TRUE,DEFAULT,1109.090909,2218.181818,3327.272727,4436.363636,5545.454545,6654.545454,7763.636363,8872.727272,9981.818181,11090.90909,4481.5881,5/27/2019,362,include,2.576,0.087187,86.70244118,2.14,FALSE,,,,,4.278930124,0.05,86.70244118,1.725220325,FALSE,,,SYSTEM.SCHEDULER,5/28/2019,TRUE,5,TRUE,1,0.2,0.2,211831.62,427652.6993,1041012,1252843.621,283107.07,1488275.632,4.463428546,0.05,1.79437358,10577.64796,5.91E-07,20.20661963,12609.01953,0.05,2.346149938
