Well Name,Stages,Top Perf,Bottom Perf,Num Perfs,Plug Depth,TVD,Capacity Top Perf,Capacity Bottom Perf,Capacity Plug,Date,IWHP,Break Pres,Start Time,End Time,Pump Time,Ave Rate,Ave Pres,Max Rate,Max Pres,ISIP,FG,Design,Avg HHP,15 minute SIP,15% HCl Acid,Slickwater,Pump Down,Total Fluid,100 Mesh,Total Proppant,100 Mesh,Delivered Total Prop,"Plexslick 957, gal","Chemplex 4-N-1, gal","Payzone 845, gal","Payzone 850, gal","Payzone 217, gal","Stim741 Gel, gal","15% HCl Acid, gal","Diesel, gal","15% HCl Acid, gal"
Silvertip A 10H,1.0,21923.0,22085.0,24.0,22104.0,12138.0,401.5,403.9,404.2,43292.0,4750.0,10110.0,1.0,0.13,0.13,69.8,10805.0,73.3,11600.0,5710.0,0.9,55.0,18485.0,,30.0,10864.0,286.0,11180.0,505100.0,505100.0,505100.0,505100.0,456.0,8.0,91.0,34.0,91.0,10.0,,3619.0,1261.0
Silvertip A 10H,2.0,21722.0,21884.0,24.0,21903.0,12144.0,398.5,400.9,401.2,43293.0,5170.0,7330.0,0.47,0.67,0.2,69.5,10897.0,70.3,11740.0,5890.0,0.92,55.0,18562.0,,29.0,11376.0,262.0,11667.0,503100.0,503100.0,503100.0,503100.0,480.0,7.0,95.0,36.0,95.0,20.0,,3751.0,1224.0
Silvertip A 10H,3.0,21521.0,21683.0,24.0,21702.0,12144.0,395.5,397.9,398.2,43293.0,5320.0,7530.0,0.84,0.97,0.13,68.6,10974.0,70.5,10560.0,5810.0,0.91,55.0,18451.0,,28.0,10774.0,260.0,11062.0,500560.0,500560.0,500560.0,500560.0,453.0,7.0,91.0,34.0,91.0,20.0,,3436.0,1161.0
Silvertip A 10H,4.0,21320.0,21482.0,24.0,21501.0,12144.0,392.5,394.9,395.2,43294.0,5180.0,,0.15,0.28,0.13,70.4,10610.0,71.3,11610.0,5890.0,0.92,55.0,18307.0,,30.0,10800.0,230.0,11060.0,494820.0,494820.0,494820.0,494820.0,350.0,8.0,89.0,33.0,89.0,20.0,,3793.0,1251.0
Silvertip A 10H,5.0,21119.0,21281.0,24.0,21300.0,12144.0,389.5,391.9,392.2,43294.0,5140.0,8230.0,0.57,0.7,0.13,70.2,10898.0,70.8,11650.0,5870.0,0.92,55.0,18751.0,,30.0,10802.0,216.0,11048.0,501560.0,501560.0,501560.0,501560.0,320.0,8.0,91.0,34.0,91.0,10.0,,3583.0,1277.0
Silvertip A 10H,6.0,20918.0,21080.0,24.0,21099.0,12146.0,386.5,388.9,389.2,43294.0,5320.0,7790.0,0.84,0.97,0.13,70.0,11090.0,70.7,11610.0,6020.0,0.93,55.0,19027.0,,29.0,10862.0,210.0,11101.0,502620.0,502620.0,502620.0,502620.0,386.0,7.0,91.0,34.0,91.0,10.0,,3605.0,1211.0
Silvertip A 10H,7.0,20717.0,20879.0,24.0,20898.0,12149.0,383.5,385.9,386.2,43295.0,5380.0,7790.0,0.11,0.31,0.2,68.9,11006.0,70.2,12060.0,6100.0,0.94,55.0,18586.0,,30.0,10933.0,260.0,11223.0,501580.0,501580.0,501580.0,501580.0,318.0,8.0,91.0,34.0,91.0,20.0,,3876.0,1256.0
Silvertip A 10H,8.0,20516.0,20678.0,24.0,20697.0,12153.0,380.5,382.9,383.2,43295.0,5410.0,7760.0,0.51,0.63,0.13,70.3,11148.0,70.9,12180.0,6060.0,0.93,55.0,19208.0,,30.0,10811.0,230.0,11071.0,507500.0,507500.0,507500.0,507500.0,390.0,8.0,90.0,34.0,90.0,20.0,,3708.0,1269.0
Silvertip A 10H,9.0,20314.0,20477.0,24.0,20496.0,12157.0,377.5,379.9,380.2,43295.0,5170.0,7730.0,0.8,0.93,0.12,70.2,11175.0,71.4,11760.0,6130.0,0.94,55.0,19228.0,,30.0,10764.0,212.0,11006.0,504900.0,504900.0,504900.0,504900.0,394.0,8.0,90.0,33.0,90.0,20.0,,3677.0,1261.0
Silvertip A 10H,10.0,20113.0,20275.0,24.0,20294.0,12160.0,374.5,376.9,377.2,43296.0,5100.0,10200.0,0.13,0.26,0.13,70.7,10960.0,71.8,11660.0,6050.0,0.93,55.0,18992.0,,29.0,10894.0,236.0,11159.0,510340.0,510340.0,510340.0,510340.0,314.0,7.0,92.0,34.0,92.0,20.0,,3632.0,1224.0
