Well Name,Stages,Top Perf,Bottom Perf,Num Perfs,Plug Depth,TVD,Capacity Top Perf,Capacity Bottom Perf,Capacity Plug,Date,IWHP,Break Pres,Start Time,End Time,Pump Time,Ave Rate,Ave Pres,Max Rate,Max Pres,ISIP,FG,Design,Avg HHP,15 minute SIP,15% HCl Acid,Slickwater,Pump Down,Total Fluid,100 Mesh,Total Proppant,100 Mesh,Delivered Total Prop,"Chemplex 4-N-1, gal","Payzone 845, gal","Payzone 850, gal","Payzone 217, gal","Stim741 Gel, gal",Diesel,"7.5% HCl Acid, gal","15% HCl Acid, gal"
Silvertip A 6H,1.0,22448.0,23427.0,120.0,23446.0,12622.0,413.6,428.3,428.5,43307.0,5600.0,7620.0,0.31,0.16,0.85,58.7,11663.0,70.7,12380.0,6960.0,0.99,55.0,16780.0,,15.0,43162.0,923.0,44100.0,1966420.0,1966420.0,1966420.0,1966420.0,1813.0,4.0,364.0,135.0,364.0,14639.0,,628.0
Silvertip A 6H,2.0,21436.0,22416.0,120.0,23446.0,12603.0,398.5,413.2,428.5,43308.0,5420.0,7500.0,0.59,0.58,0.99,53.3,11854.0,70.2,12470.0,6420.0,0.94,55.0,15486.0,,17.0,57250.0,2148.0,59415.0,2484700.0,2484700.0,2484700.0,2484700.0,2389.0,4.0,477.0,180.0,477.0,19642.0,,726.0
Silvertip A 6H,3.0,20930.0,21404.0,60.0,23446.0,12602.0,391.0,398.1,428.5,43310.0,5300.0,8410.0,0.16,0.44,0.29,59.9,11507.0,66.2,12100.0,6160.0,0.92,55.0,16894.0,,16.0,21325.0,459.0,21800.0,999220.0,999220.0,999220.0,999220.0,886.0,4.0,179.0,67.0,179.0,7894.0,,662.0
Silvertip A 6H,4.0,20424.0,20989.0,60.0,23446.0,12602.0,383.4,391.9,428.5,43310.0,5450.0,8390.0,0.68,0.54,0.85,57.2,11567.0,70.0,12160.0,6350.0,0.94,55.0,16216.0,,0.0,35854.0,253.0,36107.0,1490680.0,1490680.0,1490680.0,1490680.0,1456.0,,300.0,113.0,300.0,12176.0,,
Silvertip A 6H,5.0,19413.0,20392.0,120.0,23446.0,12585.0,368.3,382.9,428.5,43312.0,5550.0,8450.0,0.17,0.36,0.19,67.7,11460.0,70.7,12420.0,12480.0,1.43,55.0,19016.0,,0.0,23831.0,602.0,24433.0,976440.0,976440.0,976440.0,976440.0,1031.0,,200.0,75.0,200.0,9852.0,,
Silvertip A 6H,6.0,18401.0,19380.0,120.0,23446.0,12557.0,353.2,367.8,428.5,43316.0,5180.0,7930.0,0.1,0.02,0.92,60.6,10949.0,70.7,12490.0,6760.0,0.97,55.0,16262.0,,16.0,53255.0,185.0,53456.0,2516200.0,2516200.0,2516200.0,2516200.0,2232.0,4.0,447.0,167.0,447.0,16556.0,,675.0
Silvertip A 6H,7.0,18201.0,18361.0,24.0,18381.0,12570.0,350.2,352.6,352.9,43317.0,5470.0,7490.0,0.35,0.55,0.2,65.6,11298.0,70.3,11850.0,6667.0,0.96,55.0,18165.0,,14.0,11882.0,168.0,12063.0,501560.0,501560.0,501560.0,501560.0,515.0,3.0,100.0,37.0,100.0,4093.0,,575.0
Silvertip A 6H,8.0,18003.0,18162.0,24.0,18181.0,12567.0,347.3,349.6,349.9,43318.0,5063.0,7680.0,0.02,0.16,0.14,65.8,11259.0,70.6,11900.0,6600.0,0.96,55.0,18158.0,,15.0,10935.0,138.0,11088.0,499170.0,499170.0,499170.0,499170.0,456.0,4.0,92.0,34.0,92.0,4357.0,,631.0
Silvertip A 6H,9.0,17804.0,17964.0,24.0,17983.0,12568.0,344.3,346.7,347.0,43318.0,5520.0,7680.0,0.3,0.43,0.13,68.3,11024.0,70.4,11550.0,6630.0,0.96,55.0,18454.0,,13.0,10844.0,144.0,11002.0,508340.0,508340.0,508340.0,508340.0,451.0,3.0,91.0,34.0,91.0,3712.0,,559.0
Silvertip A 6H,10.0,17605.0,17765.0,24.0,17784.0,12566.0,341.3,343.7,344.0,43318.0,4970.0,7540.0,0.73,0.86,0.14,64.7,10924.0,70.1,11730.0,6373.0,0.94,55.0,17323.0,,14.0,10632.0,181.0,10827.0,496920.0,496920.0,496920.0,496920.0,436.0,3.0,89.0,34.0,89.0,3540.0,,580.0
Silvertip A 6H,11.0,17406.0,17566.0,24.0,17585.0,12567.0,338.4,340.7,341.0,43319.0,5220.0,7450.0,0.01,0.14,0.13,66.7,11054.0,70.0,11920.0,6370.0,0.94,55.0,18071.0,,14.0,10755.0,189.0,10959.0,502280.0,502280.0,502280.0,502280.0,430.0,4.0,90.0,34.0,90.0,3427.0,,599.0
Silvertip A 6H,12.0,17208.0,17367.0,24.0,17386.0,12565.0,335.4,337.8,338.1,43319.0,5260.0,,0.33,0.46,0.13,63.8,11246.0,70.6,11785.0,6623.0,0.96,55.0,17586.0,,15.0,11150.0,137.0,11302.0,498300.0,498300.0,498300.0,498300.0,433.0,4.0,93.0,35.0,93.0,4269.0,,612.0
Silvertip A 6H,13.0,17009.0,17169.0,24.0,23446.0,12559.0,332.4,334.8,428.5,43319.0,5350.0,7690.0,0.63,0.85,0.22,66.8,10917.0,70.1,12180.0,6630.0,0.96,7690.0,17874.0,,15.0,11548.0,165.0,11727.0,500680.0,500680.0,500680.0,500680.0,484.0,4.0,97.0,36.0,97.0,4037.0,,625.0
Silvertip A 6H,14.0,16810.0,16970.0,24.0,18381.0,12549.0,329.5,331.8,352.9,43319.0,5470.0,7690.0,0.06,0.61,0.55,67.7,10600.0,70.1,11530.0,5400.0,0.86,7690.0,17589.0,,15.0,9391.0,0.0,9406.0,368780.0,368780.0,368780.0,368780.0,384.0,4.0,79.0,30.0,79.0,3572.0,,631.0
Silvertip A 6H,15.0,16611.0,16771.0,24.0,18181.0,12535.0,326.5,328.9,349.9,43322.0,4610.0,,0.5,0.62,0.13,69.2,10366.0,70.5,10850.0,6207.0,0.93,7690.0,17582.0,,49.0,11295.0,140.0,11484.0,496300.0,496300.0,496300.0,496300.0,447.0,12.0,95.0,35.0,95.0,3461.0,,2061.0
Silvertip A 6H,16.0,16413.0,16572.0,24.0,17983.0,12537.0,323.5,325.9,347.0,43322.0,5260.0,,0.79,0.92,0.13,70.0,10446.0,71.0,11500.0,6460.0,0.95,55.0,17922.0,,0.0,11254.0,118.0,11431.0,498720.0,498720.0,498720.0,498720.0,272.0,8.0,94.0,35.0,94.0,3242.0,2490.0,
Silvertip A 6H,17.0,16214.0,16374.0,24.0,17784.0,12541.0,320.6,322.9,344.0,43323.0,5260.0,8000.0,0.1,0.23,0.13,69.8,10815.0,70.6,11450.0,6340.0,0.94,55.0,18502.0,,0.0,11148.0,128.0,11333.0,499440.0,499440.0,499440.0,499440.0,283.0,7.0,93.0,35.0,93.0,4063.0,2396.0,
Silvertip A 6H,18.0,16018.0,16175.0,24.0,16194.0,12548.0,317.6,320.0,320.3,43323.0,5300.0,7830.0,0.35,0.48,0.13,69.9,10725.0,70.4,11130.0,6273.0,0.93,7690.0,18374.0,,0.0,10950.0,103.0,11111.0,482420.0,482420.0,482420.0,482420.0,309.0,7.0,92.0,35.0,92.0,3304.0,2412.0,
Silvertip A 6H,19.0,15816.0,15976.0,24.0,15995.0,12542.0,314.6,317.0,317.3,43323.0,5200.0,8090.0,0.63,0.76,0.13,70.0,10732.0,71.0,11690.0,6121.0,0.92,55.0,18413.0,,0.0,10933.0,97.0,11089.0,484220.0,484220.0,484220.0,484220.0,269.0,8.0,93.0,35.0,93.0,3805.0,2502.0,
