Well Name,Stages,Top Perf,Bottom Perf,Num Perfs,Plug Depth,TVD,Capacity Top Perf,Capacity Bottom Perf,Capacity Plug,Date,IWHP,Break Pres,Start Time,End Time,Pump Time,Ave Rate,Ave Pres,Max Rate,Max Pres,ISIP,FG,Design,Avg HHP,15 minute SIP,15% HCl Acid,Slickwater,Pump Down,Total Fluid,100 Mesh,Total Proppant,100 Mesh,Delivered Total Prop,"Plexslick 957, gal","Chemplex 4-N-1, gal","Payzone 845, gal","Payzone 850, gal","Payzone 217, gal","Stim741 Gel, gal","15% HCl Acid, gal","15% HCl Acid, gal"
Silvertip A 8H,1.0,22597.0,22756.0,24.0,22775.0,12405.0,409.6,411.9,412.2,43244.0,4970.0,9990.0,0.87,0.01,0.14,69.0,11467.0,70.9,11990.0,5620.0,0.89,55.0,19393.0,,30.0,10964.0,340.0,11334.0,499020.0,499020.0,499020.0,499020.0,460.0,7.0,91.0,35.0,91.0,10.0,,1269.0
Silvertip A 8H,2.0,22398.0,22558.0,24.0,22577.0,12400.0,406.6,409.0,409.3,43245.0,5020.0,7690.0,0.21,0.34,0.13,70.5,10775.0,71.1,12080.0,5420.0,0.87,55.0,18619.0,,30.0,10840.0,316.0,11185.0,500800.0,500800.0,500800.0,500800.0,415.0,7.0,92.0,35.0,92.0,10.0,4130.0,1245.0
Silvertip A 8H,3.0,22200.0,22359.0,24.0,22378.0,12401.0,403.6,406.0,406.3,43245.0,5000.0,6260.0,0.53,0.65,0.13,69.7,10226.0,70.4,10870.0,5390.0,0.87,55.0,17469.0,,29.0,10835.0,272.0,11135.0,495780.0,495780.0,495780.0,495780.0,373.0,7.0,91.0,34.0,91.0,10.0,3354.0,1197.0
Silvertip A 8H,4.0,22001.0,22161.0,24.0,22180.0,12398.0,400.7,403.1,403.3,43245.0,5410.0,5800.0,0.91,0.1,0.18,70.0,10144.0,71.3,11330.0,5950.0,0.91,55.0,17404.0,,30.0,13644.0,242.0,13915.0,493700.0,493700.0,493700.0,493700.0,513.0,7.0,115.0,43.0,115.0,10.0,4272.0,1251.0
Silvertip A 8H,5.0,21803.0,21962.0,24.0,21981.0,12397.0,397.7,400.1,400.4,43246.0,4980.0,8550.0,0.27,0.4,0.13,69.7,11279.0,71.6,11590.0,5720.0,0.9,55.0,19268.0,,29.0,10847.0,256.0,11131.0,495260.0,495260.0,495260.0,495260.0,472.0,7.0,92.0,34.0,92.0,10.0,3349.0,1206.0
Silvertip A 8H,6.0,21604.0,21764.0,24.0,21783.0,12401.0,394.7,397.1,397.4,43246.0,5240.0,9370.0,0.54,0.68,0.14,62.8,10875.0,67.7,12200.0,5890.0,0.91,55.0,16739.0,,28.0,10794.0,259.0,11080.0,496840.0,496840.0,496840.0,496840.0,392.0,7.0,90.0,34.0,90.0,10.0,4129.0,1163.0
Silvertip A 8H,7.0,21405.0,21565.0,24.0,21584.0,12401.0,391.8,394.2,394.4,43246.0,5280.0,10280.0,0.86,0.05,0.18,64.8,11465.0,68.1,12190.0,5870.0,0.91,55.0,18209.0,,28.0,10767.0,276.0,11071.0,501540.0,501540.0,501540.0,501540.0,453.0,7.0,92.0,34.0,92.0,10.0,3473.0,1172.0
Silvertip A 8H,8.0,21207.0,21366.0,24.0,21385.0,12400.0,388.8,391.2,391.5,43247.0,5270.0,9630.0,0.19,0.4,0.21,58.4,11855.0,67.2,12260.0,5940.0,0.91,55.0,16969.0,,27.0,10837.0,239.0,11103.0,497580.0,497580.0,497580.0,497580.0,390.0,7.0,93.0,35.0,93.0,10.0,3956.0,1150.0
Silvertip A 8H,9.0,21008.0,21168.0,24.0,21187.0,12396.0,385.8,388.2,388.5,43247.0,5310.0,9880.0,0.55,0.73,0.17,64.5,11147.0,70.0,12000.0,5960.0,0.91,55.0,17622.0,,29.0,11231.0,229.0,11489.0,507180.0,507180.0,507180.0,507180.0,488.0,7.0,97.0,35.0,97.0,10.0,3892.0,1219.0
Silvertip A 8H,10.0,20810.0,20969.0,24.0,20988.0,12399.0,382.9,385.3,385.5,43247.0,5400.0,9240.0,0.88,0.01,0.14,65.9,11833.0,68.8,12160.0,6100.0,0.93,55.0,19113.0,,30.0,10871.0,220.0,11121.0,501580.0,501580.0,501580.0,501580.0,457.0,7.0,93.0,34.0,93.0,10.0,3943.0,1269.0
