Well Name,Stages,Top Perf,Bottom Perf,Num Perfs,Plug Depth,TVD,Capacity Top Perf,Capacity Bottom Perf,Capacity Plug,Date,IWHP,Break Pres,Start Time,End Time,Pump Time,Ave Rate,Ave Pres,Max Rate,Max Pres,ISIP,FG,Design,Avg HHP,15 minute SIP,15% HCl Acid,Slickwater,Pump Down,Total Fluid,100 Mesh,Total Proppant,100 Mesh,Delivered Total Prop,"Plexslick 957, gal","Chemplex 4-N-1, gal","Payzone 845, gal","Payzone 850, gal","Payzone 217, gal","Stim741 Gel, gal","15% HCl Acid, gal",15% HCL gal
Silvertip A 9H,1.0,23490.0,23652.0,24.0,23671.0,12662.0,427.3,429.7,430.0,43222.0,5130.0,9150.0,0.39,0.54,0.15,63.7,11792.0,66.9,12060.0,5750.0,0.89,55.0,18402.0,,29.0,11039.0,345.0,11413.0,501100.0,501100.0,501100.0,501100.0,458.0,,7.0,94.0,36.0,94.0,20.0,1200.0
Silvertip A 9H,2.0,23289.0,23451.0,24.0,23470.0,12661.0,424.3,426.7,427.0,43222.0,5500.0,7790.0,0.77,0.91,0.14,68.3,11837.0,70.5,12150.0,5880.0,0.9,55.0,19821.0,,29.0,10916.0,358.0,11303.0,503040.0,503040.0,503040.0,503040.0,458.0,,7.0,92.0,35.0,92.0,10.0,1200.0
Silvertip A 9H,3.0,23088.0,23250.0,24.0,23269.0,12648.0,421.3,423.7,424.0,43223.0,5330.0,8320.0,0.11,0.25,0.14,62.8,11975.0,67.4,12310.0,6235.0,0.93,55.0,18432.0,,29.0,10668.0,455.0,11152.0,494160.0,494160.0,494160.0,494160.0,404.0,,7.0,89.0,34.0,89.0,20.0,1200.0
Silvertip A 9H,4.0,22887.0,23049.0,24.0,23068.0,12640.0,418.3,420.7,421.0,43223.0,5370.0,7950.0,0.47,0.66,0.19,56.4,11992.0,67.0,12510.0,6180.0,0.92,55.0,16577.0,,29.0,10898.0,375.0,11301.0,499400.0,499400.0,499400.0,499400.0,400.0,,7.0,91.0,34.0,91.0,20.0,1200.0
Silvertip A 9H,5.0,22686.0,22848.0,24.0,22867.0,12619.0,415.3,417.7,418.0,43224.0,5210.0,7840.0,0.12,0.28,0.16,58.4,11465.0,70.7,12880.0,6545.0,0.95,55.0,16411.0,,29.0,10905.0,393.0,11327.0,495820.0,495820.0,495820.0,495820.0,423.0,,7.0,91.0,35.0,91.0,20.0,1200.0
Silvertip A 9H,6.0,22484.0,22647.0,24.0,22666.0,12620.0,412.3,414.7,415.0,43224.0,5630.0,7830.0,0.66,0.97,0.3,60.6,11752.0,67.5,12250.0,6340.0,0.94,55.0,17465.0,,29.0,11473.0,274.0,11775.0,494800.0,494800.0,494800.0,494800.0,464.0,,7.0,96.0,36.0,96.0,20.0,1200.0
Silvertip A 9H,7.0,22283.0,22445.0,24.0,22464.0,12631.0,409.3,411.7,412.0,43225.0,5550.0,8000.0,0.14,0.38,0.24,62.6,11735.0,70.3,12430.0,6820.0,0.97,55.0,18005.0,,29.0,10998.0,391.0,11418.0,501860.0,501860.0,501860.0,501860.0,430.0,,8.0,91.0,36.0,91.0,40.0,1200.0
Silvertip A 9H,8.0,22082.0,22244.0,24.0,22263.0,12635.0,406.3,408.7,409.0,43225.0,5400.0,7930.0,0.83,0.97,0.14,60.9,11859.0,64.1,12140.0,7210.0,1.0,55.0,17695.0,,29.0,10331.0,331.0,10690.0,411160.0,411160.0,411160.0,411160.0,447.0,,7.0,85.0,31.0,85.0,20.0,1200.0
Silvertip A 9H,9.0,21881.0,22043.0,24.0,22062.0,12635.0,403.3,405.7,406.0,43226.0,5510.0,8110.0,0.39,0.56,0.16,52.6,11307.0,65.2,12060.0,6260.0,0.93,55.0,14577.0,,29.0,11016.0,333.0,11377.0,499200.0,499200.0,499200.0,499200.0,530.0,,7.0,94.0,35.0,94.0,20.0,1200.0
Silvertip A 9H,10.0,21680.0,21842.0,24.0,21861.0,12636.0,400.3,402.7,403.0,43226.0,5560.0,8580.0,0.73,0.88,0.15,60.0,11704.0,65.9,11950.0,6250.0,0.93,55.0,17212.0,,29.0,10755.0,222.0,11005.0,495320.0,495320.0,495320.0,495320.0,514.0,,7.0,89.0,34.0,89.0,20.0,1200.0
