Well Name,Stages,Top Perf,Bottom Perf,Num Perfs,Plug Depth,TVD,Capacity Top Perf,Capacity Bottom Perf,Capacity Plug,Date,IWHP,Break Pres,Start Time,End Time,Pump Time,Ave Rate,Ave Pres,Max Rate,Max Pres,ISIP,FG,Design,Avg HHP,15 minute SIP,15% HCl Acid,Slickwater,Pump Down,Total Fluid,100 Mesh,Total Proppant,100 Mesh,Delivered Total Prop,"Plexslick 957, gal","Chemplex 4-N-1, gal","Payzone 845, gal","Payzone 850, gal","Payzone 217, gal","Stim741 Gel, gal","15% HCl Acid, gal",15% HCL gal
Silvertip B 2H,1.0,23174.0,23335.0,24.0,23354.0,12407.0,422.4,424.8,425.1,43263.0,4880.0,6490.0,0.03,0.33,0.3,61.0,11152.0,70.0,11650.0,5700.0,0.89,55.0,16673.0,,29.0,12203.0,314.0,12546.0,495420.0,495420.0,495420.0,495420.0,445.0,7.0,102.0,37.0,102.0,10.0,3968.0,1219.0
Silvertip B 2H,2.0,22974.0,23135.0,24.0,23154.0,12412.0,419.4,421.8,422.1,43263.0,5020.0,7740.0,0.88,0.01,0.13,69.7,11019.0,71.1,11730.0,5630.0,0.89,55.0,18824.0,,30.0,10771.0,308.0,11109.0,497560.0,497560.0,497560.0,497560.0,430.0,8.0,90.0,34.0,90.0,10.0,3391.0,1259.0
Silvertip B 2H,3.0,22774.0,22935.0,24.0,22954.0,12410.0,416.4,418.8,419.1,43264.0,5070.0,6000.0,0.16,0.29,0.13,69.8,10520.0,70.0,10880.0,5670.0,0.89,55.0,17997.0,,30.0,10798.0,299.0,11127.0,500110.0,500110.0,500110.0,500110.0,417.0,8.0,91.0,35.0,91.0,10.0,4204.0,1269.0
Silvertip B 2H,4.0,22574.0,22735.0,24.0,22754.0,12406.0,413.4,415.9,416.1,43264.0,4810.0,8490.0,0.48,0.61,0.14,62.8,10897.0,65.9,11910.0,5770.0,0.9,55.0,16773.0,,30.0,10632.0,268.0,10930.0,499860.0,499860.0,499860.0,499860.0,448.0,8.0,90.0,35.0,90.0,10.0,3857.0,1258.0
Silvertip B 2H,5.0,22374.0,22535.0,24.0,22554.0,12406.0,410.5,412.9,413.2,43264.0,4910.0,9240.0,0.75,0.88,0.13,69.5,10622.0,71.5,11900.0,5640.0,0.89,55.0,18094.0,,29.0,10709.0,276.0,11014.0,494660.0,494660.0,494660.0,494660.0,442.0,7.0,90.0,35.0,90.0,10.0,3016.0,1219.0
Silvertip B 2H,6.0,22174.0,22335.0,24.0,22354.0,12403.0,407.5,409.9,410.2,43265.0,4800.0,5820.0,0.58,0.73,0.15,69.1,10407.0,71.3,12030.0,5670.0,0.89,55.0,17626.0,,30.0,11007.0,199.0,11236.0,492100.0,492100.0,492100.0,492100.0,356.0,8.0,93.0,35.0,93.0,10.0,4281.0,1250.0
Silvertip B 2H,7.0,21973.0,22135.0,24.0,22154.0,12401.0,404.5,406.9,407.2,43265.0,4930.0,9130.0,0.95,0.1,0.15,68.6,11544.0,70.0,12040.0,5740.0,0.9,55.0,19410.0,,28.0,10685.0,123.0,10836.0,499020.0,499020.0,499020.0,499020.0,470.0,7.0,90.0,34.0,90.0,10.0,2658.0,1172.0
Silvertip B 2H,8.0,21773.0,21934.0,24.0,21953.0,12398.0,401.5,403.9,404.2,43266.0,4960.0,7670.0,0.27,0.47,0.19,70.0,10725.0,71.0,11240.0,5920.0,0.91,55.0,18401.0,,31.0,11702.0,229.0,11962.0,499440.0,499440.0,499440.0,499440.0,452.0,8.0,93.0,35.0,93.0,10.0,3412.0,1301.0
Silvertip B 2H,9.0,21573.0,21734.0,24.0,21753.0,12389.0,398.5,400.9,401.2,43266.0,5060.0,9530.0,0.59,0.73,0.14,64.8,11117.0,66.5,11960.0,5700.0,0.89,55.0,17656.0,,29.0,10697.0,180.0,10906.0,499080.0,499080.0,499080.0,499080.0,425.0,7.0,91.0,35.0,91.0,10.0,3825.0,1224.0
Silvertip B 2H,10.0,21373.0,21534.0,24.0,21553.0,12382.0,395.5,397.9,398.2,43266.0,5160.0,9300.0,0.88,0.02,0.14,60.6,11655.0,62.9,12050.0,5680.0,0.89,55.0,17311.0,,30.0,10727.0,202.0,10959.0,495560.0,495560.0,495560.0,495560.0,451.0,8.0,90.0,34.0,90.0,20.0,3690.0,1261.0
