Stage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Top Perf,21923.00,21722.00,21521.00,21320.00,21119.00,20918.00,20717.00,20516.00,20314.00,20113.00,19912.00,19711.00,19510.00,19309.00,19108.00,18907.00,18706.00,18505.00,18304.00,18103.00,17902.00,17701.00,17500.00,17299.00,17098.00,16897.00,16696.00,16495.00,16294.00,16093.00,15892.00,15691.00,15490.00,15289.00,15087.00,14886.00,14685.00,14484.00,14283.00,14082.00,13881.00,13680.00,13479.00,13278.00,13077.00,12876.00,12675.00,12474.00
Bottom Perf,22085.00,21884.00,21683.00,21482.00,21281.00,21080.00,20879.00,20678.00,20477.00,20275.00,20074.00,19873.00,19672.00,19471.00,19270.00,19069.00,18868.00,18667.00,18466.00,18265.00,18064.00,17863.00,17662.00,17461.00,17260.00,17059.00,16858.00,16657.00,16456.00,16255.00,16054.00,15853.00,15652.00,15451.00,15250.00,15048.00,14847.00,14646.00,14445.00,14244.00,14043.00,13842.00,13541.00,13440.00,13239.00,13038.00,12837.00,12636.00
Num Perfs,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00
Plug Depth,22104.00,21903.00,21702.00,21501.00,21300.00,21099.00,20898.00,20697.00,20496.00,20294.00,20093.00,19892.00,19691.00,19490.00,19289.00,19088.00,18887.00,18686.00,18485.00,18284.00,18083.00,17882.00,17681.00,17480.00,17279.00,17078.00,16877.00,16676.00,16475.00,16274.00,16073.00,15872.00,15671.00,15470.00,15269.00,15067.00,14866.00,14665.00,14464.00,14263.00,14062.00,13861.00,13660.00,13459.00,13258.00,13057.00,12856.00,12655.00
TVD,12138.00,12144.00,12144.00,12144.00,12144.00,12146.00,12149.00,12153.00,12157.00,12160.00,12163.00,12167.00,12170.00,12173.00,12176.00,12179.00,12181.00,12185.00,12189.00,12192.00,12195.00,12198.00,12203.00,12205.00,12209.00,12212.00,12215.00,12217.00,12219.00,12220.00,12221.00,12223.00,12226.00,12228.00,12229.00,12231.00,12232.00,12236.00,12238.00,12240.00,12241.00,12243.00,12245.00,12247.00,12248.00,12249.00,12250.00,12251.00
Capacity Top Perf,401.50,398.50,395.50,392.50,389.50,386.50,383.50,380.50,377.50,374.50,371.50,368.50,365.50,362.50,359.50,356.50,353.50,350.50,347.50,344.50,341.50,338.50,335.50,332.50,329.40,326.40,323.40,320.40,317.40,314.40,311.40,308.40,305.40,302.40,299.40,296.40,293.40,290.40,287.40,284.40,281.40,278.40,275.40,272.40,269.40,266.40,263.40,260.40
Capacity Bottom Perf,403.90,400.90,397.90,394.90,391.90,388.90,385.90,382.90,379.90,376.90,373.90,370.90,367.90,364.90,361.90,358.90,355.90,352.90,349.90,346.90,343.90,340.90,337.90,334.90,331.90,328.90,325.90,322.90,319.90,316.90,313.90,310.90,307.90,304.90,301.90,298.80,295.80,292.80,289.80,286.80,283.80,280.80,276.30,274.80,271.80,268.80,265.80,262.80
Capacity Plug,404.20,401.20,398.20,395.20,392.20,389.20,386.20,383.20,380.20,377.20,374.20,371.20,368.20,365.20,362.20,359.20,356.20,353.20,350.20,347.20,344.20,341.20,338.20,335.20,332.20,329.20,326.10,323.10,320.10,317.10,314.10,311.10,308.10,305.10,302.10,299.10,296.10,293.10,290.10,287.10,284.10,281.10,278.10,275.10,272.10,269.10,266.10,263.10
Date,43292.00,43293.00,43293.00,43294.00,43294.00,43294.00,43295.00,43295.00,43295.00,43296.00,43296.00,43296.00,43296.00,43297.00,43297.00,43297.00,43298.00,43298.00,43298.00,43298.00,43298.00,43298.00,43298.00,43300.00,43300.00,43300.00,43301.00,43301.00,43301.00,43301.00,43302.00,43302.00,43302.00,43302.00,43303.00,43303.00,43303.00,43304.00,43304.00,43304.00,43305.00,43305.00,43305.00,43306.00,43306.00,43306.00,43306.00,43307.00
IWHP,4750.00,5170.00,5320.00,5180.00,5140.00,5320.00,5380.00,5410.00,5170.00,5100.00,5270.00,5420.00,5410.00,5280.00,5000.00,5060.00,5230.00,5110.00,5230.00,5090.00,4980.00,5130.00,5070.00,5020.00,4820.00,5060.00,5000.00,4880.00,4970.00,5130.00,5090.00,5190.00,5050.00,5270.00,4960.00,5120.00,5150.00,4880.00,5300.00,5030.00,4570.00,5060.00,5000.00,5130.00,5200.00,5130.00,5130.00,5130.00
Break Pres,10110.00,7330.00,7530.00,N/A,8230.00,7790.00,7790.00,7760.00,7730.00,10200.00,8430.00,7750.00,7660.00,7850.00,8810.00,7910.00,7680.00,7510.00,7860.00,7740.00,7700.00,7490.00,7650.00,7830.00,7440.00,7570.00,7470.00,7540.00,7660.00,7440.00,7370.00,7660.00,7490.00,6840.00,N/A,7140.00,6860.00,7060.00,7250.00,7260.00,6990.00,7040.00,7070.00,7190.00,7000.00,7000.00,7120.00,6850.00
Start Time,1.00,0.47,0.84,0.15,0.57,0.84,0.11,0.51,0.80,0.13,0.42,0.68,0.95,0.24,0.51,0.80,0.13,0.44,0.73,0.03,0.33,0.61,0.88,0.20,0.62,0.87,0.11,0.38,0.62,0.88,0.15,0.39,0.63,0.89,0.40,0.67,0.93,0.24,0.48,0.70,0.15,0.54,0.80,0.04,0.47,0.69,0.93,0.17
End Time,0.13,0.67,0.97,0.28,0.70,0.97,0.31,0.63,0.93,0.26,0.55,0.80,0.10,0.36,0.63,0.99,0.25,0.56,0.81,0.15,0.46,0.73,0.05,0.32,0.74,0.99,0.23,0.50,0.75,0.02,0.27,0.51,0.75,0.02,0.53,0.79,0.05,0.37,0.60,0.82,0.30,0.66,0.92,0.37,0.60,0.82,0.05,0.29
Pump Time,0.13,0.20,0.13,0.13,0.13,0.13,0.20,0.13,0.12,0.13,0.13,0.12,0.14,0.12,0.12,0.19,0.12,0.12,0.08,0.13,0.13,0.12,0.17,0.12,0.12,0.12,0.12,0.12,0.13,0.14,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.15,0.12,0.12,0.33,0.12,0.12,0.12,0.12
Ave Rate,69.80,69.50,68.60,70.40,70.20,70.00,68.90,70.30,70.20,70.70,68.80,70.30,70.20,70.10,70.00,70.40,70.00,70.10,70.20,70.20,69.90,69.80,69.80,70.10,70.50,70.20,70.50,70.20,69.40,70.40,70.40,69.80,69.60,70.20,70.00,70.10,70.30,70.80,70.20,69.90,70.30,70.10,70.50,70.40,70.20,69.80,69.70,70.30
Ave Pres,10805.00,10897.00,10974.00,10610.00,10898.00,11090.00,11006.00,11148.00,11175.00,10960.00,11239.00,11193.00,10993.00,11272.00,11366.00,11074.00,11242.00,11348.00,11499.00,11262.00,10909.00,11241.00,11417.00,11383.00,11336.00,11584.00,11250.00,11529.00,11499.00,11350.00,11131.00,11130.00,10896.00,11040.00,11304.00,11238.00,11154.00,11175.00,10891.00,10737.00,10342.00,10735.00,10701.00,11294.00,10376.00,10717.00,10698.00,10727.00
Max Rate,73.30,70.30,70.50,71.30,70.80,70.70,70.20,70.90,71.40,71.80,70.80,71.70,71.10,70.60,70.40,71.30,71.30,70.90,71.90,71.50,70.60,70.40,70.80,70.90,72.70,71.30,71.60,70.90,72.10,71.60,71.30,71.30,71.50,72.30,71.00,71.70,71.10,73.00,71.60,71.30,70.90,72.00,71.10,70.90,70.70,71.10,70.70,71.00
