Stage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Top Perf,23230.00,23029.00,22829.00,22628.00,22427.00,22227.00,22026.00,21825.00,21625.00,21424.00,21223.00,21023.00,20822.00,20621.00,20421.00,20220.00,20019.00,19819.00,19618.00,19418.00,19217.00,19016.00,18816.00,18615.00,18414.00,18214.00,18013.00,17812.00,17612.00,17411.00,17210.00,17010.00,16809.00,16608.00,16408.00,16207.00,16006.00,15806.00,15405.00,15405.00,15204.00,15003.00,14803.00,14602.00,14401.00,14201.00,14000.00,13799.00,13599.00,13398.00,13197.00,12997.00,12769.00
Bottom Perf,23392.00,23191.00,22990.00,22790.00,22589.00,22388.00,22188.00,21987.00,21786.00,21586.00,21385.00,21184.00,20984.00,20783.00,20582.00,20382.00,20181.00,19980.00,19780.00,19579.00,19379.00,19178.00,18977.00,18777.00,18576.00,18375.00,18175.00,17974.00,17773.00,17573.00,17372.00,17171.00,16971.00,16770.00,16569.00,16369.00,16168.00,15967.00,15566.00,15566.00,15366.00,15165.00,14964.00,14764.00,14563.00,14362.00,14162.00,13961.00,13760.00,13560.00,13359.00,13158.00,12958.00
Num Perfs,24.00,24.00,24.00,24.00,32.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00
Plug Depth,23411.00,23210.00,23009.00,22809.00,22608.00,22407.00,22207.00,22006.00,21805.00,21605.00,21404.00,21203.00,21003.00,20802.00,20601.00,20401.00,20200.00,19999.00,19799.00,19598.00,19398.00,19197.00,18996.00,18796.00,18595.00,18394.00,18194.00,17993.00,17792.00,17592.00,17391.00,17190.00,16990.00,16789.00,16588.00,16388.00,16187.00,15986.00,15585.00,15585.00,15385.00,15184.00,14983.00,14783.00,14582.00,14381.00,14181.00,13980.00,13779.00,13579.00,13378.00,13177.00,12977.00
TVD,12540.00,12534.00,12531.00,12523.00,12509.00,12505.00,12513.00,12526.00,12536.00,12536.00,12534.00,12535.00,12531.00,12525.00,12513.00,12512.00,12517.00,12519.00,12516.00,12518.00,12521.00,12520.00,12511.00,12494.00,12483.00,12487.00,12500.00,12511.00,12519.00,12514.00,12511.00,12503.00,12496.00,12493.00,12493.00,12492.00,12493.00,12492.00,12475.00,12475.00,12483.00,12476.00,12475.00,12471.00,12467.00,12466.00,12472.00,12472.00,12466.00,12456.00,12449.00,12457.00,12459.00
Capacity Top Perf,423.50,420.50,417.50,414.50,411.50,408.50,405.50,402.50,399.50,396.50,393.50,390.60,387.60,384.60,381.60,378.60,375.60,372.60,369.60,366.60,363.60,360.60,357.60,354.60,351.60,348.60,345.60,342.60,339.60,336.60,333.60,330.60,327.60,324.60,321.60,318.60,315.60,312.70,306.70,306.70,303.70,300.70,297.70,294.70,291.70,288.70,285.70,282.70,279.70,276.70,273.70,270.70,267.30
Capacity Bottom Perf,425.90,422.90,419.90,416.90,413.90,410.90,407.90,404.90,401.90,399.00,396.00,393.00,390.00,387.00,384.00,381.00,378.00,375.00,372.00,369.00,366.00,363.00,360.00,357.00,354.00,351.00,348.00,345.00,342.00,339.00,336.00,333.00,330.10,327.00,324.00,321.10,318.10,315.10,309.10,309.10,306.10,303.10,300.10,297.10,294.10,291.10,288.10,285.10,282.10,279.10,276.10,273.10,270.10
Capacity Plug,426.20,423.20,420.20,417.20,414.20,411.20,408.20,405.20,402.20,399.20,396.20,393.20,390.30,387.30,384.30,381.30,378.30,375.30,372.30,369.30,366.30,363.30,360.30,357.30,354.30,351.30,348.30,345.30,342.30,339.30,336.30,333.30,330.30,327.30,324.30,321.30,318.30,315.30,309.40,309.40,306.40,303.40,300.40,297.40,294.40,291.40,288.40,285.40,282.40,279.40,276.40,273.40,270.40
Date,43223.00,43224.00,43224.00,43225.00,43225.00,43226.00,43226.00,43227.00,43227.00,43228.00,43228.00,43228.00,43229.00,43229.00,43229.00,43230.00,43230.00,43231.00,43231.00,43232.00,43232.00,43232.00,43232.00,43233.00,43233.00,43234.00,43234.00,43234.00,43235.00,43235.00,43235.00,43236.00,43236.00,43237.00,43237.00,43238.00,43238.00,43238.00,43239.00,43239.00,43240.00,43240.00,43240.00,43240.00,43241.00,43241.00,43241.00,43242.00,43242.00,43242.00,43243.00,43243.00,43243.00
IWHP,4780.00,5160.00,5240.00,5095.00,4860.00,4790.00,48000.00,4970.00,4910.00,5420.00,5080.00,5330.00,5460.00,5230.00,4960.00,5100.00,5030.00,5030.00,4790.00,5380.00,5540.00,5370.00,5060.00,5280.00,5350.00,5540.00,5360.00,5310.00,5490.00,5460.00,5460.00,5510.00,5480.00,5300.00,5510.00,5280.00,5140.00,5210.00,5250.00,5250.00,5320.00,5190.00,5270.00,5350.00,5460.00,5220.00,5230.00,5190.00,5070.00,5140.00,5180.00,5200.00,5220.00
