Stage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Top Perf,22448,21436,20930,20424,19413,18401,18201,18003,17804,17605,17406,17208,17009,16810,16611,16413,16214,16018,15816,15618,15419,15220,15021,14823,14624,14425,14226,14028,13829,13630,13431,13233,13034,12835
Bottom Perf,23427,22416,21404,20989,20392,19380,18361,18162,17964,17765,17566,17367,17169,16970,16771,16572,16374,16175,15976,15777,15579,15380,15181,14982,14784,14585,14386,14187,13989,13790,13591,13392,13194,12995
Num Perfs,120,120,60,60,120,120,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,20,24,24,24,20,24,24,24,24,24,24,24
Plug Depth,23446,23446,23446,23446,23446,23446,18381,18181,17983,17784,17585,17386,23446,18381,18181,17983,17784,16194,15995,15796,15598,15399,15200,15001,14803,14604,14405,14206,14008,13809,13610,13411,13213,13014
TVD,12622,12603,12602,12602,12585,12557,12570,12567,12568,12566,12567,12565,12559,12549,12535,12537,12541,12548,12542,12537,12533,12533,12531,12520,12520,12518,12517,12519,12513,12499,12493,12503,12511,12522
Capacity Top Perf,413.6,398.5,391,383.4,368.3,353.2,350.2,347.3,344.3,341.3,338.4,335.4,332.4,329.5,326.5,323.5,320.6,317.6,314.6,311.7,308.7,305.7,302.7,299.8,296.8,293.8,290.9,287.9,284.9,282,279,276,273.1,270.1
Capacity Bottom Perf,428.3,413.2,398.1,391.9,382.9,367.8,352.6,349.6,346.7,343.7,340.7,337.8,334.8,331.8,328.9,325.9,322.9,320,317,314,311.1,308.1,305.1,302.2,299.2,296.2,293.3,290.3,287.3,284.4,281.4,278.4,275.5,272.5
Capacity Plug,428.5,428.5,428.5,428.5,428.5,428.5,352.9,349.9,347,344,341,338.1,428.5,352.9,349.9,347,344,320.3,317.3,314.3,311.4,308.4,305.4,302.4,299.5,296.5,293.5,290.6,287.6,284.6,281.7,278.7,275.7,272.8
Date,43307,43308,43310,43310,43312,43316,43317,43318,43318,43318,43319,43319,43319,43319,43322,43322,43323,43323,43323,43324,43324,43324,43325,43325,43325,43326,43326,43326,43327,43327,43327,43328,43328,43334
IWHP,5600,5420,5300,5450,5550,5180,5470,5063,5520,4970,5220,5260,5350,5470,4610,5260,5260,5300,5200,5430,5270,4960,5350,5330,5290,5240,5180,5040,5150,5430,5330,5230,5040,5230
Break Pres,7620,7500,8410,8390,8450,7930,7490,7680,7680,7540,7450,N/A,7690,7690,N/A,N/A,8000,7830,8090,7980,7790,7690,7690,7660,7660,7620,8020,7920,7690,7820,8010,8190,8500,8500
Start Time,0.31,0.59,0.16,0.68,0.17,0.1,0.35,0.02,0.3,0.73,0.01,0.33,0.63,0.06,0.5,0.79,0.1,0.35,0.63,0.88,0.23,0.66,0.91,0.36,0.73,0.03,0.33,0.61,0.07,0.32,0.56,0.85,0.43,0.7
End Time,0.16,0.58,0.44,0.54,0.36,0.02,0.55,0.16,0.43,0.86,0.14,0.46,0.85,0.61,0.62,0.92,0.23,0.48,0.76,0.01,0.49,0.79,0.24,0.61,0.86,0.16,0.46,0.75,0.21,0.45,0.69,0.98,0.55,0.91
Pump Time,0.85,0.99,0.29,0.85,0.19,0.92,0.2,0.14,0.13,0.14,0.13,0.13,0.22,0.55,0.13,0.13,0.13,0.13,0.13,0.13,0.26,0.13,0.33,0.25,0.13,0.13,0.13,0.14,0.15,0.13,0.13,0.12,0.13,0.21
Ave Rate,58.7,53.3,59.9,57.2,67.7,60.6,65.6,65.8,68.3,64.7,66.7,63.8,66.8,67.7,69.2,70,69.8,69.9,70,69.6,64.6,70.5,67.4,57.3,70,69.8,67.2,69.3,69.9,69.3,68.4,70.1,68.3,69.5
Ave Pres,11663,11854,11507,11567,11460,10949,11298,11259,11024,10924,11054,11246,10917,10600,10366,10446,10815,10725,10732,11010,10641,10644,10601,10325,10771,10388,10613,10945,10828,10756,10942,10554,10928,11131
Max Rate,70.7,70.2,66.2,70,70.7,70.7,70.3,70.6,70.4,70.1,70,70.6,70.1,70.1,70.5,71,70.6,70.4,71,70.8,68.8,71,71.4,70.3,71.1,70.9,70.5,70.6,70.7,69.8,70.4,71.3,70.8,70.8
Max Pres,12380,12470,12100,12160,12420,12490,11850,11900,11550,11730,11920,11785,12180,11530,10850,11500,11450,11130,11690,11750,11580,11570,11570,11730,11860,11970,11290,11400,11810,11650,11560,11630,11480,11530
ISIP,6960,6420,6160,6350,12480,6760,6667,6600,6630,6373,6370,6623,6630,5400,6207,6460,6340,6273,6121,6295,6280,6145,6360,5957,6303,6279,6120,6222,6095,6330,6190,6450,5983,6800
FG,0.99,0.94,0.92,0.94,1.43,0.97,0.96,0.96,0.96,0.94,0.94,0.96,0.96,0.86,0.93,0.95,0.94,0.93,0.92,0.94,0.93,0.92,0.94,0.91,0.94,0.94,0.92,0.93,0.92,0.94,0.93,0.95,0.91,0.98
Design,55,55,55,55,55,55,55,55,55,55,55,55,7690,7690,7690,55,55,7690,55,7690,7690,7690,55,55,55,55,55,55,55,55,55,55,55,55
Avg HHP,16780,15486,16894,16216,19016,16262,18165,18158,18454,17323,18071,17586,17874,17589,17582,17922,18502,18374,18413,18782,16848,18392,17512,14493,18480,17772,17467,18590,18551,18269,18344,18133,18294,18961
15 minute SIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15% HCl Acid,15,17,16,0,0,16,14,15,13,14,14,15,15,15,49,0,0,0,0,0,0,0,0,28,29,28,29,30,30,30,29,28,29,23
Slickwater,43162,57250,21325,35854,23831,53255,11882,10935,10844,10632,10755,11150,11548,9391,11295,11254,11148,10950,10933,10986,11546,11035,11916,13317,11153,10987,11004,11133,11023,11173,11072,10938,11000,11175
Pump Down,923,2148,459,253,602,185,168,138,144,181,189,137,165,0,140,118,128,103,97,96,89,76,52,53,62,63,39,36,28,23,21,17,12,0
Total Fluid,44100,59415,21800,36107,24433,53456,12063,11088,11002,10827,10959,11302,11727,9406,11484,11431,11333,11111,11089,11139,11695,11172,12028,13457,11244,11077,11072,11199,11081,11226,11122,10983,11041,11198
100 Mesh,1966420,2484700,999220,1490680,976440,2516200,501560,499170,508340,496920,502280,498300,500680,368780,496300,498720,499440,482420,484220,484140,501560,499000,504520,500840,494320,494020,495320,492140,498240,496100,495320,497740,497160,497700
Total Proppant,1966420,2484700,999220,1490680,976440,2516200,501560,499170,508340,496920,502280,498300,500680,368780,496300,498720,499440,482420,484220,484140,501560,499000,504520,500840,494320,494020,495320,492140,498240,496100,495320,497740,497160,497700
100 Mesh,1966420,2484700,999220,1490680,976440,2516200,501560,499170,508340,496920,502280,498300,500680,368780,496300,498720,499440,482420,484220,484140,501560,499000,504520,500840,494320,494020,495320,492140,498240,496100,495320,497740,497160,497700
Delivered Total Prop,1966420,2484700,999220,1490680,976440,2516200,501560,499170,508340,496920,502280,498300,500680,368780,496300,498720,499440,482420,484220,484140,501560,499000,504520,500840,494320,494020,495320,492140,498240,496100,495320,497740,497160,497700
"Chemplex 4-N-1, gal",1813,2389,886,1456,1031,2232,515,456,451,436,430,433,484,384,447,272,283,309,269,290,359,298,370,518,260,248,403,352,292,318,401,239,409,281
"Payzone 845, gal",4,4,4,,,4,3,4,3,3,4,4,4,4,12,8,7,7,8,7,8,8,8,14,7,7,7,8,8,8,7,7,7,7
"Payzone 850, gal",364,477,179,300,200,447,100,92,91,89,90,93,97,79,95,94,93,92,93,92,97,92,100,115,94,92,92,90,93,93,93,93,92,93
"Payzone 217, gal",135,180,67,113,75,167,37,34,34,34,34,35,36,30,35,35,35,35,35,35,36,35,38,44,35,34,35,34,35,35,35,35,35,35
"Stim741 Gel, gal",364,477,179,300,200,447,100,92,91,89,90,93,97,79,95,94,93,92,93,92,97,92,100,115,94,92,92,90,93,93,93,93,92,93
Diesel,14639,19642,7894,12176,9852,16556,4093,4357,3712,3540,3427,4269,4037,3572,3461,3242,4063,3304,3805,3602,3807,3672,3968,4704,3175,3751,3546,3497,3952,3106,3780,3671,3722,4195
"7.5% HCl Acid, gal",,,,,,,,,,,,,,,,2490,2396,2412,2502,2394,2490,2538,2528,2474,,,,,,,,,,
"15% HCl Acid, gal",628,726,662,,,675,575,631,559,580,599,612,625,631,2061,,,,,,,,,1179,1222,1156,1206,1251,1269,1264,1219,1172,1206,966
Well Name,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H,Silvertip A 6H
