Stage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Top Perf,22597.00,22398.00,22200.00,22001.00,21803.00,21604.00,21405.00,21207.00,21008.00,20810.00,20611.00,20413.00,20214.00,20015.00,19817.00,19618.00,19420.00,19221.00,19023.00,18824.00,18626.00,18427.00,18228.00,18030.00,17831.00,17633.00,17434.00,17236.00,17037.00,16838.00,16640.00,16441.00,16243.00,16044.00,15846.00,15647.00,15448.00,15250.00,15051.00,14853.00,14654.00,14456.00,14257.00,14059.00,13860.00,13661.00,13463.00,13264.00,13066.00,12867.00,12669.00,12470.00
Bottom Perf,22756.00,22558.00,22359.00,22161.00,21962.00,21764.00,21565.00,21366.00,21168.00,20969.00,20771.00,20572.00,20374.00,20175.00,19976.00,19778.00,19579.00,19381.00,19182.00,18984.00,18785.00,18587.00,18388.00,18189.00,17991.00,17792.00,17594.00,17395.00,17197.00,16998.00,16799.00,16601.00,16402.00,16204.00,16005.00,15807.00,15608.00,15409.00,15211.00,15012.00,14814.00,14615.00,14417.00,14218.00,14020.00,13821.00,13622.00,13424.00,13225.00,13027.00,12828.00,12630.00
Num Perfs,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00
Plug Depth,22775.00,22577.00,22378.00,22180.00,21981.00,21783.00,21584.00,21385.00,21187.00,20988.00,20790.00,20591.00,20393.00,20194.00,19995.00,19797.00,19598.00,19400.00,19201.00,19003.00,18804.00,18606.00,18407.00,18208.00,18010.00,17811.00,17613.00,17414.00,17216.00,17017.00,16818.00,16620.00,16421.00,16223.00,16024.00,15826.00,15627.00,15428.00,15230.00,15031.00,14833.00,14634.00,14436.00,14237.00,14039.00,13840.00,13641.00,13443.00,13244.00,13046.00,12847.00,12649.00
TVD,12405.00,12400.00,12401.00,12398.00,12397.00,12401.00,12401.00,12400.00,12396.00,12399.00,12397.00,12396.00,12399.00,12398.00,12404.00,12405.00,12400.00,12401.00,12395.00,12394.00,12394.00,12393.00,12391.00,12392.00,12391.00,12390.00,12384.00,12380.00,12377.00,12373.00,12370.00,12365.00,12360.00,12359.00,12356.00,12354.00,12350.00,12344.00,12340.00,12335.00,12327.00,12327.00,12313.00,12297.00,12296.00,12290.00,12289.00,12284.00,12278.00,12278.00,12277.00,12274.00
Capacity Top Perf,409.60,406.60,403.60,400.70,397.70,394.70,391.80,388.80,385.80,382.90,379.90,377.00,374.00,371.00,368.10,365.10,362.10,359.20,356.20,353.20,350.30,347.30,344.30,341.40,338.40,335.40,332.50,329.50,326.50,323.60,320.60,317.60,314.70,311.70,308.80,305.80,302.80,299.90,296.90,293.90,291.00,288.00,285.00,282.10,279.10,276.10,273.20,270.20,267.30,264.30,261.30,258.40
Capacity Bottom Perf,411.90,409.00,406.00,403.10,400.10,397.10,394.20,391.20,388.20,385.30,382.30,379.30,376.40,373.40,370.40,367.50,364.50,361.50,358.60,355.60,352.60,349.70,346.70,343.70,340.80,337.80,334.90,331.90,328.90,326.00,323.00,320.00,317.10,314.10,311.10,308.20,305.20,302.20,299.30,296.30,293.40,290.40,287.40,284.50,281.50,278.50,275.60,272.60,269.60,266.70,263.70,260.70
Capacity Plug,412.20,409.30,406.30,403.30,400.40,397.40,394.40,391.50,388.50,385.50,382.60,379.60,376.70,373.70,370.70,367.80,364.80,361.80,358.90,355.90,352.90,350.00,347.00,344.00,341.10,338.10,335.10,332.20,329.20,326.20,323.30,320.30,317.30,314.40,311.40,308.50,305.50,302.50,299.60,296.60,293.60,290.70,287.70,284.70,281.80,278.80,275.80,272.90,269.90,267.00,264.00,261.00
Date,43244.00,43245.00,43245.00,43245.00,43246.00,43246.00,43246.00,43247.00,43247.00,43247.00,43248.00,43248.00,43248.00,43249.00,43249.00,43249.00,43249.00,43250.00,43250.00,43250.00,43250.00,43251.00,43251.00,43252.00,43252.00,43252.00,43252.00,43253.00,43253.00,43253.00,43253.00,43254.00,43254.00,43254.00,43255.00,43255.00,43255.00,43255.00,43256.00,43256.00,43256.00,43256.00,43257.00,43257.00,43257.00,43258.00,43258.00,43258.00,43258.00,43259.00,43259.00,43259.00
IWHP,4970.00,5020.00,5000.00,5410.00,4980.00,5240.00,5280.00,5270.00,5310.00,5400.00,5320.00,5310.00,5400.00,5360.00,5330.00,5370.00,5440.00,5380.00,5290.00,5410.00,5350.00,5420.00,5430.00,5170.00,5290.00,5120.00,5330.00,5300.00,5320.00,5250.00,5260.00,5250.00,5260.00,5090.00,5200.00,5220.00,5280.00,5260.00,5300.00,5220.00,5250.00,5300.00,5170.00,5200.00,5310.00,5210.00,5130.00,5190.00,5180.00,5130.00,5730.00,5260.00
