Stage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Top Perf,23174.00,22974.00,22774.00,22574.00,22374.00,22174.00,21973.00,21773.00,21573.00,21373.00,21173.00,20973.00,20773.00,20573.00,20373.00,20172.00,19972.00,19772.00,19572.00,19372.00,19172.00,18972.00,18772.00,18571.00,18371.00,18171.00,17971.00,17771.00,17571.00,17371.00,17171.00,16970.00,16770.00,16570.00,16370.00,16170.00,15970.00,15770.00,15570.00,15370.00,15169.00,14969.00,14769.00,14569.00,14369.00,14169.00,13969.00,13769.00,13568.00,13368.00,13168.00,12968.00,12768.00
Bottom Perf,23335.00,23135.00,22935.00,22735.00,22535.00,22335.00,22135.00,21934.00,21734.00,21534.00,21334.00,21134.00,20934.00,20734.00,20534.00,20334.00,20133.00,19933.00,19733.00,19533.00,19333.00,19133.00,18933.00,18733.00,18532.00,18332.00,18132.00,17932.00,17732.00,17532.00,17332.00,17132.00,16931.00,16731.00,16531.00,16331.00,16131.00,15931.00,15731.00,15331.00,15331.00,15130.00,14930.00,14730.00,14530.00,14330.00,14130.00,13930.00,13730.00,13529.00,13329.00,13129.00,12929.00
Num Perfs,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00
Plug Depth,23354.00,23154.00,22954.00,22754.00,22554.00,22354.00,22154.00,21953.00,21753.00,21553.00,21353.00,21153.00,20953.00,20753.00,20553.00,20353.00,20152.00,19952.00,19752.00,19552.00,19352.00,19152.00,18952.00,18752.00,18551.00,18351.00,18151.00,17951.00,17751.00,17551.00,17351.00,17151.00,16950.00,16750.00,16550.00,16350.00,16150.00,15950.00,15750.00,15550.00,15350.00,15149.00,14949.00,14749.00,14549.00,14349.00,14149.00,13949.00,13749.00,13548.00,13348.00,13148.00,12948.00
TVD,12407.00,12412.00,12410.00,12406.00,12406.00,12403.00,12401.00,12398.00,12389.00,12382.00,12386.00,12386.00,12380.00,12371.00,12364.00,12366.00,12370.00,12367.00,12365.00,12360.00,12355.00,12355.00,12348.00,12341.00,12335.00,12334.00,12335.00,12335.00,12332.00,12322.00,12320.00,12317.00,12323.00,12340.00,12341.00,12337.00,12334.00,12326.00,12327.00,12327.00,12326.00,12323.00,12309.00,12297.00,12295.00,12288.00,12275.00,12288.00,12285.00,12291.00,12303.00,12312.00,12308.00
Capacity Top Perf,422.40,419.40,416.40,413.40,410.50,407.50,404.50,401.50,398.50,395.50,392.50,389.50,386.60,383.60,380.60,377.60,374.60,371.60,368.60,365.60,362.70,359.70,356.70,353.70,350.70,347.70,344.70,341.70,338.70,335.80,332.80,329.80,326.80,323.80,320.80,317.80,314.80,311.90,308.90,305.90,302.90,299.90,296.90,293.90,290.90,287.90,285.00,282.00,279.00,276.00,273.00,270.00,267.00
Capacity Bottom Perf,424.80,421.80,418.80,415.90,412.90,409.90,406.90,403.90,400.90,397.90,394.90,391.90,389.00,386.00,383.00,380.00,377.00,374.00,371.00,368.00,365.10,362.10,359.10,356.10,353.10,350.10,347.10,344.10,341.20,338.20,335.20,332.20,329.20,326.20,323.20,320.20,317.20,314.30,311.30,305.30,305.30,302.30,299.30,296.30,293.30,290.40,287.40,284.40,281.40,278.40,275.40,272.40,269.40
Capacity Plug,425.10,422.10,419.10,416.10,413.20,410.20,407.20,404.20,401.20,398.20,395.20,392.20,389.20,386.30,383.30,380.30,377.30,374.30,371.30,368.30,365.30,362.40,359.40,356.40,353.40,350.40,347.40,344.40,341.40,338.40,335.50,332.50,329.50,326.50,323.50,320.50,317.50,314.50,311.60,308.60,305.60,302.60,299.60,296.60,293.60,290.60,287.70,284.70,281.70,278.70,275.70,272.70,269.70
Date,43263.00,43263.00,43264.00,43264.00,43264.00,43265.00,43265.00,43266.00,43266.00,43266.00,43267.00,43267.00,43267.00,43268.00,43268.00,43268.00,43268.00,43269.00,43269.00,43269.00,43270.00,43270.00,43270.00,43270.00,43271.00,43271.00,43271.00,43271.00,43272.00,43272.00,43272.00,43273.00,43273.00,43273.00,43274.00,43274.00,43274.00,43274.00,43275.00,43275.00,43275.00,43276.00,43276.00,43276.00,43276.00,43277.00,43277.00,43277.00,43277.00,43278.00,43278.00,43278.00,43279.00
IWHP,4880.00,5020.00,5070.00,4810.00,4910.00,4800.00,4930.00,4960.00,5060.00,5160.00,5190.00,5280.00,5090.00,5010.00,4890.00,5090.00,5140.00,5130.00,5080.00,5090.00,5100.00,5110.00,5100.00,5080.00,4990.00,5080.00,5060.00,5100.00,5040.00,4910.00,4970.00,4860.00,4990.00,4970.00,4900.00,4980.00,4950.00,4950.00,5040.00,5050.00,5010.00,5100.00,5040.00,5150.00,5270.00,5030.00,5100.00,5130.00,5100.00,5150.00,5140.00,5090.00,4960.00
