wellname,Total fluid features,Total fluid features found in cuttings,well-unique fluid features,well-unique fluid features found in cuttings
wheat.trust.1.52.1h,391,316,7,6
hippocamp.57.1.29.1h,333,291,15,10
silvertip.76.7.unit.a.3h,689,563,45,32
silvertip.76.7.unit.a.2h,1419,1175,126,92
blacktip.state.43.6h,103,91,0,0
yokum.ul.unit.19.4.2h,397,310,5,0
badlands.54.2.19.1h.st01,205,177,5,4
silvertip.76.7.unit.a.4h,457,383,13,9
silvertip.76.7.unit.a.8h,1047,865,61,43
silvertip.76.7.unit.a.1h,2563,2008,375,222
silvertip.76.7.unit.a.9h,1243,973,150,70
bullhead.55.1.34.b.1h,447,371,21,16
bullhead.55.1.22.1h,524,431,19,12
silvertip.76.9 .unit.e.1h,189,163,9,7
wheat.trust.1.52.7h,363,289,7,6
thresher.55.1.12.a.6h,395,313,16,8
wheat.trust.1.52.3h,431,319,20,10
bond.unit.3.7.1h,209,168,9,5
thresher.54.1.7.1h,4826,3609,727,487
wheat.trust.1.52.6h,325,264,10,6
bagwell.c.27.1.unit.1h,313,265,13,11
blacktip.state.43.5h,131,97,1,0
baku.56.2.41.1h,359,312,20,12
harrison.29.30.2h,542,445,28,18
boz.55.2.6.1h,319,269,11,8
ashlock.1.34.4h,235,163,6,4
hammerhead.54.1.47.1h,305,263,14,10
university.19.7.a.1h,336,279,9,6
betts.53.4.2.1h,312,264,16,8
nancy.couch.3.15.1h,296,223,8,5
betts.54.4.24.1h,335,282,6,4
sevengills.55.1.47.1h,1073,749,59,34
silvertip.76.7.unit.a.5h,792,648,33,19
blacktip.state.42.5h,61,44,2,0
sievers.state.unit.2.1.2h,554,455,47,32
kaycee.state.57.3.45.1h,382,317,13,8
elkhorn.54.1.40.3h,557,380,19,12
outlaw.55.1.30.unit.1h,219,199,6,6
ripping.wrangler.c.26.19.2h,407,338,10,9
super.duty.29.16.1h,1875,1538,168,124
cheyenne.57.3.13.1h,670,571,56,43
blacktip.state.43.2h,289,242,4,3
avalanche.29.40.unit.1h,247,200,9,6
silvertip.76.17.unit.p.1h,623,519,31,20
galapagos.53.2.45.1h,223,128,21,0
elkhorn.54.1.44.1h,668,560,51,37
ripping.wrangler.c.26.19.3h,418,348,14,7
wheat.trust.1.52.5h,267,223,6,6
mesquite.heat.28.41.unit.1h,156,131,4,3
apc.fee.1.40.3h,86,66,4,0
big.horn.state.56.2.1h,219,188,6,6
lucky.strike.28.20.2h,310,260,5,4
cottonwood.55.1.14.unit.2hr,274,242,8,7
mesquite.unit.2.2.3h,1314,1035,89,62
wheat.trust.1.52.4h,168,111,2,0
juniper.state.unit.2.3.2h,632,477,90,43
apc.fee.1.40.4h,336,261,9,6
bullhead.55.2.3.1h,671,469,29,19
bonafide.29.34.2h,1692,1354,176,120
hammerhead.54.1.28.1h,856,587,44,28
longhorn.55.1.30.unit.1h,647,560,37,27
juniper.state.unit.2.3.3h,417,338,19,16
wheat.trust.1.36.3h,79,60,1,0
big.horn.state.56.2.9.2h,15,12,0,0
silvertip.76.16.unit.r.1h,69,64,2,2
bearcat.28.29.3h,157,138,5,4
kaycee.state.57.3.33.1h,384,336,21,15
silvertip.76.16.unit.q.1h,2289,1848,257,186
reedtrust.55.1.46.1h,367,285,12,6
thresher.54.1.13.1h,264,223,9,6
silvertip.76.7.unit.a.10h,1334,1113,81,67
pace.state.unit.1.3.1h,163,131,3,2
ocatilla.state.2.40.1h,263,202,6,1
east.vermejo.33.66.1h,95,58,6,1
silvertip.76.17.unit.o.1h,1848,1453,201,133
craven.3.8.1h,105,82,2,1
sievers.unit.2.29.2h,156,131,2,2
wing.head.56.2.43.2h,77,61,1,0
cottonwood.55.1.14.1h,195,168,11,8
haley.28.43.3h,67,58,0,0
silvertip.76.7.unit.b.3h,333,294,9,6
crockett.1.35.2.2h,251,216,4,1
mdj.c.27.1.1h,268,229,4,3
bitterroot.54.1.18.2h,1087,720,76,40
big.bucks.29.10.2h,464,385,12,5
wd.johnson.1.49.5h,91,62,0,0
saratoga.54.4.1h,269,143,20,4
silvertip.76.7.unit.a.7h,1227,1035,72,58
temin.unit.2.27.1h,332,230,6,2
oak.55.1.30.unit.1h,184,162,6,5
kingston.54.2.17.1h,480,402,18,15
juniper.state.2.3.1h,590,478,42,32
knight.55.1.7.unit.1h,199,179,8,7
pritchett.state.c.19.22.1h,516,396,10,5
harrison.29.20.2h,333,273,8,3
medicine.bow.56.2.1.1h,298,261,4,1
ricochet.29.40.2h,244,191,4,2
cottonwood.55.1.14.unit.3h,346,298,10,7
silvertip.76.7.unit.b.2h,374,327,6,4
thunderbird.57.2.3.1h,102,88,1,1
silvertip.unit.z.2h,169,154,2,2
ashlock.1.34.2h,115,98,5,2
heron.54.2.4.unit.2h,2388,1862,217,145
thresher.54.1.22.1h,1909,1434,131,93
silvertip.76.7.unit.b.1h,815,693,36,27
silvertip.76.18.n.1h,38,36,0,0
thresher.55.1.12.a.8h,212,170,3,1
bohlander.33.95.1h,261,220,6,5
robertson.state.2.7.1h,231,199,18,14
jump.start.55.2.6.1h,344,291,8,4
cheyenne.57.3.13.3h,167,151,3,2
rothschild.state.56.2.25.unit.2h,819,693,35,25
raymore.1.46.unit.3.1h,23,16,0,0
