wellname,Total fluid features,Total fluid features found in cuttings,Percentage fluid features found in cuttings,well-unique fluid features,well-unique fluid features found in cuttings
silvertip.76.7.unit.a.3h,596,504,84.56375838926175,69,56
silvertip.76.7.unit.a.8h,820,685,83.53658536585365,89,64
silvertip.76.7.unit.a.1h,2391,1907,79.75742367210373,572,371
silvertip.76.7.unit.a.9h,750,633,84.4,104,68
bullhead.55.1.34.b.1h,59,52,88.13559322033899,2,1
silvertip.76.9 .unit.e.1h,183,164,89.61748633879782,16,15
wheat.trust.1.52.7h,56,49,87.5,2,1
thresher.54.1.7.1h,3710,2954,79.62264150943396,946,731
baku.56.2.41.1h,203,174,85.71428571428571,21,13
university.19.7.a.1h,351,296,84.33048433048432,16,11
cheyenne.57.3.13.1h,203,174,85.71428571428571,32,27
bullhead.55.1.22.1h,53,45,84.90566037735849,3,2
cottonwood.55.1.14.unit.2hr,195,168,86.15384615384616,10,9
mesquite.unit.2.2.3h,943,757,80.27571580063626,119,91
wheat.trust.1.52.6h,79,65,82.27848101265823,2,2
juniper.state.unit.2.3.2h,344,280,81.3953488372093,27,18
silvertip.76.7.unit.a.5h,395,337,85.31645569620254,34,24
juniper.state.unit.2.3.3h,362,305,84.25414364640883,35,28
silvertip.76.16.unit.r.1h,65,63,96.92307692307692,3,2
wheat.trust.1.52.4h,72,52,72.22222222222223,4,2
silvertip.76.16.unit.q.1h,1782,1488,83.5016835016835,351,271
cottonwood.55.1.14.1h,187,165,88.23529411764706,12,10
haley.28.43.3h,56,47,83.92857142857143,2,1
longhorn.55.1.30.unit.1h,504,450,89.28571428571429,54,46
silvertip.76.17.unit.o.1h,935,823,88.02139037433155,120,100
oak.55.1.30.unit.1h,178,159,89.32584269662921,9,8
silvertip.76.7.unit.a.2h,1139,958,84.10886742756804,177,130
wheat.trust.1.52.5h,107,89,83.17757009345794,10,7
juniper.state.2.3.1h,309,257,83.1715210355987,36,32
cottonwood.55.1.14.unit.3h,62,57,91.93548387096774,2,2
silvertip.76.7.unit.b.2h,146,135,92.46575342465754,8,7
thunderbird.57.2.3.1h,100,89,89.0,8,8
silvertip.76.7.unit.b.1h,669,583,87.14499252615845,62,47
silvertip.76.18.n.1h,42,38,90.47619047619048,1,1
rothschild.state.56.2.25.unit.2h,314,270,85.98726114649682,21,15
aspen.55.1.30.unit.3h,157,141,89.80891719745223,23,21
wheat.trust.1.52.1h,71,61,85.91549295774648,2,2
yellowjacket.ul.19.3.12h,191,157,82.19895287958116,12,10
hippocamp.57.1.29.1h,91,85,93.4065934065934,2,2
mesquite.unit.2.2.4h,855,735,85.96491228070175,163,140
silvertip.76.11.unit.j.1h,9,8,88.88888888888889,0,0
mesquite.unit.2.2.2h,525,440,83.80952380952381,55,42
sunshine.54.2.21.1h,636,544,85.53459119496856,78,64
heron.54.2.4.unit.2h,1876,1539,82.03624733475479,324,260
aspen.55.1.30.unit.1hr,337,311,92.28486646884274,27,25
silvertip.76.13.unit.w.1h,248,211,85.08064516129032,24,18
guadalupe.29.4.1h,73,63,86.3013698630137,5,5
silvertip.76.7.unit.a.7h,736,631,85.7336956521739,70,57
heron.54.2.4.unit.1h,261,229,87.73946360153256,18,15
bullhead.state.55.1.45.unit.b.4h,118,105,88.98305084745763,6,5
hammerhead.54.1.47.1h,97,84,86.5979381443299,7,6
silvertip.76.9.unit.f.1h,79,70,88.60759493670886,8,5
emerald.city.56.2.37.1h,292,238,81.5068493150685,28,13
wheat.trust.1.52.2h,124,105,84.6774193548387,5,4
atomic.55.1.7.unit1h,186,167,89.78494623655914,9,9
silvertip.76.7.unit.a.10h,186,166,89.24731182795699,12,10
juniper.state.unit.2.3.4h,389,325,83.54755784061696,26,23
silvertip.76.7.unit.b.3h,113,108,95.57522123893806,2,2
outlaw.55.1.30.unit.1h,218,200,91.74311926605505,15,15
silvertip.76.7.unit.a.6h,280,250,89.28571428571429,25,22
stones.river.54.4.23.1h,140,114,81.42857142857143,4,4
wheat.trust.1.52.3h,113,97,85.84070796460178,4,3
silvertip.76.10.unit.g.1h,56,52,92.85714285714286,2,2
silvertip.76.17.unit.p.1h,108,99,91.66666666666667,20,20
zeman.3.16.2h,136,112,82.3529411764706,22,15
silvertip.76.14.v.1h,226,184,81.41592920353982,17,11
grey.bull.55.4.11.1h,169,148,87.57396449704142,15,10
silvertip.76.8 .d.1h,48,44,91.66666666666667,1,1
yellowjacket.ul.19.3.13h,321,269,83.80062305295951,27,14
silvertip.76.8.unit.c.1h,76,61,80.26315789473684,2,1
raybank.1.44.1h,139,77,55.39568345323741,22,5
cody.56.3.19.unit.b.1h,355,316,89.01408450704226,44,40
yeti.state.56.2.45.1h,193,163,84.4559585492228,20,17
big.horn.state.56.2.3h,308,273,88.63636363636364,47,45
arches.55.1.17.1h,154,130,84.41558441558442,17,13
knight.55.1.7.unit.1h,40,40,100.0,1,1
wheat.trust.1.36.5h,36,33,91.66666666666667,2,1
state.56.2.12.1h,508,452,88.97637795275591,93,84
zeman.3.16.3h,77,68,88.31168831168831,3,2
