MD,Inclination,Azimuth,TVD,NS,EW,CA,CD,VS,DLS
255,1.09,270.28,254.98,0.01,-2.43,270.28,2.43,-0.07,0.43
434,0.81,284.82,433.96,0.34,-5.35,273.68,5.36,0.17,0.21
617,0.68,295.82,616.94,1.15,-7.58,278.61,7.67,0.9,0.11
799,0.62,316.86,798.93,2.34,-9.22,284.21,9.52,2.03,0.13
983,0.5,339.38,982.92,3.81,-10.19,290.53,10.88,3.48,0.13
1166,0.68,341.2,1165.91,5.59,-10.82,297.32,12.18,5.23,0.1
1351,0.7,2.94,1350.9,7.76,-11.12,304.91,13.55,7.39,0.14
1535,0.66,343.97,1534.89,9.9,-11.35,311.09,15.06,9.52,0.12
1718,0.74,351.71,1717.88,12.08,-11.81,315.65,16.9,11.68,0.07
1902,0.85,349.44,1901.86,14.6,-12.23,320.04,19.05,14.19,0.06
2085,1.64,27.34,2084.82,18.26,-11.28,328.3,21.46,17.88,0.6
2270,2.89,42.48,2269.67,24.05,-6.91,343.96,25.02,23.81,0.74
2453,4.34,62.04,2452.31,30.7,2.32,4.32,30.79,30.76,1.03
2637,4.63,61.91,2635.74,37.46,15.02,21.85,40.36,37.94,0.16
2821,4.81,61.77,2819.12,44.61,28.37,32.46,52.86,45.52,0.1
3006,4.72,63.28,3003.48,51.7,42,39.09,66.61,53.05,0.08
3189,2.92,83.46,3186.07,55.61,53.36,43.81,77.07,57.34,1.21
3373,3.04,76.95,3369.83,57.25,62.77,47.63,84.95,59.29,0.2
3558,3.25,99.99,3554.55,57.45,72.71,51.69,92.67,59.81,0.69
3740,3.84,81.59,3736.21,57.44,83.82,55.58,101.62,60.18,0.7
3924,4.3,77.44,3919.75,59.85,96.65,58.23,113.68,63,0.3
4109,6.52,73.55,4103.91,64.33,113.49,60.46,130.46,68.04,1.22
4288,5.75,72.92,4281.89,69.84,131.81,62.08,149.17,74.15,0.43
4473,5.81,83.42,4465.95,73.64,149.97,63.85,167.08,78.54,0.57
4602,5.52,85.43,4594.32,74.88,162.65,65.28,179.05,80.2,0.27
4750,5.07,84.87,4741.69,76.03,176.25,66.67,191.95,81.8,0.31
4934,5.84,82.88,4924.85,77.92,193.64,68.08,208.73,84.26,0.43
5117,7.17,84.58,5106.67,80.15,214.25,69.49,228.75,87.17,0.73
5298,6.26,78.23,5286.43,83.23,235.16,70.51,249.45,90.94,0.65
5483,5.71,66.73,5470.43,88.92,253.49,70.67,268.63,97.24,0.71
5667,6.37,63.3,5653.41,97.13,271.01,70.28,287.89,106.01,0.41
5851,5.9,62.85,5836.35,106.03,288.55,69.82,307.41,115.49,0.26
6034,4.25,56.91,6018.63,114.02,302.6,69.35,323.37,123.94,0.95
6217,3.96,63.31,6201.16,120.56,313.93,68.99,336.28,130.85,0.3
6401,4.39,79.6,6384.68,124.69,326.53,69.1,349.53,135.39,0.68
6585,3.71,83.94,6568.22,126.59,339.38,69.54,362.22,137.71,0.41
6768,3.45,86.55,6750.86,127.54,350.76,70.02,373.23,139.04,0.17
6952,2.77,90,6934.59,127.88,360.73,70.48,382.73,139.7,0.38
