Well,WellAPI,Formation,Well.Name,API_14,Target,Interval,FormationWC,SH_Lat,SH_Long,ISOCHORE,BVW,PHIT,PR,SWT,VCL,YM,WC_PGRAD,P_Res,WCA_GOR,Spac_3D_AVG,Parent_Offsets,Spac_2D_Box,LAT_LENGTH_BEST,PPG,Prop_ft,Fluid_ft,Avg_Stg_Len,Avg_Clust_Spc,Clusters_per_Stage,Rate_per_cluster,Liner_Type,PRIMARY_FLUID,TVD,CumOil_1Months_F,CumOil_2Months_F,CumOil_3Months_F,CumOil_6Months_F,CumOil_9Months_F,CumOil_12Months_F,CumOil_18Months_F,CumOil_24Months_F,WBR_6Months_F,WOR1m,WOR2m,WOR3m,WOR6m,WOR9m,WOR12m,WOR18m,WOR24m,GOR1m,GOR2m,GOR3m,GOR6m,GOR9m,GOR12m,GOR18m,GOR24m,Time_on_days,Spud_Date,Frac_Date,First_Prod_Timing,Category
apc.fee.1.40.3h,4.23E+13,w1.alpha,APC.FEE.1.40.3H,4.23E+13,07_W1_ALPHA,ALPHA,WC,31.67057,-103.4541,48.09902872,2.319936219,0.080282029,0.080282029,0.600788206,0.147392925,38.67234368,0.845429872,9470.505426,1468.748419,1123.998119,2,1121.954963,4579,1.236470619,390.2651234,7.514959598,508.7777778,508.7777778,1,48.78,SSLEEVE,CROSSLINK,11202,10693.16149,22241.00149,31193.52153,45344.71153,54703.63655,61950.97157,74520.46659,85767.71658,1.850204721,2.584166242,2.106008312,2.044137006,2.303118931,2.350447509,2.152150077,2.445773983,2.141680107,1820.084469,1609.164002,1577.269974,1623.150769,1804.556411,1751.816575,1575.35889,1400.889774,1649.1667,5/13/2012,8/9/2012,4.166666667,General
apc.fee.1.40.4h,4.23E+13,w1.alpha,APC.FEE.1.40.4H,4.23E+13,07_W1_ALPHA,ALPHA,WC,31.66693,-103.44928,47.66144758,2.287712475,0.079972283,0.079972283,0.60019824,0.145247744,38.96368519,0.846117067,9475.665033,1491.233642,1273.997571,2,1271.274465,4625,1.181444519,391.1610811,7.883027027,513.8888889,513.8888889,1,49.78,SSLEEVE,CROSSLINK,11199,18273.87829,33380.98844,43909.38851,67896.72855,81813.56855,89792.27356,134027.2785,165623.7134,1.715434957,2.478594829,1.943949935,2.183068959,2.141787344,2.404882664,2.528791345,2.469561138,2.165299153,1728.607457,1705.402276,1646.877653,1640.544511,2181.544977,2080.11857,1706.740609,1571.141088,1518.4167,6/22/2012,8/10/2012,2.866666667,General
apc.fee.1.50.3h,4.23E+13,Nan,APC.FEE.1.50.UNIT.3H,4.23E+13,11_MIDDLE_BETA,BETA,WC,31.69715,-103.4897,87.93987304,3.380522111,0.09693809,0.218694515,0.396555053,0.231884962,34.838832,0.837476617,9651.080534,1548.827181,834.2405238,3,566.0293177,4036,0.709314451,1434.960357,48.1672448,168.1666667,33.63333333,5,17.58083333,PNP,SLICKWATER FRAC,11524,19070.39838,29055.70838,37822.62336,74288.47342,102444.7684,127488.5334,162324.9635,194886.7836,3.283948558,4.794988411,4.072467452,4.04063249,4.131660023,4.161786352,4.122032248,4.242396572,3.986499747,1660.157992,1530.864649,1539.540442,1799.518009,1874.369857,2058.967388,2151.879037,2047.358064,990.625,9/12/2013,5/9/2014,9.4,General
apc.fee.1.50.4h,4.23E+13,middle.beta,APC.FEE.1.50.UNIT.4H,4.23E+13,11_MIDDLE_BETA,BETA,WC,31.69541,-103.48738,88.05198728,3.390738521,0.09754627,0.219902731,0.394770299,0.229876407,34.619501,0.837941785,9665.65849,1503.367385,1180.581605,2,1147.901434,4141,0.730231233,1391.224342,45.36150688,295.7857143,32.86507937,9,11.07301587,PNP,SLICKWATER FRAC,11535,13690.80299,29400.923,41999.20307,69826.4981,92249.60808,114005.333,146880.968,172405.758,4.900007572,5.06056234,3.696817099,4.60702946,6.1277595,4.447555531,4.271481315,4.673847193,4.830209191,1533.756738,1425.444206,1761.090217,1946.10023,1848.067506,1902.519904,2135.705326,2239.518041,1170.4583,9/17/2013,11/20/2013,4,General
ashlock.1.34.2h,4.23E+13,middle.beta,ASHLOCK.1.34.UNIT.2H,4.23E+13,11_MIDDLE_BETA,BETA,WC,31.66006,-103.44635,88.04086475,3.898507619,0.10152573,0.219745654,0.436152099,0.257077242,32.950645,0.846151496,9774.742082,1500.119838,822.7028606,1,743.8101758,4472,0.690833379,1488.193202,51.29047406,165.6296296,32.17266187,5,17.88814815,PNP,SLICKWATER FRAC,11552,14517.85414,28682.12915,41099.85413,73287.35903,102321.804,124477.4339,169880.039,207418.554,2.818156917,4.794265024,4.027347728,3.838792978,3.522752433,2.759295148,3.435009979,3.674978456,3.968505149,1563.37614,1525.864461,1536.382361,1430.344027,1259.982839,1514.462011,1624.986671,2123.046125,1102.5833,12/5/2013,2/28/2014,5.166666667,General
ashlock.1.34.3h,4.23E+13,middle.beta,ASHLOCK.1.34.UNIT.3H,4.23E+13,11_MIDDLE_BETA,BETA,WC,31.65789,-103.44344,88.46389066,4.041561759,0.102549404,0.218656961,0.445502395,0.261051024,32.998414,0.846390448,9792.737483,1499.465292,1138.358352,0,1138.231405,4776,0.671083119,1402.298995,49.75251256,176.8888889,34.35971223,5,17.89259259,PNP,SLICKWATER FRAC,11570,13829.55354,28315.30854,41400.10355,75271.77862,101287.7435,126084.1185,167717.2635,201801.4784,4.139853509,6.738336813,5.510075543,5.557618806,5.17444795,4.503746778,4.643805357,5.395833936,5.521666979,1643.358258,1537.737967,1583.036498,1530.199154,1347.242221,1551.296087,1840.414699,1868.665964,1096.75,11/24/2013,3/9/2014,5.5,General
ashlock.1.34.4h,4.23E+13,middle.beta,ASHLOCK.1.34.UNIT.4H,4.23E+13,11_MIDDLE_BETA,BETA,WC,31.65691,-103.43916,89.30427914,4.141587286,0.103333953,0.216679129,0.448798613,0.26329763,33.13077,0.846871086,9783.054786,1492.597058,1177.196724,0,1177.005027,4664,0.69073652,1439.78988,49.62921527,172.7407407,33.55395684,5,17.49111111,PNP,SLICKWATER FRAC,11552,4957.755001,11926.45003,26405.56008,57854.15016,88648.46508,114500.9951,160906.0952,204913.4952,4.303924413,7.9278663,5.777553213,5.882333215,5.374595233,4.870172556,5.182211254,4.974195958,5.022631017,1923.596597,1288.385456,1707.172408,1604.297904,1518.267261,1567.154699,1731.392291,1773.702429,1113.75,11/12/2013,3/21/2014,5.9,General
avalanche.29.40.unit.1h,4.23E+13,upper.beta,AVALANCHE.29.40.UNIT.1H,4.23E+13,10_UPPER_BETA,BETA,WC,31.73908,-103.45272,70.10974853,2.334089065,0.089829577,0.192009771,0.370612156,0.248335722,38.23357,0.847902199,9796.662007,1481.86992,454.0238554,1,877.5166621,7021,1.029689764,1394.94374,32.25529412,206.5,34.41666667,6,10.16666667,PNP,SLICKWATER FRAC,11554,25804.84983,55618.1951,83280.46991,151007.87,211413.5951,259334.595,333917.3919,394172.3176,2.169610736,3.937630029,3.306330452,2.975520505,2.705457551,2.579628986,2.461465115,2.461465115,2.461465115,1753.473172,1683.981002,1680.369472,1623.861102,1625.310979,1569.097006,1569.097006,1569.097006,399.125,1/5/2016,2/29/2016,5.066666667,General
bagwell.c.27.1.unit.1h,4.23E+13,w1.alpha,BAGWELL.C27.1.1H,4.23E+13,07_W1_ALPHA,ALPHA,WC,31.75254,-103.53691,54.81305625,3.078717132,0.088752394,0.088752394,0.632857154,0.201449841,42.33367781,0.827805335,9234.996317,2655.207582,1400,0,1400,3836,1.212691889,403.8396768,7.928832117,479.5,479.5,1,48.5,SSLEEVE,CROSSLINK,11156,15566.5,35570.5,46659.5,65564.11007,77565.05498,86979.54995,102923.1049,117890.4699,0.789264337,1.729898305,0.851648623,1.140235012,1.138541112,1.063901955,1.348392663,1.387803679,1.569125702,2678.045425,2262.49147,2179.172308,2184.674128,2600.60541,2725.477626,2194.752373,2587.874644,1716.7083,6/16/2012,7/22/2012,2.566666667,General
banner.57.1.21.2h,4.24E+13,middle.beta,BANNER.57.1.21.2H,4.24E+13,11_MIDDLE_BETA,BETA,WC,31.95545,-103.97234,131.1899825,4.843573937,0.076940834,0.205810806,0.479853172,0.220189427,43.978112,0.700152468,7007.826052,4423.940078,1400,0,1400,4495,1.066793751,2254.860957,50.32572191,204.3181818,34.0530303,6,10.10530303,PNP,SLICKWATER FRAC,10009,20785.01503,45075.58519,64385.06515,125537.8952,172097.695,213225.5967,282752.3949,340989.8171,1.220855057,3.235436549,2.214591123,2.163076069,2.121019993,2.121019993,2.121019993,2.121019993,2.121019993,4238.541542,3982.447896,4315.542681,4474.92822,4474.92822,4474.92822,4474.92822,4474.92822,97.875,11/10/2014,12/12/2016,30.4,General
