	Unknown	lower.beta	middle.beta	shale.alpha	upper.beta	upper.delta	w1.alpha	Formation
ashlock.1.34.3h	0.00658	0.06634	0.33002	0.54096	0.00328	0.00268	0.05014	middle.beta
bullhead.55.2.3.1h	0.01542	0.00302	0.05134	0.1719	0.00524	0.74976	0.00332	w1.alpha
nitro.75.28.unit.a.1h	0.03958	0.0119	0.69274	0.00154	0.11804	0.13208	0.00412	upper.beta
lucky.strike.28.20.2h	0.09574	0.00448	0.06376	0.31752	0.49844	0.01694	0.00312	middle.beta
big.easy.54.2.6.1h	0.00362	0.8064	0.01232	0.00464	0.05984	0.10934	0.00384	middle.beta
cheyenne.57.3.13.1h	0.11774	0.37628	0.11106	0.00134	0.30044	0.0723	0.02084	middle.beta
haley.28.43.3h	0.0017	0.00144	0.9509	0.0022	0.0031	0.03052	0.01014	middle.beta
mako.state.3.6.2h	0.1453	0.00466	0.40294	0.37478	0.06794	0.00192	0.00246	middle.beta
sundance.state.56.3.13.1h	0.0447	0.01266	0.58596	0.00302	0.15936	0.17468	0.01962	middle.beta
mesquite.heat.28.41.unit.1h	0.0623	0.067	0.00982	0.46198	0.3875	0.01014	0.00126	upper.beta
robertson.state.2.5.1h	0.21606	0.13172	0.3778	0.00208	0.10834	0.00406	0.15994	upper.beta
becker.6.29.unit.a.1h	0.11372	0.18032	0.0534	0.00316	0.57828	0.00126	0.06986	upper.beta
wheat.trust.1.52.1h	0.03752	0.00562	0.01542	0.02262	0.11976	0.00218	0.79688	middle.beta
big.bucks.29.10.2h	0.16448	0.06816	0.10564	0.2016	0.36856	0.0078	0.08376	lower.beta
apc.fee.1.40.4h	0.0713	0.05352	0.0932	0.00228	0.07576	0.04838	0.65556	w1.alpha
kraken.57.3.40.1h	0.07632	0.0034	0.0238	0.00884	0.87032	0.01382	0.0035	upper.beta
bonafide.29.34.2h	0.48124	0.01056	0.21704	0.27236	0.01382	0.00418	0.0008	lower.beta
big.horn.state.56.2.9.3h	0.17398	0.00134	0.3249	0.0028	0.0072	0.44068	0.0491	middle.beta
thresher.55.1.12.a.6h	0.04386	0.00344	0.61004	0.0032	0.01772	0.09524	0.2265	middle.beta
ocatilla.state.2.40.1h	0.05182	0.00804	0.20014	0.3125	0.4213	0.0042	0.002	middle.beta
ashlock.1.34.4h	0.02614	0.0031	0.2312	0.52466	0.13418	0.02268	0.05804	middle.beta
sevengills.55.1.35.a.1h	0.00028	0.0072	0.56466	0.12744	0.2686	0.01108	0.02074	middle.beta
wheat.trust.1.52.7h	0.01328	0.00394	0.01534	0.00546	0.02662	0.001	0.93436	middle.beta
sevengills.55.1.47.1h	0.0918	0.031	0.21626	0.0015	0.00918	0.62556	0.0247	upper.delta
harrison.unit.2.38.1h	0.05308	0.00582	0.02312	0.00686	0.90152	0.00692	0.00268	upper.beta
wheat.trust.1.52.4h	0.00176	0.00152	0.01208	4e-05	0.002	0.00012	0.98248	w1.alpha
juniper.state.2.3.1h	0.56866	0.04554	0.01764	0.00148	0.24324	0.00132	0.12212	upper.beta
hickory.55.2.1.1h	0.0549	0.08216	0.0411	0.16372	0.64018	0.0161	0.00184	middle.beta
cody.56.3.19.unit.b.1h	0.17526	0.46796	0.2863	0.00102	0.05132	0.001	0.01714	upper.beta
thresher.55.1.12.a.8h	0.04808	0.06346	0.61634	0.00304	0.16906	0.08976	0.01026	upper.beta
strain.state.2.26.1h	0.32006	0.0154	0.0058	0.00322	0.6349	0.01822	0.0024	middle.beta
wheat.trust.1.52.3h	0.05536	0.00194	0.10804	0.00126	0.00472	0.0005	0.82818	middle.beta
wheat.trust.1.36.4h	0.1109	0.22256	0.01928	0.00032	0.0005	0.00016	0.64628	w1.alpha
robertson.state.2.7.1h	0.0108	0.00386	0.063	0.00532	0.06204	0.83306	0.02192	lower.beta
cheyenne.57.3.13.3h	0.06292	0.02056	0.15344	0.008	0.617	0.13564	0.00244	middle.beta
teton.56.2.26.unit.1h	0.0212	0.11798	0.46272	0.02246	0.06616	0.01354	0.29594	middle.beta
apc.fee.1.50.4h	0.01408	0.00388	0.59568	0.01554	0.00748	0.00804	0.3553	middle.beta
black.tip.state.43.4h	0.02362	0.42006	0.12856	0.23294	0.00278	0.00714	0.1849	middle.beta
craven.3.8.1h	0.00032	0.00232	0.1267	0.85028	0.0103	0.0004	0.00968	middle.beta
bullhead.55.1.34.b.1h	0.0649	0.19848	0.02578	0.00422	0.41948	0.03812	0.24902	upper.beta
birdie.bell.54.2.18.lov.2h	0.096	0.00422	0.00756	0.00556	0.88424	0.00098	0.00144	upper.beta
blacktip.1.44.2h	0.00018	0.00038	0.00088	2e-05	8e-05	0.0	0.99846	w1.alpha
sievers.unit.2.33.1h	0.04048	0.0031	0.01708	0.00364	0.89742	0.02064	0.01764	upper.beta
wheat.trust.1.52.6h	0.01334	0.00792	0.008	0.00296	0.02298	0.00134	0.94346	w1.alpha
yokum.ul.unit.19.4.2h	0.0604	0.62914	0.04942	0.10734	0.1348	0.01704	0.00186	w1.alpha
crockett.1.35.2.2h	0.01566	0.0024	0.08948	0.00446	0.00804	0.00346	0.8765	w1.alpha
blacktip.state.43.6h	0.00036	0.54588	0.1713	0.04824	0.004	0.02084	0.20938	middle.beta
raymore.1.46.unit.2.1h	2e-05	0.00026	0.00178	0.00014	0.00018	2e-05	0.9976	w1.alpha
dusk.54.1.34.unit.a.1h	0.26322	0.0047	0.00206	0.00274	0.72564	0.00112	0.00052	middle.beta
mdj.c.27.1.1h	0.04736	0.00308	0.00556	0.00152	0.43112	0.25674	0.25462	w1.alpha
blacktip.state.43.5h	0.02744	0.31682	0.34554	0.00038	0.0007	0.02128	0.28784	middle.beta
pace.state.unit.1.3.1h	0.0004	0.46406	0.13846	0.33074	0.05294	0.00102	0.01238	middle.beta
mesquite.2.2.1h	0.12178	0.00324	0.43748	0.3	0.13176	0.00014	0.0056	middle.beta
harrison.29.20.2h	0.74862	0.00156	0.09976	0.09482	0.02	0.02004	0.0152	middle.beta
university.19.6.2h	0.0669	0.04	0.1863	0.46514	0.22498	0.00656	0.01012	upper.beta
sheridan.55.4.27.1h	0.03032	0.0018	0.62994	0.00078	0.27928	0.0491	0.00878	lower.beta
black.tip.state.42.5h	0.0022	0.00334	0.25502	0.66884	0.0033	0.00074	0.06656	middle.beta
sievers.state.unit.2.1.2h	0.09656	0.70416	0.03546	0.00166	0.11128	0.00068	0.0502	middle.beta
ricochet.29.40.2h	0.05988	0.00722	0.58604		0.34504	0.00044	0.00138	shale.alpha
wd.johnson.1.49.5h	0.05836	0.01512	0.73692	0.17976	0.00466	0.00146	0.00372	middle.beta
kaycee.state.57.3.33.1h	0.15648	0.22924	0.02466	0.0035	0.5838	0.00106	0.00126	middle.beta
haley.29.24.6h	0.02794	0.55376	0.34842	0.00432	0.0077	0.04912	0.00874	w1.alpha
bitterroot.54.1.18.1h	0.1336	0.00186	0.00664	0.00362	0.84442	0.00746	0.0024	lower.beta
ashlock.1.34.2h	0.00056	0.00432	0.63424	0.29012	0.01108	0.0008	0.05888	middle.beta
dosey.doe.54.2.17.1hc	0.0869	0.00458	0.0211	0.0883	0.79412	0.00264	0.00236	middle.beta
big.horn.state.56.2.9.2h	0.0014	0.19308	0.63508	0.0005	0.0017	0.0129	0.15534	upper.delta
big.horn.state.56.2.9.1h	0.16202	0.03014	0.00532	0.00604	0.05078	0.745	0.0007	middle.beta
harrison.29.30.2h	0.11886	0.79034	0.0037	0.0037	0.07904	0.00196	0.0024	middle.beta
sievers.unit.2.29.2h	0.07454	0.00268	0.0118	0.00312	0.90168	0.00162	0.00456	w1.alpha
bagwell.c.27.1.unit.1h	0.06036	0.01948	0.01142	0.00308	0.1576	0.00234	0.74572	w1.alpha
ricochet.29.40.1h	0.18634	0.0045	0.0081	0.57394	0.22368	0.00248	0.00096	upper.beta
east.vermejo.33.66.1h	0.55096	0.00518	0.0807	0.01068	0.00086	0.00332	0.3483	w1.alpha
yokum.ul.unit.19.4.1h	0.02122	0.00336	0.35216	0.599	0.01614	0.0042	0.00392	middle.beta
nancy.couch.3.15.1h	0.45992	0.00766	0.31186	0.21282	0.00392	0.00122	0.0026	upper.beta
elkhorn.54.1.44.1h	0.4716	0.05416	0.04684	0.02312	0.4021	0.00144	0.00074	upper.beta
betts.53.4.2.1h	0.44868	0.00534	0.00608	0.00318	0.53214	0.00292	0.00166	upper.beta
mako.state.2.32.2h	0.05286	0.00294	0.03628	0.0057	0.76224	0.13918	0.0008	middle.beta
avalanche.29.40.unit.1h	0.06324	0.00762	0.03044	0.84724	0.0395	0.01088	0.00108	upper.beta
hammerhead.54.1.28.1h	0.06078	0.05374	0.13146	0.00356	0.08926	0.65766	0.00354	middle.beta
bitterroot.54.1.18.2h	0.09334	0.01242	0.05326	0.14054	0.09448	0.59538	0.01058	w1.alpha
wheat.trust.1.52.5h	0.00238	0.00192	0.01886	0.0036	0.00228	0.00074	0.97022	middle.beta
hacker.33.97.1h	0.2989	0.00884	0.03548	0.01436	0.57706	0.06452	0.00084	middle.beta
temin.unit.2.27.1h	0.00892	0.2742	0.63622	0.05872	0.004	0.01508	0.00286	upper.beta
old.partner.54.1.30.1h	0.08014	0.6847	0.11218	0.0249	0.03114	0.01396	0.05298	middle.beta
black.tip.state.43.2h	0.01802	0.0089	0.82638	0.00212	0.00178	0.00188	0.14092	middle.beta
wheat.trust.1.52.2h	0.97664	0.00464	0.00314	0.00254	0.00876	0.00014	0.00414	w1.alpha
betts.54.4.24.1h	0.02392	0.0012	0.22684	0.1897	0.09102	0.00282	0.4645	lower.beta
magnolia.55.2.1.1h	0.20026	0.1784	0.01126	0.05614	0.52166	0.0319	0.00038	middle.beta
priceless.c26.1.unit.d.1h	0.10474	0.01014	0.0086	0.03728	0.8274	0.0096	0.00224	middle.beta
shock.n.awe.29.41.1h	0.04804	0.17048	0.58422	0.13992	0.04788	0.00582	0.00364	middle.beta
pritchett.state.c.19.22.1h	0.33946	0.00676	0.16916	0.01102	0.42564	0.04458	0.00338	middle.beta
state.56.2.12.1h	0.39834	0.00422	0.0347	0.00226	0.55478	0.00246	0.00324	upper.beta
grey.bull.55.4.11.1h	0.95892	0.00578	0.00134	0.00206	0.0301	0.001	0.0008	lower.beta
crockett.1.35.2h	0.00144	0.00136	0.01128	0.05642	0.00254	0.00102	0.92594	w1.alpha
bohlander.33.95.1h	0.0018	0.04694	0.52812	0.41034	0.00958	0.00122	0.002	middle.beta
thresher.54.1.22.1h	0.2616	0.0035	0.02974	0.00422	0.0334	0.65042	0.01712	upper.delta
thresher.55.1.12.a.7h	0.04596	0.0151	0.0225	0.00628	0.79504	0.1131	0.00202	middle.beta
university.20.6.2h	0.03438	0.007	0.49858	0.09584	0.05978	0.29376	0.01066	middle.beta
winghead.56.2.43.2h	0.01004	0.00396	0.97964	0.00038	0.0031	0.00034	0.00254	middle.beta
apc.fee.1.50.3h	0.09952	0.00538	0.74392	0.02926	0.03416	0.00208	0.08568	middle.beta
black.tip.state.42.2h	0.0532	0.00474	0.33838	0.5271	0.0178	0.00196	0.05682	middle.beta
yokum.ul.unit.19.4.3h	0.02842	0.00262	0.70516	0.01272	0.1388	0.03052	0.08176	lower.beta
kingston.54.2.17.1h	0.21182	0.0061	0.04606	0.00684	0.72006	0.0059	0.00322	middle.beta
bond.unit.3.7.1h	0.0573	0.0029	0.42682	0.27088	0.23456	0.0004	0.00714	middle.beta
thresher.55.1.12.a.5h	0.32662	0.07434	0.26674	0.00266	0.20254	0.12414	0.00296	middle.beta
horn.state.33.94.5h	0.06586	0.00838	0.0069	0.00688	0.90702	0.00084	0.00412	middle.beta
saratoga.54.4.1h	0.19864	0.00414	0.4525	0.05026	0.00142	0.07434	0.2187	middle.beta
bullhead.state.55.1.45.unit.b.4h	0.00338	0.00322	0.04148	0.03354	0.3318	0.48612	0.10046	middle.beta
lindley.54.2.16.lov.3h	0.09398	0.0052	0.0054	0.00514	0.8417	0.00474	0.04384	middle.beta
raymore.1.46.unit.3.1h	0.00422	0.00012	0.00068	0.0	0.00014	4e-05	0.9948	w1.alpha
galapagos.53.2.45.1h	0.05108	0.00348	0.13338	0.00302	0.0673	0.11434	0.6274	w1.alpha
camp.29.31.unit.2h	0.00144	0.00646	0.08608	0.89058	0.00214	0.0025	0.0108	middle.beta
bullhead.55.1.22.1h	0.09688	0.00808	0.66122	0.00142	0.22534	0.00582	0.00124	middle.beta
banner.57.1.21.2h	0.15086	0.00484	0.60004	0.00616	0.23636	0.0011	0.00064	middle.beta
harrison.29.28.1h	0.1795	0.1851	0.13424	0.0084	0.48538	0.00372	0.00366	middle.beta
wheat.trust.1.36.3h	0.00308	0.00288	0.0014	0.00012	0.00068	0.00198	0.98986	w1.alpha
apc.fee.1.40.3h	0.01758	0.0018	0.83892	0.00058	0.0007	0.00228	0.13814	w1.alpha
kaycee.state.57.3.45.1h	0.07676	0.00302	0.80976	0.00436	0.0981	0.0069	0.0011	middle.beta
medicine.bow.56.2.1.1h	0.28896	0.00404	0.00196	0.00228	0.70154	0.00056	0.00066	middle.beta
