	lower.beta	middle.beta	upper.beta	upper.delta	w1.alpha	Unknown	Formation
ashlock.1.34.3h	0.04518	0.92228	0.0021	0.00058	0.0256	0.00426	middle.beta
bullhead.55.2.3.1h	0.00598	0.30092	0.09528	0.58636	0.00228	0.00918	w1.alpha
nitro.75.28.unit.a.1h	0.00778	0.72056	0.09014	0.1167	0.00524	0.05958	upper.beta
thresher.55.1.12.a.8h	0.00388	0.20328	0.62224	0.16894	0.00134	0.00032	upper.beta
big.easy.54.2.6.1h	0.02162	0.01902	0.87924	0.07414	0.00172	0.00426	middle.beta
cheyenne.57.3.13.1h	0.1734	0.11442	0.49084	0.07732	0.02908	0.11494	middle.beta
haley.28.43.3h	0.00184	0.9795	0.00322	0.00904	0.00576	0.00064	middle.beta
mako.state.3.6.2h	0.00652	0.7669	0.01022	0.00102	0.00224	0.2131	middle.beta
robertson.state.2.5.1h	0.00504	0.34246	0.08598	0.00182	0.1928	0.3719	upper.beta
wheat.trust.1.52.1h	0.00272	0.02556	0.0003	0.0	0.9712	0.00022	middle.beta
big.bucks.29.10.2h	0.05588	0.53138	0.0028	0.00534	0.34824	0.05636	lower.beta
bonafide.29.34.2h	0.00466	0.25286	0.06876	0.00258	0.00068	0.67046	lower.beta
big.horn.state.56.2.9.3h	0.00114	0.41212	0.0139	0.38362	0.03672	0.1525	middle.beta
thresher.55.1.12.a.6h	0.00356	0.60198	0.00396	0.08476	0.27246	0.03328	middle.beta
wheat.trust.1.52.3h	0.01044	0.1111	0.0023	0.00068	0.8158	0.05968	middle.beta
ashlock.1.34.4h	0.00522	0.8655	0.05276	0.00528	0.01438	0.05686	middle.beta
sevengills.55.1.35.a.1h	0.01248	0.96564	0.01078	0.00568	0.00518	0.00024	middle.beta
wheat.trust.1.52.7h	0.0035	0.02368	0.00684	0.001	0.95882	0.00616	middle.beta
sevengills.55.1.47.1h	0.01042	0.1696	0.12588	0.58446	0.00962	0.10002	upper.delta
apc.fee.1.40.4h	0.01354	0.12448	0.00166	0.01704	0.80628	0.037	w1.alpha
wheat.trust.1.52.4h	0.0039	0.02524	0.0122	0.00012	0.9572	0.00134	w1.alpha
juniper.state.2.3.1h	0.013	0.00604	0.30596	0.0015	0.10578	0.56772	upper.beta
teton.56.2.26.unit.1h	0.17404	0.28766	0.20934	0.01288	0.29196	0.02412	middle.beta
wheat.trust.1.36.4h	0.20236	0.02308	0.00054	0.00028	0.66502	0.10872	w1.alpha
robertson.state.2.7.1h	0.00188	0.04248	0.00072	0.95318	0.0017	4e-05	lower.beta
cheyenne.57.3.13.3h	0.00646	0.3107	0.50764	0.1573	0.0053	0.0126	middle.beta
apc.fee.1.50.4h	0.00454	0.7362	0.009	0.0068	0.22718	0.01628	middle.beta
black.tip.state.43.4h	0.42428	0.39988	0.00234	0.00566	0.07504	0.0928	middle.beta
craven.3.8.1h	0.00666	0.96914	0.02312	0.00024	0.00048	0.00036	middle.beta
bullhead.55.1.34.b.1h	0.56826	0.0484	0.2901	0.08602	0.0041	0.00312	upper.beta
blacktip.1.44.2h	0.00112	0.0033	8e-05	2e-05	0.99532	0.00016	w1.alpha
crockett.1.35.2.2h	0.00934	0.1294	0.00516	0.00688	0.83284	0.01638	w1.alpha
