Measured Depth,Inclination,Azimuth,True Vertical Depth,Vertical Section,N/S,E/W,Dogleg Severity,Closure Distance,Closure Direction
0,0,0,0,0,0,0,Invalid,0,0
180,1.07,262.52,179.99,-0.28,-0.22,-1.67,0.59,1.68,262.52
330,0.73,245.52,329.97,-0.93,-0.8,-3.92,0.29,4,258.53
509,0.42,217.85,508.96,-1.96,-1.78,-5.35,0.23,5.64,251.63
698,0.38,135.35,697.96,-2.94,-2.76,-5.33,0.28,6,242.6
884,0.24,101.21,883.96,-3.43,-3.28,-4.52,0.12,5.58,234.06
1066,0.28,34.56,1065.96,-3.12,-2.99,-3.9,0.16,4.91,232.54
1245,0.93,74.05,1244.94,-2.31,-2.23,-2.26,0.41,3.17,225.31
1424,1.61,85.14,1423.9,-1.56,-1.62,1.65,0.4,2.31,134.53
1603,3.71,87.49,1602.7,-0.81,-1.15,9.94,1.18,10,96.62
1782,3.78,95.01,1781.32,-0.68,-1.41,21.6,0.28,21.65,93.75
1961,3.91,102.1,1959.91,-2.06,-3.21,33.44,0.27,33.59,95.48
2141,3.4,103.3,2139.55,-4.19,-5.72,44.63,0.29,45,97.31
2320,4.25,88.22,2318.15,-4.8,-6.74,56.43,0.73,56.83,96.81
2499,3.65,99.49,2496.73,-5.12,-7.47,68.68,0.55,69.08,96.21
2678,4.38,82.25,2675.3,-4.71,-7.49,81.07,0.78,81.41,95.28
2857,4.26,89.74,2853.79,-3.3,-6.54,94.48,0.32,94.71,93.96
3036,3.97,92.16,3032.33,-3.07,-6.74,107.33,0.19,107.54,93.6
3215,4.19,88.41,3210.87,-2.69,-6.8,120.07,0.19,120.26,93.24
3394,4.81,92.47,3389.32,-2.35,-6.94,134.11,0.39,134.29,92.96
3573,5.92,94.11,3567.53,-2.76,-7.92,150.83,0.62,151.03,93.01
3752,5.94,97.93,3745.57,-4.07,-9.86,169.2,0.22,169.49,93.34
3932,4.73,92.28,3924.79,-5.08,-11.44,185.85,0.73,186.2,93.52
4110,3.92,82.4,4102.29,-4.11,-10.93,199.22,0.62,199.52,93.14
4289,4.18,92.77,4280.84,-3.18,-10.43,211.81,0.43,212.07,92.82
4482,4.89,114.11,4473.25,-6.38,-14.13,226.35,0.94,226.8,93.57
4663,3.86,92.71,4653.73,-9.38,-17.58,239.49,1.06,240.13,94.2
4852,3.72,85.38,4842.32,-8.76,-17.38,251.96,0.27,252.55,93.95
5042,3.22,80.75,5031.97,-7.01,-16.03,263.37,0.3,263.85,93.48
5231,2.79,86.12,5220.71,-5.51,-14.87,273.19,0.27,273.59,93.11
5420,3.63,71,5409.42,-2.91,-12.61,283.43,0.63,283.71,92.55
5609,3.27,74.63,5598.07,0.84,-9.23,294.28,0.22,294.42,91.8
5797,4.78,70.29,5785.6,5.33,-5.17,306.82,0.82,306.87,90.97
