,,Well,PERIOD,TP,CP,BH,GROSS OIL,GROSS WTR,GROSS GAS,GROSS BOE,Downtime,Lift,Choke,Cum Prod,Days Online,Formation,Pad,Comp Order
1,0,FORAKER 1207 1SMH-11,2019-03-25,,,,288.54,0.0,0.0,288.54,0,FLOW,25.523809523809526,288.54,1.0,SM,Pad3,3Z
1,1,FORAKER 1207 1SMH-11,2019-03-26,0.0,931.0,,238.68,933.0,471.0,317.18,0,FLOW,31.5,527.22,2.0,SM,Pad3,3Z
1,2,FORAKER 1207 1SMH-11,2019-03-27,0.0,868.0,,483.93,2139.0,655.0,593.0967,0,FLOW,34.166666666666664,1011.1500000000001,3.0,SM,Pad3,3Z
1,3,FORAKER 1207 1SMH-11,2019-03-28,0.0,933.0,,563.02,1981.0,900.0,713.02,0,FLOW,37.75,1574.17,4.0,SM,Pad3,3Z
1,4,FORAKER 1207 1SMH-11,2019-03-29,0.0,888.0,,684.58,2208.0,1376.0,913.9133,0,FLOW,42.583333333333336,2258.75,5.0,SM,Pad3,3Z
1,5,FORAKER 1207 1SMH-11,2019-03-30,0.0,846.0,,787.24,2695.0,1842.0,1094.24,0,FLOW,47.416666666666664,3045.99,6.0,SM,Pad3,3Z
1,6,FORAKER 1207 1SMH-11,2019-03-31,0.0,804.0,,902.44,2881.0,2140.0,1259.1067,0,FLOW,51.75,3948.43,7.0,SM,Pad3,3Z
1,7,FORAKER 1207 1SMH-11,2019-04-01,0.0,751.0,,1014.15,3049.0,2487.0,1428.65,0,FLOW,57.083333333333336,4962.58,8.0,SM,Pad3,3Z
1,8,FORAKER 1207 1SMH-11,2019-04-02,0.0,748.0,,1127.17,3184.0,2881.0,1607.3367,0,FLOW,61.833333333333336,6089.75,9.0,SM,Pad3,3Z
1,9,FORAKER 1207 1SMH-11,2019-04-03,0.0,732.0,,1154.76,3147.0,3259.0,1697.9267,0,FLOW,64.0,7244.51,10.0,SM,Pad3,3Z
1,10,FORAKER 1207 1SMH-11,2019-04-04,0.0,736.0,,1169.44,2973.0,3498.0,1752.44,0,FLOW,64.0,8413.95,11.0,SM,Pad3,3Z
1,11,FORAKER 1207 1SMH-11,2019-04-05,0.0,737.0,,1178.28,2882.0,3699.0,1794.78,0,FLOW,64.0,9592.230000000001,12.0,SM,Pad3,3Z
1,12,FORAKER 1207 1SMH-11,2019-04-06,0.0,741.0,,1157.76,2668.0,3849.0,1799.26,0,FLOW,64.0,10749.990000000002,13.0,SM,Pad3,3Z
1,13,FORAKER 1207 1SMH-11,2019-04-07,0.0,724.0,,1149.6,2515.0,3946.0,1807.2667,0,FLOW,64.0,11899.590000000002,14.0,SM,Pad3,3Z
1,14,FORAKER 1207 1SMH-11,2019-04-08,0.0,703.0,,1115.01,2267.0,4122.0,1802.01,0,FLOW,64.0,13014.600000000002,15.0,SM,Pad3,3Z
1,15,FORAKER 1207 1SMH-11,2019-04-09,0.0,691.0,,1070.54,2087.0,4111.0,1755.7067,0,FLOW,64.0,14085.140000000003,16.0,SM,Pad3,3Z
1,16,FORAKER 1207 1SMH-11,2019-04-10,0.0,686.0,,1016.54,1928.0,4247.0,1724.3733,0,FLOW,64.0,15101.680000000004,17.0,SM,Pad3,3Z
1,17,FORAKER 1207 1SMH-11,2019-04-11,0.0,671.0,,989.07,1776.0,4277.0,1701.9033,0,FLOW,64.0,16090.750000000004,18.0,SM,Pad3,3Z
1,18,FORAKER 1207 1SMH-11,2019-04-12,0.0,658.0,,921.1,1655.0,4389.0,1652.6,0,FLOW,64.0,17011.850000000002,19.0,SM,Pad3,3Z
1,19,FORAKER 1207 1SMH-11,2019-04-13,0.0,643.0,,920.68,1516.0,4114.0,1606.3467,0,FLOW,64.0,17932.530000000002,20.0,SM,Pad3,3Z
1,20,FORAKER 1207 1SMH-11,2019-04-14,0.0,621.0,,889.45,1434.0,4525.0,1643.6167,0,FLOW,64.0,18821.980000000003,21.0,SM,Pad3,3Z
1,21,FORAKER 1207 1SMH-11,2019-04-15,0.0,616.0,,849.21,1374.0,4391.0,1581.0433,0,FLOW,64.0,19671.190000000002,22.0,SM,Pad3,3Z
1,22,FORAKER 1207 1SMH-11,2019-04-16,0.0,595.0,,823.66,1327.0,4417.0,1559.8267,0,FLOW,64.0,20494.850000000002,23.0,SM,Pad3,3Z
1,23,FORAKER 1207 1SMH-11,2019-04-17,0.0,595.0,,790.67,1266.0,4398.0,1523.67,0,FLOW,64.0,21285.52,24.0,SM,Pad3,3Z
1,24,FORAKER 1207 1SMH-11,2019-04-18,0.0,580.0,,767.55,1228.0,4412.0,1502.8833,0,FLOW,64.0,22053.07,25.0,SM,Pad3,3Z
1,25,FORAKER 1207 1SMH-11,2019-04-19,0.0,569.0,,730.49,1183.0,4437.0,1469.99,0,FLOW,64.0,22783.56,26.0,SM,Pad3,3Z
1,26,FORAKER 1207 1SMH-11,2019-04-20,0.0,566.0,,710.7,1129.0,4399.0,1443.8667,0,FLOW,64.0,23494.260000000002,27.0,SM,Pad3,3Z
1,27,FORAKER 1207 1SMH-11,2019-04-21,0.0,558.0,,699.88,1054.0,4357.0,1426.0467,0,FLOW,64.0,24194.140000000003,28.0,SM,Pad3,3Z
1,28,FORAKER 1207 1SMH-11,2019-04-22,0.0,549.0,,676.74,1023.0,4359.0,1403.24,0,FLOW,64.0,24870.880000000005,29.0,SM,Pad3,3Z
1,29,FORAKER 1207 1SMH-11,2019-04-23,0.0,543.0,,725.66,1002.0,4435.0,1464.8267,0,FLOW,,25596.540000000005,30.0,SM,Pad3,3Z
1,30,FORAKER 1207 1SMH-11,2019-04-24,0.0,531.0,,617.22,883.0,4853.0,1426.0533,0,FLOW,,26213.760000000006,31.0,SM,Pad3,3Z
1,31,FORAKER 1207 1SMH-11,2019-04-25,0.0,524.0,,596.19,875.0,4501.0,1346.3567,0,FLOW,,26809.950000000004,32.0,SM,Pad3,3Z
1,32,FORAKER 1207 1SMH-11,2019-04-26,0.0,517.0,,617.35,850.0,4443.0,1357.85,0,FLOW,,27427.300000000003,33.0,SM,Pad3,3Z
1,33,FORAKER 1207 1SMH-11,2019-04-27,0.0,502.0,2338.0,561.11,821.0,4540.0,1317.7767,0,FLOW,,27988.410000000003,34.0,SM,Pad3,3Z
1,34,FORAKER 1207 1SMH-11,2019-04-28,0.0,495.0,,540.97,869.0,4391.0,1272.8033,0,FLOW,,28529.380000000005,35.0,SM,Pad3,3Z
1,35,FORAKER 1207 1SMH-11,2019-04-29,0.0,481.0,,577.06,985.0,4406.0,1311.3933,0,FLOW,,29106.440000000006,36.0,SM,Pad3,3Z
1,36,FORAKER 1207 1SMH-11,2019-04-30,0.0,476.0,,508.41,816.0,4358.0,1234.7433,0,FLOW,,29614.850000000006,37.0,SM,Pad3,3Z
1,37,FORAKER 1207 1SMH-11,2019-05-01,0.0,462.0,,513.37,912.0,4439.0,1253.2033,0,FLOW,,30128.220000000005,38.0,SM,Pad3,3Z
1,38,FORAKER 1207 1SMH-11,2019-05-02,0.0,456.0,,476.82,862.0,4097.0,1159.6533,0,FLOW,,30605.040000000005,39.0,SM,Pad3,3Z
1,39,FORAKER 1207 1SMH-11,2019-05-03,0.0,443.0,,500.55,857.0,4208.0,1201.8833,0,FLOW,,31105.590000000004,40.0,SM,Pad3,3Z
1,40,FORAKER 1207 1SMH-11,2019-05-04,0.0,434.0,,460.65,829.0,4055.0,1136.4833,0,FLOW,,31566.240000000005,41.0,SM,Pad3,3Z
1,41,FORAKER 1207 1SMH-11,2019-05-05,0.0,441.0,,456.25,809.0,4159.0,1149.4167,0,FLOW,,32022.490000000005,42.0,SM,Pad3,3Z
1,42,FORAKER 1207 1SMH-11,2019-05-06,0.0,413.0,,445.58,787.0,3600.0,1045.58,0,FLOW,,32468.070000000007,43.0,SM,Pad3,3Z
1,43,FORAKER 1207 1SMH-11,2019-05-07,0.0,412.0,,426.87,778.0,3970.0,1088.5367,0,FLOW,,32894.94000000001,44.0,SM,Pad3,3Z
1,44,FORAKER 1207 1SMH-11,2019-05-08,0.0,405.0,,402.28,755.0,3814.0,1037.9467,0,FLOW,,33297.22000000001,45.0,SM,Pad3,3Z
1,45,FORAKER 1207 1SMH-11,2019-05-09,0.0,402.0,,424.49,738.0,3720.0,1044.49,0,FLOW,,33721.71000000001,46.0,SM,Pad3,3Z
1,46,FORAKER 1207 1SMH-11,2019-05-10,0.0,398.0,,397.57,724.0,3836.0,1036.9033,0,FLOW,,34119.280000000006,47.0,SM,Pad3,3Z
1,47,FORAKER 1207 1SMH-11,2019-05-11,0.0,389.0,,399.93,710.0,3762.0,1026.93,0,FLOW,,34519.21000000001,48.0,SM,Pad3,3Z
