,,LEASE,D_DATE,OIL,GAS
FORAKER 1207 10UMH-11,0,FORAKER 1207 10UMH-11,2019-04-01,0.0,0.0
FORAKER 1207 10UMH-11,1,FORAKER 1207 10UMH-11,2019-04-02,0.0,0.0
FORAKER 1207 10UMH-11,2,FORAKER 1207 10UMH-11,2019-04-03,0.0,0.0
FORAKER 1207 10UMH-11,3,FORAKER 1207 10UMH-11,2019-04-04,0.0,258.78
FORAKER 1207 10UMH-11,4,FORAKER 1207 10UMH-11,2019-04-05,799.21,302.0
FORAKER 1207 10UMH-11,5,FORAKER 1207 10UMH-11,2019-04-06,1013.52,1060.0
FORAKER 1207 10UMH-11,6,FORAKER 1207 10UMH-11,2019-04-07,1221.85,1807.0
FORAKER 1207 10UMH-11,7,FORAKER 1207 10UMH-11,2019-04-08,1167.02,1965.0
FORAKER 1207 10UMH-11,8,FORAKER 1207 10UMH-11,2019-04-09,1046.16,2118.0
FORAKER 1207 10UMH-11,9,FORAKER 1207 10UMH-11,2019-04-10,1217.64,2083.0
FORAKER 1207 10UMH-11,10,FORAKER 1207 10UMH-11,2019-04-11,1174.52,1870.0
FORAKER 1207 10UMH-11,11,FORAKER 1207 10UMH-11,2019-04-12,1180.07,2763.0
FORAKER 1207 10UMH-11,12,FORAKER 1207 10UMH-11,2019-04-13,1099.11,2629.0
FORAKER 1207 10UMH-11,13,FORAKER 1207 10UMH-11,2019-04-14,1171.81,2769.0
FORAKER 1207 10UMH-11,14,FORAKER 1207 10UMH-11,2019-04-15,1227.69,3039.0
FORAKER 1207 10UMH-11,15,FORAKER 1207 10UMH-11,2019-04-16,900.97,2799.0
FORAKER 1207 10UMH-11,16,FORAKER 1207 10UMH-11,2019-04-17,848.97,3073.0
FORAKER 1207 10UMH-11,17,FORAKER 1207 10UMH-11,2019-04-18,777.6,3282.0
FORAKER 1207 10UMH-11,18,FORAKER 1207 10UMH-11,2019-04-19,717.88,3203.0
FORAKER 1207 10UMH-11,19,FORAKER 1207 10UMH-11,2019-04-20,674.19,3233.0
FORAKER 1207 10UMH-11,20,FORAKER 1207 10UMH-11,2019-04-21,624.24,3224.0
FORAKER 1207 10UMH-11,21,FORAKER 1207 10UMH-11,2019-04-22,645.78,3230.0
FORAKER 1207 10UMH-11,22,FORAKER 1207 10UMH-11,2019-04-23,554.27,3304.0
FORAKER 1207 10UMH-11,23,FORAKER 1207 10UMH-11,2019-04-24,510.57,3237.0
FORAKER 1207 10UMH-11,24,FORAKER 1207 10UMH-11,2019-04-25,510.53,3301.0
FORAKER 1207 10UMH-11,25,FORAKER 1207 10UMH-11,2019-04-26,464.07,3254.0
FORAKER 1207 10UMH-11,26,FORAKER 1207 10UMH-11,2019-04-27,438.35,3265.0
FORAKER 1207 10UMH-11,27,FORAKER 1207 10UMH-11,2019-04-28,428.65,3281.0
FORAKER 1207 10UMH-11,28,FORAKER 1207 10UMH-11,2019-04-29,401.6,3253.0
FORAKER 1207 10UMH-11,29,FORAKER 1207 10UMH-11,2019-04-30,384.95,3207.0
FORAKER 1207 10UMH-11,30,FORAKER 1207 10UMH-11,2019-05-01,367.61,3236.0
FORAKER 1207 10UMH-11,31,FORAKER 1207 10UMH-11,2019-05-02,348.88,3192.0
FORAKER 1207 10UMH-11,32,FORAKER 1207 10UMH-11,2019-05-03,339.18,3164.0
FORAKER 1207 10UMH-11,33,FORAKER 1207 10UMH-11,2019-05-04,321.84,3158.0
FORAKER 1207 10UMH-11,34,FORAKER 1207 10UMH-11,2019-05-05,309.35,3111.0
FORAKER 1207 10UMH-11,35,FORAKER 1207 10UMH-11,2019-05-06,289.23,3090.0
FORAKER 1207 10UMH-11,36,FORAKER 1207 10UMH-11,2019-05-07,274.67,3066.0
FORAKER 1207 10UMH-11,37,FORAKER 1207 10UMH-11,2019-05-08,281.61,3045.0
FORAKER 1207 10UMH-11,38,FORAKER 1207 10UMH-11,2019-05-09,261.49,3022.0
FORAKER 1207 10UMH-11,39,FORAKER 1207 10UMH-11,2019-05-10,251.09,2968.0
