,Well,Period,OIL,GAS,Delta Days,Gross WTR,Liquid Rate,Cum Oil,Cum Gas,Cum WTR,Cum Liquid,WCT,GOR,MBT Qo,MBT Qw,MBT Ql,Days Online,BHP AVG
0,FORAKER 1207 10UMH-11,2019-04-01,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
1,FORAKER 1207 10UMH-11,2019-04-02,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2,FORAKER 1207 10UMH-11,2019-04-03,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
3,FORAKER 1207 10UMH-11,2019-04-04,0.0,258.78,1,0.0,0.0,0.0,258.78,0.0,0.0,,,,,,,5264.0
4,FORAKER 1207 10UMH-11,2019-04-05,799.21,302.0,1,437.0500000000001,1236.2600000000002,799.21,560.78,437.0500000000001,1236.2600000000002,35.35259573228933,0.3778731497353637,1.0,1.0,1.0,1.0,4591.0
5,FORAKER 1207 10UMH-11,2019-04-06,1013.52,1060.0,1,1500.9599999999998,2514.4799999999996,1812.73,1620.78,1938.01,3750.74,59.69266011262766,1.0458599731628384,1.788548819954219,1.2911803112674556,1.4916563265565845,2.0,4246.0
6,FORAKER 1207 10UMH-11,2019-04-07,1221.85,1807.0,1,1605.7000000000005,2827.55,3034.58,3427.7799999999997,3543.7100000000005,6578.29,56.78767837880853,1.4789049392314932,2.4835945492490894,2.206956467584231,2.326498205159944,3.0,3996.0
7,FORAKER 1207 10UMH-11,2019-04-08,1167.02,1965.0,1,1513.92,2680.94,4201.6,5392.78,5057.630000000001,9259.23,56.46974568621454,1.683775770766568,3.6002810577368,3.340751162544917,3.4537251859422438,4.0,3745.0
8,FORAKER 1207 10UMH-11,2019-04-09,1046.16,2118.0,1,1493.8099999999997,2539.97,5247.76,7510.78,6551.4400000000005,11799.199999999999,58.81211195407819,2.024546914429915,5.016211669343122,4.38572509221387,4.64540919774643,5.0,3512.0
9,FORAKER 1207 10UMH-11,2019-04-10,1217.64,2083.0,1,1350.76,2568.4,6465.400000000001,9593.779999999999,7902.200000000001,14367.599999999999,52.5914966516119,1.7106862455241285,5.309779573601393,5.850188042287305,5.593988475315371,6.0,3181.0
10,FORAKER 1207 10UMH-11,2019-04-11,1174.52,1870.0,1,1278.1100000000001,2452.63,7639.92,11463.779999999999,9180.310000000001,16820.23,52.11181466425837,1.5921397677349045,6.50471682048837,7.1827229268216355,6.858038106033115,7.0,2949.0
11,FORAKER 1207 10UMH-11,2019-04-12,1180.07,2763.0,1,1232.1399999999999,2412.21,8819.99,14226.779999999999,10412.45,19232.44,51.07930072423213,2.3413865279178356,7.474124416348183,8.450703653805576,7.972954261859456,8.0,2614.0
12,FORAKER 1207 10UMH-11,2019-04-13,1099.11,2629.0,1,1124.5200000000002,2223.63,9919.1,16855.78,11536.970000000001,21456.07,50.57136304151321,2.3919352931007816,9.02466541110535,10.259461814818767,9.64911878325081,9.0,2359.0
13,FORAKER 1207 10UMH-11,2019-04-14,1171.81,2769.0,1,1005.0599999999996,2176.8699999999994,11090.91,19624.78,12542.03,23632.94,46.16995962092361,2.363011068347258,9.46476817914167,12.478886832626914,10.856385544382533,10.0,2090.0
14,FORAKER 1207 10UMH-11,2019-04-15,1227.69,3039.0,1,937.9300000000002,2165.6200000000003,12318.6,22663.78,13479.960000000001,25798.559999999998,43.30999898412464,2.475380592820663,10.03396622925983,14.3720320279765,11.912782482614675,11.0,1886.0
15,FORAKER 1207 10UMH-11,2019-04-16,900.97,2799.0,1,727.8999999999997,1628.87,13219.57,25462.78,14207.86,27427.429999999997,44.68742134117515,3.1066517198130903,14.672597311786186,19.518972386316808,16.838317361115372,12.0,1805.0
16,FORAKER 1207 10UMH-11,2019-04-17,848.97,3073.0,1,690.9499999999999,1539.92,14068.539999999999,28535.78,14898.810000000001,28967.35,44.86921398514208,3.6196803185035984,16.571304050790957,21.562790361097044,18.810944724401267,13.0,1701.0
17,FORAKER 1207 10UMH-11,2019-04-18,777.6,3282.0,1,614.8199999999999,1392.42,14846.14,31817.78,15513.630000000001,30359.769999999997,44.15478088507777,4.220679012345679,19.092258230452675,25.232799843856743,21.803600925008254,14.0,1616.0
18,FORAKER 1207 10UMH-11,2019-04-19,717.88,3203.0,1,551.58,1269.46,15564.019999999999,35020.78,16065.210000000001,31629.229999999996,43.449970853748844,4.461748481640385,21.68053156516409,29.12580224083542,24.91549950372599,15.0,1505.0
19,FORAKER 1207 10UMH-11,2019-04-20,674.19,3233.0,1,506.35999999999996,1180.55,16238.21,38253.78,16571.57,32809.78,42.891872432340854,4.795384090538275,24.08551001943072,32.72685441188088,27.791944432679685,16.0,1428.0
20,FORAKER 1207 10UMH-11,2019-04-21,624.24,3224.0,1,469.5,1093.74,16862.45,41477.78,17041.07,33903.52,42.926106752976025,5.164680251185441,27.012767525310778,36.29620873269435,30.997787408342017,17.0,1364.0
21,FORAKER 1207 10UMH-11,2019-04-22,645.78,3230.0,1,432.0,1077.78,17508.23,44707.78,17473.07,34981.299999999996,40.08239158269777,5.001703366471554,27.111756325683668,40.446921296296296,32.456809367403366,18.0,1310.0
22,FORAKER 1207 10UMH-11,2019-04-23,554.27,3304.0,1,400.23999999999995,954.51,18062.5,48011.78,17873.31,35935.81,41.93146221621564,5.960993739513234,32.58790842008408,44.65648111133321,37.64843741815172,19.0,1240.0
23,FORAKER 1207 10UMH-11,2019-04-24,510.57,3237.0,1,370.88000000000005,881.45,18573.07,51248.78,18244.190000000002,36817.259999999995,42.076124567474054,6.339972971384923,36.37712752413969,49.19162532355479,41.7689715809178,20.0,1204.0
24,FORAKER 1207 10UMH-11,2019-04-25,510.53,3301.0,1,342.9499999999999,853.4799999999998,19083.6,54549.78,18587.140000000003,37670.74,40.18254674977737,6.465829628033612,37.37997767026423,54.19781309228753,44.13781225101936,21.0,1175.0
25,FORAKER 1207 10UMH-11,2019-04-26,464.07,3254.0,1,323.65999999999997,787.73,19547.67,57803.78,18910.800000000003,38458.47,41.08768232770111,7.0118732087831575,42.122244488977955,58.427979978990315,48.82189328830945,22.0,1141.0
26,FORAKER 1207 10UMH-11,2019-04-27,438.35,3265.0,1,300.67,739.02,19986.019999999997,61068.78,19211.47,39197.49,40.6849611647858,7.448385992928025,45.59374928709934,63.895533308943364,53.03982300884956,23.0,1096.0
27,FORAKER 1207 10UMH-11,2019-04-28,428.65,3281.0,1,287.90000000000003,716.55,20414.67,64349.78,19499.370000000003,39914.04,40.17863373107251,7.654263385046075,47.62549865857926,67.72966307745745,55.70307724513293,24.0,1081.0
28,FORAKER 1207 10UMH-11,2019-04-29,401.6,3253.0,1,269.61000000000007,671.21,20816.269999999997,67602.78,19768.980000000003,40585.25,40.16775673783169,8.100099601593625,51.83334163346613,73.32435740514074,60.465800569121434,25.0,1059.0
29,FORAKER 1207 10UMH-11,2019-04-30,384.95,3207.0,1,265.86999999999995,650.8199999999999,21201.219999999998,70809.78,20034.850000000002,41236.07,40.85154113272487,8.330952071697624,55.07525652682166,75.35581299131157,63.36017639285824,26.0,1022.0
30,FORAKER 1207 10UMH-11,2019-05-01,367.61,3236.0,1,251.29,618.9,21568.829999999998,74045.78,20286.140000000003,41854.97,40.60268217805785,8.802807322978156,58.67313185169064,80.72800350193006,67.62800129261593,27.0,1003.0
31,FORAKER 1207 10UMH-11,2019-05-02,348.88,3192.0,1,242.55000000000004,591.4300000000001,21917.71,77237.78,20528.690000000002,42446.4,41.01077050538525,9.149277688603531,62.82306237101582,84.63694083694084,71.76910200699997,28.0,984.0
32,FORAKER 1207 10UMH-11,2019-05-03,339.18,3164.0,1,247.1399999999999,586.3199999999999,22256.89,80401.78,20775.83,43032.72,42.15104379860826,9.328380211097352,65.6197004540362,84.0650238731084,73.39459680720427,29.0,965.0
33,FORAKER 1207 10UMH-11,2019-05-04,321.84,3158.0,1,229.23,551.0699999999999,22578.73,83559.78,21005.06,43583.79,41.59725624693778,9.812329107631122,70.15513919960229,91.63311957422677,79.08938973270185,30.0,952.0
34,FORAKER 1207 10UMH-11,2019-05-05,309.35,3111.0,1,225.15000000000006,534.5000000000001,22888.079999999998,86670.78,21230.210000000003,44118.29,42.12347988774556,10.056570227897202,73.98765152739614,94.29362647124138,82.54123479887744,31.0,923.0
35,FORAKER 1207 10UMH-11,2019-05-06,289.23,3090.0,1,211.40000000000006,500.6300000000001,23177.309999999998,89760.78,21441.610000000004,44618.92,42.22679423925854,10.683539051965562,80.13452961311066,101.42672658467359,89.12554181731016,32.0,918.0
36,FORAKER 1207 10UMH-11,2019-05-07,274.67,3066.0,1,203.02,477.69000000000005,23451.979999999996,92826.78,21644.630000000005,45096.61,42.50036634637526,11.162485892161502,85.38238613609056,106.6132893311004,94.40559777261403,33.0,890.0
37,FORAKER 1207 10UMH-11,2019-05-08,281.61,3045.0,1,109.44000000000004,391.05000000000007,23733.589999999997,95871.78,21754.070000000003,45487.66,27.986191024165713,10.812826249067859,84.27822165406056,198.77622441520464,116.32185142564889,34.0,870.0
38,FORAKER 1207 10UMH-11,2019-05-09,261.49,3022.0,1,134.78,396.27,23995.079999999998,98893.78,21888.850000000002,45883.93,34.01216342392813,11.556847298175837,91.76289724272438,162.40428847009943,115.78956267191562,35.0,857.0
39,FORAKER 1207 10UMH-11,2019-05-10,251.09,2968.0,1,177.93000000000004,429.02000000000004,24246.17,101861.78,22066.780000000002,46312.95,41.47359097477973,11.820462782269306,96.56366243179735,124.01944584949136,107.95056174537316,36.0,842.0
40,FORAKER 1207 10UMH-11,2019-05-11,249.69,2955.0,1,183.47,433.15999999999997,24495.859999999997,104816.78,22250.250000000004,46746.11,42.35617323852618,11.834674996996275,98.10509031198686,121.27459530168422,107.91880598393205,37.0,830.0
41,FORAKER 1207 10UMH-11,2019-05-12,238.6,2966.0,1,186.30999999999997,424.90999999999997,24734.459999999995,107782.78,22436.560000000005,47171.020000000004,43.846932291544086,12.430846605196983,103.66496227996646,120.42595673876876,111.01414417170697,38.0,801.0
42,FORAKER 1207 10UMH-11,2019-05-13,222.64,2982.0,1,179.38999999999996,402.03,24957.099999999995,110764.78,22615.950000000004,47573.05,44.62104818048404,13.393819619116062,112.09620912684152,126.07140866269029,118.33208964505138,39.0,761.0
43,FORAKER 1207 10UMH-11,2019-05-14,214.32,3001.0,1,175.38999999999996,389.7099999999999,25171.419999999995,113765.78,22791.340000000004,47962.76,45.00526032177773,14.002426278462114,117.44783501306455,129.94663321740128,123.07295168201999,40.0,750.0
44,FORAKER 1207 10UMH-11,2019-05-15,210.86,2965.0,1,162.54,373.4,25382.279999999995,116730.78,22953.880000000005,48336.16,43.52972683449384,14.061462581807834,120.3750355686237,141.21988433616343,129.4487412961971,41.0,726.0
45,FORAKER 1207 10UMH-11,2019-05-16,196.99,2940.0,1,152.53,349.52,25579.269999999997,119670.78,23106.410000000003,48685.68,43.639848935683226,14.924615462713843,129.8506015533783,151.48764177538848,139.29297322041657,42.0,711.0
46,FORAKER 1207 10UMH-11,2019-05-17,192.13,2906.0,1,142.45000000000002,334.58000000000004,25771.399999999998,122576.78,23248.860000000004,49020.26,42.57576663279335,15.125175662311976,134.1352209441524,163.20716040716042,146.51282204554963,43.0,693.0
47,FORAKER 1207 10UMH-11,2019-05-18,191.44,2878.0,1,148.43000000000004,339.87,25962.839999999997,125454.78,23397.290000000005,49360.130000000005,43.67258069261778,15.033430839949855,135.61867948182197,157.63181297581352,145.2323829699591,44.0,686.0
48,FORAKER 1207 10UMH-11,2019-05-19,178.26,2840.0,1,140.93000000000004,319.19000000000005,26141.099999999995,128294.78,23538.220000000005,49679.32000000001,44.15238572636988,15.931785033097723,146.6459104678559,167.02064854892498,155.6418434161471,45.0,668.0
