,Well Name,Time,BHP
0,Foraker 10UMH,04/04/2019,5264.0
1,Foraker 10UMH,04/05/2019,4591.0
2,Foraker 10UMH,04/06/2019,4246.0
3,Foraker 10UMH,04/07/2019,3996.0
4,Foraker 10UMH,04/08/2019,3745.0
5,Foraker 10UMH,04/09/2019,3512.0
6,Foraker 10UMH,04/10/2019,3181.0
7,Foraker 10UMH,04/11/2019,2949.0
8,Foraker 10UMH,04/12/2019,2614.0
9,Foraker 10UMH,04/13/2019,2359.0
10,Foraker 10UMH,04/14/2019,2090.0
11,Foraker 10UMH,04/15/2019,1886.0
12,Foraker 10UMH,04/16/2019,1805.0
13,Foraker 10UMH,04/17/2019,1701.0
14,Foraker 10UMH,04/18/2019,1616.0
15,Foraker 10UMH,04/19/2019,1505.0
16,Foraker 10UMH,04/20/2019,1428.0
17,Foraker 10UMH,04/21/2019,1364.0
18,Foraker 10UMH,04/22/2019,1310.0
19,Foraker 10UMH,04/23/2019,1240.0
20,Foraker 10UMH,04/24/2019,1204.0
21,Foraker 10UMH,04/25/2019,1175.0
22,Foraker 10UMH,04/26/2019,1141.0
23,Foraker 10UMH,04/27/2019,1096.0
24,Foraker 10UMH,04/28/2019,1081.0
25,Foraker 10UMH,04/29/2019,1059.0
26,Foraker 10UMH,04/30/2019,1022.0
27,Foraker 10UMH,05/01/2019,1003.0
28,Foraker 10UMH,05/02/2019,984.0
29,Foraker 10UMH,05/03/2019,965.0
30,Foraker 10UMH,05/04/2019,952.0
31,Foraker 10UMH,05/05/2019,923.0
32,Foraker 10UMH,05/06/2019,918.0
33,Foraker 10UMH,05/07/2019,890.0
34,Foraker 10UMH,05/08/2019,870.0
35,Foraker 10UMH,05/09/2019,857.0
36,Foraker 10UMH,05/10/2019,842.0
37,Foraker 10UMH,05/11/2019,830.0
38,Foraker 10UMH,05/12/2019,801.0
39,Foraker 10UMH,05/13/2019,761.0
40,Foraker 10UMH,05/14/2019,750.0
41,Foraker 10UMH,05/15/2019,726.0
42,Foraker 10UMH,05/16/2019,711.0
43,Foraker 10UMH,05/17/2019,693.0
44,Foraker 10UMH,05/18/2019,686.0
45,Foraker 10UMH,05/19/2019,668.0
46,Foraker 10UMH,05/20/2019,731.0
47,Foraker 10UMH,05/21/2019,671.0
48,Foraker 10UMH,05/22/2019,642.0
49,Foraker 10UMH,05/23/2019,614.0
50,Foraker 10UMH,05/24/2019,609.0
51,Foraker 10UMH,05/25/2019,616.0
52,Foraker 10UMH,05/26/2019,601.0
53,Foraker 10UMH,05/27/2019,591.0
54,Foraker 10UMH,05/28/2019,575.0
55,Foraker 10UMH,05/29/2019,546.0
56,Foraker 10UMH,05/30/2019,554.0
57,Foraker 10UMH,05/31/2019,542.0
58,Foraker 10UMH,06/01/2019,553.0
59,Foraker 10UMH,06/02/2019,490.0
60,Foraker 10UMH,06/03/2019,493.0
61,Foraker 10UMH,06/04/2019,486.0
62,Foraker 10UMH,06/05/2019,439.0
63,Foraker 10UMH,06/06/2019,429.0
64,Foraker 10UMH,06/07/2019,420.0
65,Foraker 10UMH,06/08/2019,426.0
66,Foraker 10UMH,06/09/2019,407.0
67,Foraker 10UMH,06/10/2019,395.0
68,Foraker 10UMH,06/11/2019,398.0
69,Foraker 10UMH,06/12/2019,390.0
70,Foraker 10UMH,06/13/2019,370.0
71,Foraker 10UMH,06/14/2019,365.0
72,Foraker 10UMH,06/15/2019,449.0
73,Foraker 10UMH,06/16/2019,453.0
74,Foraker 10UMH,06/17/2019,398.0
75,Foraker 10UMH,06/18/2019,417.0
76,Foraker 10UMH,06/19/2019,400.0
77,Foraker 10UMH,06/20/2019,373.0
78,Foraker 10UMH,06/21/2019,381.0
79,Foraker 10UMH,06/22/2019,375.0
80,Foraker 10UMH,06/23/2019,344.0
81,Foraker 10UMH,06/24/2019,349.0
82,Foraker 10UMH,06/25/2019,361.0
83,Foraker 10UMH,06/26/2019,344.0
84,Foraker 10UMH,06/27/2019,328.0
85,Foraker 10UMH,06/28/2019,311.0
86,Foraker 10UMH,06/29/2019,323.0
87,Foraker 10UMH,06/30/2019,302.0
88,Foraker 10UMH,07/01/2019,287.0
89,Foraker 10UMH,07/02/2019,138.0
90,Foraker 10UMH,07/03/2019,927.0
91,Foraker 10UMH,07/04/2019,595.0
92,Foraker 10UMH,07/05/2019,581.0
93,Foraker 10UMH,07/06/2019,573.0
94,Foraker 10UMH,07/07/2019,587.0
95,Foraker 10UMH,07/08/2019,579.0
96,Foraker 10UMH,07/09/2019,580.0
97,Foraker 10UMH,07/10/2019,563.0
98,Foraker 10UMH,07/11/2019,552.0
99,Foraker 10UMH,07/12/2019,563.0
100,Foraker 10UMH,07/13/2019,541.0
101,Foraker 10UMH,07/14/2019,558.0
102,Foraker 10UMH,07/15/2019,549.0
103,Foraker 10UMH,07/16/2019,561.0
104,Foraker 10UMH,07/17/2019,569.0
105,Foraker 10UMH,07/18/2019,568.0
106,Foraker 10UMH,07/19/2019,548.0
107,Foraker 10UMH,07/20/2019,546.0
108,Foraker 10UMH,07/21/2019,556.0
109,Foraker 10UMH,07/22/2019,530.0
110,Foraker 10UMH,07/23/2019,545.0
111,Foraker 10UMH,07/24/2019,161.0
112,Foraker 10UMH,07/25/2019,513.0
113,Foraker 10UMH,07/26/2019,511.0
114,Foraker 10UMH,07/27/2019,522.0
115,Foraker 10UMH,07/28/2019,539.0
116,Foraker 10UMH,07/29/2019,524.0
117,Foraker 10UMH,07/30/2019,542.0
118,Foraker 10UMH,07/31/2019,537.0
119,Foraker 10UMH,08/01/2019,513.0
120,Foraker 10UMH,08/02/2019,506.0
121,Foraker 10UMH,08/03/2019,501.0
122,Foraker 10UMH,08/04/2019,489.0
123,Foraker 10UMH,08/05/2019,482.0
124,Foraker 10UMH,08/06/2019,486.0
125,Foraker 10UMH,08/07/2019,511.0
126,Foraker 10UMH,08/08/2019,512.0
127,Foraker 10UMH,08/09/2019,518.0
128,Foraker 10UMH,08/10/2019,516.0
129,Foraker 10UMH,08/11/2019,518.0
130,Foraker 10UMH,08/12/2019,520.0
131,Foraker 10UMH,08/13/2019,519.0
132,Foraker 10UMH,08/14/2019,521.0
133,Foraker 10UMH,08/15/2019,614.0
134,Foraker 10UMH,08/16/2019,129.0
135,Foraker 10UMH,08/17/2019,129.0
136,Foraker 10UMH,08/18/2019,812.0
137,Foraker 10UMH,08/19/2019,143.0
138,Foraker 10UMH,08/20/2019,135.0
139,Foraker 10UMH,08/21/2019,897.0
140,Foraker 10UMH,08/22/2019,172.0
141,Foraker 10UMH,08/23/2019,350.0
142,Foraker 10UMH,08/24/2019,547.0
143,Foraker 10UMH,08/25/2019,495.0
144,Foraker 10UMH,08/26/2019,476.0
145,Foraker 10UMH,08/27/2019,511.0
146,Foraker 10UMH,08/28/2019,481.0
147,Foraker 10UMH,08/29/2019,464.0
148,Foraker 10UMH,08/30/2019,463.0
149,Foraker 10UMH,08/31/2019,447.0
150,Foraker 10UMH,09/01/2019,449.0
151,Foraker 10UMH,09/02/2019,443.0
152,Foraker 10UMH,09/03/2019,444.0
153,Foraker 10UMH,09/04/2019,449.0
154,Foraker 10UMH,09/05/2019,449.0
155,Foraker 10UMH,09/06/2019,444.0
156,Foraker 10UMH,09/07/2019,441.0
157,Foraker 10UMH,09/08/2019,449.0
158,Foraker 10UMH,09/09/2019,425.0
159,Foraker 10UMH,09/10/2019,436.0
160,Foraker 10UMH,09/11/2019,443.0
161,Foraker 10UMH,09/12/2019,458.0
162,Foraker 10UMH,09/13/2019,459.0
163,Foraker 10UMH,09/14/2019,463.0
164,Foraker 10UMH,09/15/2019,465.0
165,Foraker 10UMH,09/16/2019,461.0
166,Foraker 10UMH,09/17/2019,461.0
167,Foraker 10UMH,09/18/2019,462.0
168,Foraker 10UMH,09/19/2019,467.0
169,Foraker 10UMH,09/20/2019,462.0
170,Foraker 10UMH,09/21/2019,457.0
171,Foraker 10UMH,09/22/2019,457.0
172,Foraker 10UMH,09/23/2019,457.0
173,Foraker 10UMH,09/24/2019,455.0
174,Foraker 10UMH,09/25/2019,463.0
175,Foraker 10UMH,09/26/2019,457.0
176,Foraker 11SMH,04/04/2019,5219.0
177,Foraker 11SMH,04/05/2019,4817.0
178,Foraker 11SMH,04/06/2019,4600.0
179,Foraker 11SMH,04/07/2019,4126.0
180,Foraker 11SMH,04/08/2019,4236.0
181,Foraker 11SMH,04/09/2019,4310.0
182,Foraker 11SMH,04/10/2019,4235.0
183,Foraker 11SMH,04/11/2019,4095.0
184,Foraker 11SMH,04/12/2019,3893.0
185,Foraker 11SMH,04/13/2019,3686.0
186,Foraker 11SMH,04/14/2019,3588.0
187,Foraker 11SMH,04/15/2019,3583.0
188,Foraker 11SMH,04/16/2019,3615.0
189,Foraker 11SMH,04/17/2019,3541.0
190,Foraker 11SMH,04/18/2019,3433.0
191,Foraker 11SMH,04/19/2019,3375.0
192,Foraker 11SMH,04/20/2019,3404.0
193,Foraker 11SMH,04/21/2019,3248.0
194,Foraker 11SMH,04/22/2019,3117.0
195,Foraker 11SMH,04/23/2019,3003.0
196,Foraker 11SMH,04/24/2019,2871.0
197,Foraker 11SMH,04/25/2019,2749.0
198,Foraker 11SMH,04/26/2019,2676.0
199,Foraker 11SMH,04/27/2019,2439.0
200,Foraker 11SMH,04/28/2019,2384.0
201,Foraker 11SMH,04/29/2019,2336.0
202,Foraker 11SMH,04/30/2019,2233.0
203,Foraker 11SMH,05/01/2019,2191.0
204,Foraker 11SMH,05/02/2019,2122.0
205,Foraker 11SMH,05/03/2019,2113.0
206,Foraker 11SMH,05/04/2019,2052.0
207,Foraker 11SMH,05/05/2019,1976.0
208,Foraker 11SMH,05/06/2019,2022.0
209,Foraker 11SMH,05/07/2019,1896.0
210,Foraker 11SMH,05/08/2019,1820.0
211,Foraker 11SMH,05/09/2019,1816.0
212,Foraker 11SMH,05/10/2019,1771.0
213,Foraker 11SMH,05/11/2019,1726.0
214,Foraker 11SMH,05/12/2019,1770.0
