Well,PERIOD,TP,CP,BH,GROSS OIL,GROSS WTR,GROSS GAS,GROSS BOE,Downtime,Lift,Choke,Cum Prod,Days Online,Formation,Pad,Comp Order
FORAKER 1207 1SMH-11,3/25/2019,,,,288.54,0,0,288.54,0,FLOW,25.52380952,288.54,1,SM,Pad3,3Z
FORAKER 1207 1SMH-11,3/26/2019,0,931,,238.68,933,471,317.18,0,FLOW,31.5,527.22,2,SM,Pad3,3Z
FORAKER 1207 1SMH-11,3/27/2019,0,868,,483.93,2139,655,593.0967,0,FLOW,34.16666667,1011.15,3,SM,Pad3,3Z
FORAKER 1207 1SMH-11,3/28/2019,0,933,,563.02,1981,900,713.02,0,FLOW,37.75,1574.17,4,SM,Pad3,3Z
FORAKER 1207 1SMH-11,3/29/2019,0,888,,684.58,2208,1376,913.9133,0,FLOW,42.58333333,2258.75,5,SM,Pad3,3Z
FORAKER 1207 1SMH-11,3/30/2019,0,846,,787.24,2695,1842,1094.24,0,FLOW,47.41666667,3045.99,6,SM,Pad3,3Z
FORAKER 1207 1SMH-11,3/31/2019,0,804,,902.44,2881,2140,1259.1067,0,FLOW,51.75,3948.43,7,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/1/2019,0,751,,1014.15,3049,2487,1428.65,0,FLOW,57.08333333,4962.58,8,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/2/2019,0,748,,1127.17,3184,2881,1607.3367,0,FLOW,61.83333333,6089.75,9,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/3/2019,0,732,,1154.76,3147,3259,1697.9267,0,FLOW,64,7244.51,10,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/4/2019,0,736,,1169.44,2973,3498,1752.44,0,FLOW,64,8413.95,11,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/5/2019,0,737,,1178.28,2882,3699,1794.78,0,FLOW,64,9592.23,12,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/6/2019,0,741,,1157.76,2668,3849,1799.26,0,FLOW,64,10749.99,13,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/7/2019,0,724,,1149.6,2515,3946,1807.2667,0,FLOW,64,11899.59,14,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/8/2019,0,703,,1115.01,2267,4122,1802.01,0,FLOW,64,13014.6,15,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/9/2019,0,691,,1070.54,2087,4111,1755.7067,0,FLOW,64,14085.14,16,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/10/2019,0,686,,1016.54,1928,4247,1724.3733,0,FLOW,64,15101.68,17,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/11/2019,0,671,,989.07,1776,4277,1701.9033,0,FLOW,64,16090.75,18,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/12/2019,0,658,,921.1,1655,4389,1652.6,0,FLOW,64,17011.85,19,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/13/2019,0,643,,920.68,1516,4114,1606.3467,0,FLOW,64,17932.53,20,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/14/2019,0,621,,889.45,1434,4525,1643.6167,0,FLOW,64,18821.98,21,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/15/2019,0,616,,849.21,1374,4391,1581.0433,0,FLOW,64,19671.19,22,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/16/2019,0,595,,823.66,1327,4417,1559.8267,0,FLOW,64,20494.85,23,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/17/2019,0,595,,790.67,1266,4398,1523.67,0,FLOW,64,21285.52,24,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/18/2019,0,580,,767.55,1228,4412,1502.8833,0,FLOW,64,22053.07,25,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/19/2019,0,569,,730.49,1183,4437,1469.99,0,FLOW,64,22783.56,26,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/20/2019,0,566,,710.7,1129,4399,1443.8667,0,FLOW,64,23494.26,27,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/21/2019,0,558,,699.88,1054,4357,1426.0467,0,FLOW,64,24194.14,28,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/22/2019,0,549,,676.74,1023,4359,1403.24,0,FLOW,64,24870.88,29,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/23/2019,0,543,,725.66,1002,4435,1464.8267,0,FLOW,,25596.54,30,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/24/2019,0,531,,617.22,883,4853,1426.0533,0,FLOW,,26213.76,31,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/25/2019,0,524,,596.19,875,4501,1346.3567,0,FLOW,,26809.95,32,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/26/2019,0,517,,617.35,850,4443,1357.85,0,FLOW,,27427.3,33,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/27/2019,0,502,2338,561.11,821,4540,1317.7767,0,FLOW,,27988.41,34,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/28/2019,0,495,,540.97,869,4391,1272.8033,0,FLOW,,28529.38,35,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/29/2019,0,481,,577.06,985,4406,1311.3933,0,FLOW,,29106.44,36,SM,Pad3,3Z
FORAKER 1207 1SMH-11,4/30/2019,0,476,,508.41,816,4358,1234.7433,0,FLOW,,29614.85,37,SM,Pad3,3Z
FORAKER 1207 1SMH-11,5/1/2019,0,462,,513.37,912,4439,1253.2033,0,FLOW,,30128.22,38,SM,Pad3,3Z
FORAKER 1207 1SMH-11,5/2/2019,0,456,,476.82,862,4097,1159.6533,0,FLOW,,30605.04,39,SM,Pad3,3Z
FORAKER 1207 1SMH-11,5/3/2019,0,443,,500.55,857,4208,1201.8833,0,FLOW,,31105.59,40,SM,Pad3,3Z
FORAKER 1207 1SMH-11,5/4/2019,0,434,,460.65,829,4055,1136.4833,0,FLOW,,31566.24,41,SM,Pad3,3Z
FORAKER 1207 1SMH-11,5/5/2019,0,441,,456.25,809,4159,1149.4167,0,FLOW,,32022.49,42,SM,Pad3,3Z
FORAKER 1207 1SMH-11,5/6/2019,0,413,,445.58,787,3600,1045.58,0,FLOW,,32468.07,43,SM,Pad3,3Z
FORAKER 1207 1SMH-11,5/7/2019,0,412,,426.87,778,3970,1088.5367,0,FLOW,,32894.94,44,SM,Pad3,3Z
