,,Well,PERIOD,TP,CP,BH,GROSS OIL,GROSS WTR,GROSS GAS,GROSS BOE,Downtime,Lift,Choke,Cum Prod,Days Online,Formation,Pad,Comp Order,Recon WTR,RECON WTR,RECON WCT,WCT,Liq Rate,RECON Liq Rate
0,,FORAKER 1207 1SMH-11,2019-03-25,,,,288.54,0.0,0.0,288.54,0.0,FLOW,25.5238095238095,288.54,1,SM,Pad3,3Z,0,,,0.0,288.54,
0,,FORAKER 1207 1SMH-11,2019-03-26,0.0,931.0,,238.68,933.0,471.0,317.18,0.0,FLOW,31.5,527.22,2,SM,Pad3,3Z,0,1166.6,83.01548445861322,79.62925030725113,1171.68,1405.28
0,,FORAKER 1207 1SMH-11,2019-03-27,0.0,868.0,,483.93,2139.0,655.0,593.0967,0.0,FLOW,34.1666666666666,1011.15,3,SM,Pad3,3Z,0,2200.91,81.97546222493706,81.55002230330204,2622.93,2684.8399999999997
0,,FORAKER 1207 1SMH-11,2019-03-28,0.0,933.0,,563.02,1981.0,900.0,713.02,0.0,FLOW,37.75,1574.17,4,SM,Pad3,3Z,0,2022.64,78.22528870771873,77.86888467857958,2544.02,2585.66
0,,FORAKER 1207 1SMH-11,2019-03-29,0.0,888.0,,684.58,2208.0,1376.0,913.9133,0.0,FLOW,42.5833333333333,2258.75,5,SM,Pad3,3Z,0,2304.53,77.09753070311899,76.33323883868381,2892.58,2989.11
0,,FORAKER 1207 1SMH-11,2019-03-30,0.0,846.0,,787.24,2695.0,1842.0,1094.24,0.0,FLOW,47.4166666666666,3045.99,6,SM,Pad3,3Z,0,2623.92,76.92163369645517,77.3927127366293,3482.24,3411.16
0,,FORAKER 1207 1SMH-11,2019-03-31,0.0,804.0,,902.44,2881.0,2140.0,1259.1067,0.0,FLOW,51.75,3948.43,7,SM,Pad3,3Z,0,2913.08,76.34817796787856,76.14763284206965,3783.44,3815.52
0,,FORAKER 1207 1SMH-11,2019-04-01,0.0,751.0,,1014.15,3049.0,2487.0,1428.65,0.0,FLOW,57.0833333333333,4962.58,8,SM,Pad3,3Z,0,3127.29,75.51214070468244,75.04030124410863,4063.15,4141.44
0,,FORAKER 1207 1SMH-11,2019-04-02,0.0,748.0,,1127.17,3184.0,2881.0,1607.3367,0.0,FLOW,61.8333333333333,6089.75,9,SM,Pad3,3Z,0,3189.42,73.8874898936429,73.85466126364769,4311.17,4316.59
0,,FORAKER 1207 1SMH-11,2019-04-03,0.0,732.0,,1154.76,3147.0,3259.0,1697.9267,0.0,FLOW,64.0,7244.51,10,SM,Pad3,3Z,0,3093.7,72.81932747395527,73.1561035483151,4301.76,4248.46
0,,FORAKER 1207 1SMH-11,2019-04-04,0.0,736.0,,1169.44,2973.0,3498.0,1752.44,0.0,FLOW,64.0,8413.95,11,SM,Pad3,3Z,0,2961.46,71.69043065675761,71.76929539112213,4142.4400000000005,4130.9
0,,FORAKER 1207 1SMH-11,2019-04-05,0.0,737.0,,1178.28,2882.0,3699.0,1794.78,0.0,FLOW,64.0,9592.23,12,SM,Pad3,3Z,0,2885.91,71.0082451853875,70.9803264799472,4060.2799999999997,4064.1899999999996
0,,FORAKER 1207 1SMH-11,2019-04-06,0.0,741.0,,1157.76,2668.0,3849.0,1799.26,0.0,FLOW,64.0,10749.99,13,SM,Pad3,3Z,0,2672.02,69.76954289802548,69.73777759190331,3825.76,3829.7799999999997
0,,FORAKER 1207 1SMH-11,2019-04-07,0.0,724.0,,1149.6,2515.0,3946.0,1807.2667,0.0,FLOW,64.0,11899.59,14,SM,Pad3,3Z,0,2506.07,68.55296019607897,68.62959122414452,3664.6,3655.67
0,,FORAKER 1207 1SMH-11,2019-04-08,0.0,703.0,,1115.01,2267.0,4122.0,1802.01,0.0,FLOW,64.0,13014.6,15,SM,Pad3,3Z,0,2285.12,67.2068420913318,67.03114420122944,3382.01,3400.13
0,,FORAKER 1207 1SMH-11,2019-04-09,0.0,691.0,,1070.54,2087.0,4111.0,1755.7067,0.0,FLOW,64.0,14085.14,16,SM,Pad3,3Z,0,2090.79,66.13640461451351,66.0957580901588,3157.54,3161.33
0,,FORAKER 1207 1SMH-11,2019-04-10,0.0,686.0,,1016.54,1928.0,4247.0,1724.3733,0.0,FLOW,64.0,15101.68,17,SM,Pad3,3Z,0,1918.15,65.36124769566803,65.47712036515041,2944.54,2934.69
0,,FORAKER 1207 1SMH-11,2019-04-11,0.0,671.0,,989.07,1776.0,4277.0,1701.9033,0.0,FLOW,64.0,16090.75,18,SM,Pad3,3Z,0,1783.09,64.32132344453423,64.22983866592888,2765.07,2772.16
0,,FORAKER 1207 1SMH-11,2019-04-12,0.0,658.0,,921.1,1655.0,4389.0,1652.6,0.0,FLOW,64.0,17011.85,19,SM,Pad3,3Z,0,1643.29,64.08112650571871,64.24440045029309,2576.1,2564.39
0,,FORAKER 1207 1SMH-11,2019-04-13,0.0,643.0,,920.68,1516.0,4114.0,1606.3467,0.0,FLOW,64.0,17932.53,20,SM,Pad3,3Z,0,1529.55,62.424751962060704,62.215801828717765,2436.68,2450.23
0,,FORAKER 1207 1SMH-11,2019-04-14,0.0,621.0,,889.45,1434.0,4525.0,1643.6167,0.0,FLOW,64.0,18821.98,21,SM,Pad3,3Z,0,1431.36,61.675018635734936,61.71856506488197,2323.45,2320.81
0,,FORAKER 1207 1SMH-11,2019-04-15,0.0,616.0,,849.21,1374.0,4391.0,1581.0433,0.0,FLOW,64.0,19671.19,22,SM,Pad3,3Z,0,1362.41,61.60235483491739,61.80252877595908,2223.21,2211.62
0,,FORAKER 1207 1SMH-11,2019-04-16,0.0,595.0,,823.66,1327.0,4417.0,1559.8267,0.0,FLOW,64.0,20494.85,23,SM,Pad3,3Z,0,1315.2,61.490700653619214,61.70198915681698,2150.66,2138.86
0,,FORAKER 1207 1SMH-11,2019-04-17,0.0,595.0,,790.67,1266.0,4398.0,1523.67,0.0,FLOW,64.0,21285.52,24,SM,Pad3,3Z,0,1268.15,61.59596273593612,61.55581595491741,2056.67,2058.82
0,,FORAKER 1207 1SMH-11,2019-04-18,0.0,580.0,,767.55,1228.0,4412.0,1502.8833,0.0,FLOW,64.0,22053.07,25,SM,Pad3,3Z,0,1219.03,61.36324738998681,61.53691964621282,1995.55,1986.58
0,,FORAKER 1207 1SMH-11,2019-04-19,0.0,569.0,,730.49,1183.0,4437.0,1469.99,0.0,FLOW,64.0,22783.56,26,SM,Pad3,3Z,0,1185.38,61.87163012104162,61.82420603191028,1913.49,1915.8700000000001
0,,FORAKER 1207 1SMH-11,2019-04-20,0.0,566.0,,710.7,1129.0,4399.0,1443.8667,0.0,FLOW,64.0,23494.26,27,SM,Pad3,3Z,0,1129.56,61.38045710932151,61.36870141870957,1839.7,1840.26
0,,FORAKER 1207 1SMH-11,2019-04-21,0.0,558.0,,699.88,1054.0,4357.0,1426.0467,0.0,FLOW,64.0,24194.14,28,SM,Pad3,3Z,0,1065.62,60.35797224582271,60.09533149360275,1753.88,1765.5
0,,FORAKER 1207 1SMH-11,2019-04-22,0.0,549.0,,676.74,1023.0,4359.0,1403.24,0.0,FLOW,64.0,24870.88,29,SM,Pad3,3Z,0,1024.23,60.21446586359548,60.18567545624625,1699.74,1700.97
0,,FORAKER 1207 1SMH-11,2019-04-23,0.0,543.0,,725.66,1002.0,4435.0,1464.8267,0.0,FLOW,,25596.54,30,SM,Pad3,3Z,0,998.67,57.91640811213631,57.99752266070871,1727.6599999999999,1724.33
0,,FORAKER 1207 1SMH-11,2019-04-24,0.0,531.0,,617.22,883.0,4853.0,1426.0533,0.0,FLOW,,26213.76,31,SM,Pad3,3Z,0,883.19,58.86324404662725,58.8580341549906,1500.22,1500.41
0,,FORAKER 1207 1SMH-11,2019-04-25,0.0,524.0,,596.19,875.0,4501.0,1346.3567,0.0,FLOW,,26809.95,32,SM,Pad3,3Z,0,875.78,59.49713649055347,59.475662558880906,1471.19,1471.97
0,,FORAKER 1207 1SMH-11,2019-04-26,0.0,517.0,,617.35,850.0,4443.0,1357.85,0.0,FLOW,,27427.3,33,SM,Pad3,3Z,0,850.37,57.93816259232006,57.927556479367574,1467.35,1467.72
0,,FORAKER 1207 1SMH-11,2019-04-27,0.0,502.0,2338.0,561.11,821.0,4540.0,1317.7767,0.0,FLOW,,27988.41,34,SM,Pad3,3Z,0,821.18,59.40721556258094,59.401928934744696,1382.1100000000001,1382.29
0,,FORAKER 1207 1SMH-11,2019-04-28,0.0,495.0,,540.97,869.0,4391.0,1272.8033,0.0,FLOW,,28529.38,35,SM,Pad3,3Z,0,869.26,61.6395907050623,61.632517003907886,1409.97,1410.23
0,,FORAKER 1207 1SMH-11,2019-04-29,0.0,481.0,,577.06,985.0,4406.0,1311.3933,0.0,FLOW,,29106.44,36,SM,Pad3,3Z,0,985.85,63.07784837258704,63.057757064389335,1562.06,1562.9099999999999
0,,FORAKER 1207 1SMH-11,2019-04-30,0.0,476.0,,508.41,816.0,4358.0,1234.7433,0.0,FLOW,,29614.85,37,SM,Pad3,3Z,0,816.11,61.61552864433908,61.61234058939452,1324.41,1324.52
0,,FORAKER 1207 1SMH-11,2019-05-01,0.0,462.0,,513.37,912.0,4439.0,1253.2033,0.0,FLOW,,30128.22,38,SM,Pad3,3Z,0,912.09,63.98566076915522,63.983386769751014,1425.37,1425.46
