,PERIOD,GROSS WTR,Well
0,3/23/2019,,FORAKER 1207 1SMH-11
1,3/24/2019,,FORAKER 1207 1SMH-11
2,3/25/2019,,FORAKER 1207 1SMH-11
3,3/26/2019,1166.6,FORAKER 1207 1SMH-11
4,3/27/2019,2200.91,FORAKER 1207 1SMH-11
5,3/28/2019,2022.64,FORAKER 1207 1SMH-11
6,3/29/2019,2304.53,FORAKER 1207 1SMH-11
7,3/30/2019,2623.92,FORAKER 1207 1SMH-11
8,3/31/2019,2913.08,FORAKER 1207 1SMH-11
9,4/1/2019,3127.29,FORAKER 1207 1SMH-11
10,4/2/2019,3189.42,FORAKER 1207 1SMH-11
11,4/3/2019,3093.7,FORAKER 1207 1SMH-11
12,4/4/2019,2961.46,FORAKER 1207 1SMH-11
13,4/5/2019,2885.91,FORAKER 1207 1SMH-11
14,4/6/2019,2672.02,FORAKER 1207 1SMH-11
15,4/7/2019,2506.07,FORAKER 1207 1SMH-11
16,4/8/2019,2285.12,FORAKER 1207 1SMH-11
17,4/9/2019,2090.79,FORAKER 1207 1SMH-11
18,4/10/2019,1918.15,FORAKER 1207 1SMH-11
19,4/11/2019,1783.09,FORAKER 1207 1SMH-11
20,4/12/2019,1643.29,FORAKER 1207 1SMH-11
21,4/13/2019,1529.55,FORAKER 1207 1SMH-11
22,4/14/2019,1431.36,FORAKER 1207 1SMH-11
23,4/15/2019,1362.41,FORAKER 1207 1SMH-11
24,4/16/2019,1315.2,FORAKER 1207 1SMH-11
25,4/17/2019,1268.15,FORAKER 1207 1SMH-11
26,4/18/2019,1219.03,FORAKER 1207 1SMH-11
27,4/19/2019,1185.38,FORAKER 1207 1SMH-11
28,4/20/2019,1129.56,FORAKER 1207 1SMH-11
29,4/21/2019,1065.62,FORAKER 1207 1SMH-11
30,4/22/2019,1024.23,FORAKER 1207 1SMH-11
31,4/23/2019,998.67,FORAKER 1207 1SMH-11
32,4/24/2019,883.19,FORAKER 1207 1SMH-11
33,4/25/2019,875.78,FORAKER 1207 1SMH-11
34,4/26/2019,850.37,FORAKER 1207 1SMH-11
35,4/27/2019,821.18,FORAKER 1207 1SMH-11
36,4/28/2019,869.26,FORAKER 1207 1SMH-11
37,4/29/2019,985.85,FORAKER 1207 1SMH-11
38,4/30/2019,816.11,FORAKER 1207 1SMH-11
39,5/1/2019,912.09,FORAKER 1207 1SMH-11
40,5/2/2019,862.79,FORAKER 1207 1SMH-11
41,5/3/2019,857.22,FORAKER 1207 1SMH-11
42,5/4/2019,829.65,FORAKER 1207 1SMH-11
43,5/5/2019,809.89,FORAKER 1207 1SMH-11
44,5/6/2019,787.37,FORAKER 1207 1SMH-11
45,5/7/2019,778.05,FORAKER 1207 1SMH-11
46,5/8/2019,755.69,FORAKER 1207 1SMH-11
47,5/9/2019,738.16,FORAKER 1207 1SMH-11
48,5/10/2019,724.57,FORAKER 1207 1SMH-11
49,5/11/2019,710.05,FORAKER 1207 1SMH-11
50,5/12/2019,695.8,FORAKER 1207 1SMH-11
51,5/13/2019,689.18,FORAKER 1207 1SMH-11
52,5/14/2019,673.83,FORAKER 1207 1SMH-11
53,5/15/2019,611.64,FORAKER 1207 1SMH-11
54,5/16/2019,588.25,FORAKER 1207 1SMH-11
55,5/17/2019,592.38,FORAKER 1207 1SMH-11
56,5/18/2019,589.9,FORAKER 1207 1SMH-11
57,5/19/2019,582.6,FORAKER 1207 1SMH-11
58,5/20/2019,580.12,FORAKER 1207 1SMH-11
59,5/21/2019,571.63,FORAKER 1207 1SMH-11
60,5/22/2019,565.34,FORAKER 1207 1SMH-11
61,5/23/2019,557.84,FORAKER 1207 1SMH-11
62,5/24/2019,545.46,FORAKER 1207 1SMH-11
63,5/25/2019,556.64,FORAKER 1207 1SMH-11
64,5/26/2019,545.3,FORAKER 1207 1SMH-11
65,5/27/2019,539.39,FORAKER 1207 1SMH-11
66,5/28/2019,531.82,FORAKER 1207 1SMH-11
67,5/29/2019,525.25,FORAKER 1207 1SMH-11
68,5/30/2019,520.05,FORAKER 1207 1SMH-11
69,5/31/2019,513.95,FORAKER 1207 1SMH-11
70,6/1/2019,511.71,FORAKER 1207 1SMH-11
71,6/2/2019,507.22,FORAKER 1207 1SMH-11
72,6/3/2019,497.92,FORAKER 1207 1SMH-11
73,6/4/2019,503.12,FORAKER 1207 1SMH-11
74,6/5/2019,496.36,FORAKER 1207 1SMH-11
75,6/6/2019,491.12,FORAKER 1207 1SMH-11
76,6/7/2019,485.61,FORAKER 1207 1SMH-11
77,6/8/2019,487.63,FORAKER 1207 1SMH-11
78,6/9/2019,477.94,FORAKER 1207 1SMH-11
79,6/10/2019,478.98,FORAKER 1207 1SMH-11
80,6/11/2019,454.47,FORAKER 1207 1SMH-11
81,6/12/2019,473.16,FORAKER 1207 1SMH-11
