,,,,WELL TREATMENT SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operator:,Anadarko Petroleum Corporation,,,Formation:,Wolfcamp Upper Delta,,"12,244 ft","5-1/2""",23.00 lbs,P-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well Name:,SilverTip 76-7 Unit A 1H,,,AFE:,2121783.CMP,,"11,239 ft","4-1/2""",13.50 lbs,P-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer:,Allie Lay,,,Max Psi:,"12,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Loving County Tx,,,Job Type:,53-Stage SW Plug & Perf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service Company:,PumpCo 2,,,,Odessa,,,Julian Weaver/ Jarvis Weaver ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage,AVERAGE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,Total
"Top Perf, ft",Data from Set Up Tab,"23,230","23,029","22,829","22,628","22,427","22,227","22,026","21,825","21,625","21,424","21,223","21,023","20,822","20,621","20,421","20,220","20,019","19,819","19,618","19,418","19,217","19,016","18,816","18,615","18,414","18,214","18,013","17,812","17,612","17,411","17,210","17,010","16,809","16,608","16,408","16,207","16,006","15,806","15,405","15,405","15,204","15,003","14,803","14,602","14,401","14,201","14,000","13,799","13,599","13,398","13,197","12,997","12,769",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Bottom Perf, ft",,"23,392","23,191","22,990","22,790","22,589","22,388","22,188","21,987","21,786","21,586","21,385","21,184","20,984","20,783","20,582","20,382","20,181","19,980","19,780","19,579","19,379","19,178","18,977","18,777","18,576","18,375","18,175","17,974","17,773","17,573","17,372","17,171","16,971","16,770","16,569","16,369","16,168","15,967","15,566","15,566","15,366","15,165","14,964","14,764","14,563","14,362","14,162","13,961","13,760","13,560","13,359","13,158","12,958",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Number of perforations,,24,24,24,24,32,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
