Stage,"Top Perf, ft","Bottom Perf, ft",Number of perforations,"Plug Depth, ft","TVD, ft","Capacity Top Perf, bbl","Capacity Bottom Perf, bbl","Capacity Plug, bbl",Date,"IWHP, psi","Break, psi",Start Time,End Time,"Pump Time, h:mm","Average Rate, bpm","Average Pressure, psi","Max Rate, bpm","Max Pressure, psi","ISIP, psi","FG, psi/ft","Design, bbl/ft",Avg HHP,"15 minute SIP, psi","15% HCl Acid, bbl","Slickwater, bbl","Pump Down, bbl","Total Fluid, bbl","100 Mesh, lb","Total Proppant, lb","100 Mesh, lb","Delivered Total Prop, lb","Plexslick 957, gal","Chemplex 4-N-1, gal","Payzone 845, gal","Payzone 850, gal","Payzone 217, gal","Stim741 Gel, gal"
1,23230,23392,24,23411,12540,423.5,425.9,426.2,43223,4780,7570,0.539583333,0.904166667,0.364583333,56,11291,67,13500,6340,0.939,55,15497,29,12077,255,12362,443960,443960,443960,443960,511,7,99,38,99,30,1237
2,23029,23191,24,23210,12534,420.5,422.9,423.2,43224,5160,9050,0.621527778,0.750694444,0.129166667,58,11606,57,12230,6555,0.956,55,16499,30,8958,250,9238,248520,248520,248520,248520,366,8,67,28,67,20,1264
3,22829,22990,24,23009,12531,417.5,419.9,420.2,43224,5240,8610,0.986805556,0.176388889,0.189583333,53.7,12067,58.5,12350,5730,0.89,55,15882,26,13194,241,13462,502480,502480,502480,502480,570,7,111,42,111,20,1111
4,22628,22790,24,22809,12523,414.5,416.9,417.2,43225,5095,8300,0.434027778,0.625694444,0.191666667,57.5,11747,59.5,12270,5800,0.896,55,16555,30,14223,240,14493,504680,504680,504680,504680,596,8,118,46,118,20,1251
5,22427,22589,32,22608,12509,411.5,413.9,414.2,43225,4860,9580,0.839583333,0.008333333,0.16875,58.6,11951,63.5,12300,6020,0.914,55,17165,29,12109,224,12362,496340,496340,496340,496340,503,7,102,38,102,20,1206
6,22227,22388,24,22407,12505,408.5,410.9,411.2,43226,4790,8250,0.228472222,0.385416667,0.156944444,59.2,11574,62.8,12150,6085,0.92,55,16794,30,11793,210,12033,484500,484500,484500,484500,483,8,99,37,99,20,1261
7,22026,22188,24,22207,12513,405.5,407.9,408.2,43226,48000,8050,0.670833333,0.923611111,0.252777778,61,12088,66,12310,5985,0.911,55,18073,29,14573,191,14793,498860,498860,498860,498860,603,7,123,46,123,20,1227
8,21825,21987,24,22006,12526,402.5,404.9,405.2,43227,4970,7770,0.15,0.442361111,0.292361111,56,11627,62,12160,6210,0.929,55,15959,30,13813,213,14056,494120,494120,494120,494120,606,8,116,45,116,20,1251
9,21625,21786,24,21805,12536,399.5,401.9,402.2,43227,4910,7910,0.631944444,0.831944444,0.2,54.6,11480,63.7,12250,6310,0.937,55,15363,29,12350,222,12600,500040,500040,500040,500040,514,7,104,39,104,20,1211
10,21424,21586,24,21605,12536,396.5,399,399.2,43228,5420,,0.046527778,0.205555556,0.159027778,58.3,11965,61.3,12250,6257,0.932,55,17097,28,11393,195,11617,500640,500640,500640,500640,473,7,96,36,96,20,1190
