wellname,collectiondate,wellapi,welluuid,fieldsampletype,fieldsampleuuid,bridge_id,sequencesampleuuid,sequencingrunid,sequencinggroup
silvertip.76.7.unit.a.2h,8/30/2018,4.23013E+13,a8ed5c1b-b28b-4c42-8ab6-6aebb0fc4b5b,produced.fluid,32364227-00ce-4f5e-b9d5-3795320fcb5f,86331,009c98a1-2f45-4446-8d6e-ce11b098a16d,20181018_1,72
silvertip.76.7.unit.a.2h,8/30/2018,4.23013E+13,a8ed5c1b-b28b-4c42-8ab6-6aebb0fc4b5b,produced.fluid,8dfbeab4-8bee-468e-97d2-de23f788751a,86332,988b4414-cd8a-40b2-8c2a-d2c3762bb297,20181018_1,72
silvertip.76.7.unit.a.2h,8/30/2018,4.23013E+13,a8ed5c1b-b28b-4c42-8ab6-6aebb0fc4b5b,produced.fluid,47a4acf5-1e9c-4dc9-a384-705e2ae55477,86333,8d8ab58a-3670-4144-b8bc-2db35a7b8a69,20181018_1,72
silvertip.76.7.unit.a.2h,8/30/2018,4.23013E+13,a8ed5c1b-b28b-4c42-8ab6-6aebb0fc4b5b,produced.fluid,05d256cc-bdf3-4440-98d0-3ab09b346bb4,86334,98671e62-de30-45c9-8e8b-175d00e381f5,20181018_1,72
silvertip.76.7.unit.a.2h,8/30/2018,4.23013E+13,a8ed5c1b-b28b-4c42-8ab6-6aebb0fc4b5b,produced.fluid,2e21fa8b-97f4-4dd0-9896-9d6bb5419aaf,86335,602ed0cf-a282-488f-8215-11fc53ad88a4,20181018_1,72
silvertip.76.7.unit.a.2h,9/25/2018,4.23013E+13,a8ed5c1b-b28b-4c42-8ab6-6aebb0fc4b5b,produced.fluid,08422d3c-71ef-43a1-8bcb-b3c75f32643a,92413,1785e013-aa5b-4ae0-98a1-261d3b77a4ca,20181023_1,76
silvertip.76.7.unit.a.2h,9/25/2018,4.23013E+13,a8ed5c1b-b28b-4c42-8ab6-6aebb0fc4b5b,produced.fluid,b071d927-a92a-460c-b843-ea89620f1a7b,92414,0ffbedac-a635-468c-b7b7-6c3afdebe885,20181023_1,76
silvertip.76.7.unit.a.2h,9/25/2018,4.23013E+13,a8ed5c1b-b28b-4c42-8ab6-6aebb0fc4b5b,produced.fluid,1493c08b-c8c8-4bc6-9402-ba9fd71d1a4e,92415,df605179-a8cc-4de2-84f0-1c091a3fa50a,20181023_1,76
silvertip.76.7.unit.a.2h,9/25/2018,4.23013E+13,a8ed5c1b-b28b-4c42-8ab6-6aebb0fc4b5b,produced.fluid,67628e2b-fa99-4207-a8fa-9f972f37d2f9,92416,68ec1348-24d5-4240-ba42-fb0c2a51f743,20181023_1,76
silvertip.76.7.unit.a.2h,9/25/2018,4.23013E+13,a8ed5c1b-b28b-4c42-8ab6-6aebb0fc4b5b,produced.fluid,614e19e2-aae1-44a9-bc81-b9557bf50ba9,92417,dad6a178-5c2b-4105-9160-bb1e54064a56,20181023_1,76
silvertip.76.7.unit.a.3h,9/25/2018,4.23013E+13,47eb018c-b8b1-45d9-b197-d420d057106d,produced.fluid,7bdccd7f-b8a0-4b15-9451-c4dc59faa714,92418,e1844847-fd07-4a49-ace9-6624fd62bad3,20181023_1,76
silvertip.76.7.unit.a.3h,9/25/2018,4.23013E+13,47eb018c-b8b1-45d9-b197-d420d057106d,produced.fluid,4e14e2a0-b89b-4be0-9c31-0a6ba15c4112,92419,ca0120ec-6a9f-4d52-9425-46f1a31c7df0,20181023_1,76
silvertip.76.7.unit.a.3h,9/25/2018,4.23013E+13,47eb018c-b8b1-45d9-b197-d420d057106d,produced.fluid,4304bce6-80d4-4d94-810d-a99e920a60ad,92420,fd980fb9-40ae-4b70-bd2f-7c540367b348,20181023_1,76
