SAP Id,Asset Name,Date,TDS,NaCl,Cl
J7516,SILVERTIP 76-10 UNIT G 1H,11/15/2017,85352.46,30643.6,49881
J7516,SILVERTIP 76-10 UNIT G 1H,4/16/2018,89669.32,32600,51974
J7516,SILVERTIP 76-10 UNIT G 1H,10/22/2018,90438.52,33900,51442
J7516,SILVERTIP 76-10 UNIT G 1H,11/27/2018,93733,35000,52532
J7516,SILVERTIP 76-10 UNIT G 1H,9/6/2018,98535.14,32200,61460
J7516,SILVERTIP 76-10 UNIT G 1H,1/18/2018,98848.34,31518.64,62404
J7516,SILVERTIP 76-10 UNIT G 1H,4/23/2019,142298,13.8,
J7517,SILVERTIP 76-10 UNIT H 1H,2/6/2018,89007.7,30729.01,53432
J7517,SILVERTIP 76-10 UNIT H 1H,10/22/2018,89604.63,33300,51516
J7517,SILVERTIP 76-10 UNIT H 1H,9/7/2018,98028.66,33500,59704
J7517,SILVERTIP 76-10 UNIT H 1H,11/26/2018,100451,33400,60973
J7518,SILVERTIP 76-11 UNIT I 1H,11/26/2018,88217,34800,47239
J7518,SILVERTIP 76-11 UNIT I 1H,10/22/2018,93456.97,34000,54515
J7518,SILVERTIP 76-11 UNIT I 1H,2/6/2018,94728.84,33428.56,56203
J7518,SILVERTIP 76-11 UNIT I 1H,9/7/2018,96655.53,31900,59704
J7518,SILVERTIP 76-11 UNIT I 1H,4/23/2019,148141,14.4,
J6662,SILVERTIP 76-11 UNIT J 1H,7/13/2018,85590.6,33100,47570
J6662,SILVERTIP 76-11 UNIT J 1H,11/9/2018,88417,29800,53202
J6662,SILVERTIP 76-11 UNIT J 1H,9/7/2018,98564.96,33900,59704
J6662,SILVERTIP 76-11 UNIT J 1H,11/26/2018,117491,44700,65006
J6662,SILVERTIP 76-11 UNIT J 1H,4/23/2019,145985,15.4,
J7520,SILVERTIP 76-12 UNIT K 1H,7/13/2018,89141.48,33500,50562
J7520,SILVERTIP 76-12 UNIT K 1H,9/7/2018,104802,37800,61460
J7520,SILVERTIP 76-12 UNIT K 1H,11/26/2018,112890,34400,71951
J7520,SILVERTIP 76-12 UNIT K 1H,4/23/2019,149466,14.6,
J6663,SILVERTIP 76-12 UNIT L 1H,1/18/2018,86190.19,30599.06,50847
J6663,SILVERTIP 76-12 UNIT L 1H,12/20/2017,88074.98,32019.11,50773
J6663,SILVERTIP 76-12 UNIT L 1H,4/16/2018,90513.05,31200,54602
J6663,SILVERTIP 76-12 UNIT L 1H,10/22/2018,99389.01,34300,60007
J6663,SILVERTIP 76-12 UNIT L 1H,9/6/2018,101564.7,34200,62338
J6663,SILVERTIP 76-12 UNIT L 1H,4/23/2019,144406,14.3,
J7521,SILVERTIP 76-13 UNIT W 1H,11/26/2018,81023,33300,41803
J7521,SILVERTIP 76-13 UNIT W 1H,7/13/2018,84938.25,33800,46047
J7521,SILVERTIP 76-13 UNIT W 1H,11/9/2018,89838,31500,52770
J7521,SILVERTIP 76-13 UNIT W 1H,9/7/2018,104017,38000,60582
J7521,SILVERTIP 76-13 UNIT W 1H,4/23/2019,146633,14.6,
J6667,SILVERTIP 76-13 X 1H,12/20/2017,75168.05,28698.44,41477
J6667,SILVERTIP 76-13 X 1H,4/16/2018,85730.63,28500,52859
J6667,SILVERTIP 76-13 X 1H,1/18/2018,87926.91,31706.03,51599
J6667,SILVERTIP 76-13 X 1H,10/22/2018,93808.9,33800,55141
J6667,SILVERTIP 76-13 X 1H,9/7/2018,103057.7,36500,61460
J6667,SILVERTIP 76-13 X 1H,11/26/2018,105958,37000,62476
J6667,SILVERTIP 76-13 X 1H,4/23/2019,136545,15.3,
J7519,SILVERTIP 76-14 UNIT U 1H,3/1/2018,79552.2,25313,50162
J7519,SILVERTIP 76-14 UNIT U 1H,11/26/2018,92153,34400,51594
J7519,SILVERTIP 76-14 UNIT U 1H,10/22/2018,93635.81,34000,54626
J7519,SILVERTIP 76-14 UNIT U 1H,9/7/2018,104382.7,36500,62338
J7519,SILVERTIP 76-14 UNIT U 1H,4/23/2019,155733,14.2,
J6666,SILVERTIP 76-14 V 1H,7/13/2018,91139.49,34200,51952
J6666,SILVERTIP 76-14 V 1H,11/9/2018,93628,31700,56184
J6666,SILVERTIP 76-14 V 1H,9/6/2018,116569.5,49400,61460
J6666,SILVERTIP 76-14 V 1H,4/23/2019,157849,13.3,
J6665,SILVERTIP 76-15 T 1H,10/22/2018,83280.73,33600,44884
J6665,SILVERTIP 76-15 T 1H,3/1/2018,84208.73,27506.34,52312
J6665,SILVERTIP 76-15 T 1H,11/26/2018,92245,33100,53077
J6665,SILVERTIP 76-15 T 1H,9/7/2018,104074.1,37900,60582
J6665,SILVERTIP 76-15 T 1H,4/23/2019,130350,13.2,
J1064,SILVERTIP 76-15 UNIT S 1H,11/15/2017,82435.49,29308.59,48680
J1064,SILVERTIP 76-15 UNIT S 1H,1/18/2018,84251.03,31221.05,48455
J1064,SILVERTIP 76-15 UNIT S 1H,4/16/2018,85335.69,29400,51325
J1064,SILVERTIP 76-15 UNIT S 1H,10/22/2018,89521.24,32600,52157
J1064,SILVERTIP 76-15 UNIT S 1H,11/27/2018,91384,33600,51879
J1064,SILVERTIP 76-15 UNIT S 1H,9/6/2018,97458.26,32900,59704
J1064,SILVERTIP 76-15 UNIT S 1H,4/23/2019,144483,15.2,
J7515,SILVERTIP 76-16 UNIT Q 1H,4/16/2018,78789.65,26200,48552
J7515,SILVERTIP 76-16 UNIT Q 1H,1/18/2018,79146.63,28860.64,45945
J7515,SILVERTIP 76-16 UNIT Q 1H,10/17/2017,83495.92,29082.87,50083
J7515,SILVERTIP 76-16 UNIT Q 1H,1/9/2019,86950,32500,48812
J7515,SILVERTIP 76-16 UNIT Q 1H,11/27/2018,90458,31400,53479
J7515,SILVERTIP 76-16 UNIT Q 1H,4/23/2019,131172,17.2,
J3515,SILVERTIP 76-16 UNIT R 1H,11/15/2017,80817.91,28426.93,47969
J3515,SILVERTIP 76-16 UNIT R 1H,4/16/2018,82996.31,28500,50005
J3515,SILVERTIP 76-16 UNIT R 1H,11/27/2018,84458,32300,46606
J3515,SILVERTIP 76-16 UNIT R 1H,1/18/2018,87478.79,31240.59,51463
J3515,SILVERTIP 76-16 UNIT R 1H,10/22/2018,88631.38,33200,50498
J3515,SILVERTIP 76-16 UNIT R 1H,11/1/2018,88771,31600,51336
J3515,SILVERTIP 76-16 UNIT R 1H,9/6/2018,98131.94,32600,60582
J3515,SILVERTIP 76-16 UNIT R 1H,4/23/2019,134344,14.4,
J6806,SILVERTIP 76-17 P 1H,1/18/2018,81495.6,30133.62,46838
J6806,SILVERTIP 76-17 P 1H,4/16/2018,81798.77,29000,48260
J6806,SILVERTIP 76-17 P 1H,10/17/2017,88222.62,30639.45,53000
J6806,SILVERTIP 76-17 P 1H,1/9/2019,90202,34800,49342
J6806,SILVERTIP 76-17 P 1H,4/23/2019,126229,15.2,
J4861,SILVERTIP 76-17 UNIT O 1H,4/16/2018,70700.14,26600,40030
J4861,SILVERTIP 76-17 UNIT O 1H,1/9/2019,84669,32700,46322
J4861,SILVERTIP 76-17 UNIT O 1H,11/26/2018,88640,27490,56230
J4861,SILVERTIP 76-17 UNIT O 1H,8/21/2018,89916.79,29200,56192
J4861,SILVERTIP 76-17 UNIT O 1H,1/4/2018,124984.1,49948.02,71623
J6660,SILVERTIP 76-18 N 1H,1/4/2018,82976.35,29487.59,49096
J6660,SILVERTIP 76-18 N 1H,11/26/2018,109753,51400,54117
J6660,SILVERTIP 76-18 N 1H,1/9/2019,130894,53700,72583
J6660,SILVERTIP 76-18 N 1H,4/23/2019,211842,10.7,
H2720,SILVERTIP 76-24 9HN,6/5/2014,178694,62227,103336
H2720,SILVERTIP 76-24 9HN,4/1/2015,193740.9,62574,118251.8
H2720,SILVERTIP 76-24 9HN,8/4/2016,198642.3,64170.4,122716.9
H2720,SILVERTIP 76-24 9HN,6/15/2015,204184.7,63614.3,126231.6
H2720,SILVERTIP 76-24 9HN,4/11/2017,247804.4,111800,125571.7
K0518,SILVERTIP 76-7 UNIT A 10H,1/9/2019,84426,31900,46779
J7528,SILVERTIP 76-7 UNIT A 1H,11/1/2018,65321,22900,38684
J7537,SILVERTIP 76-7 UNIT A 2H,10/23/2018,71907.03,26200,41574
J7538,SILVERTIP 76-7 UNIT A 3H,10/23/2018,72241.47,26800,41400
J7538,SILVERTIP 76-7 UNIT A 3H,11/1/2018,75638,24400,46282
K0513,SILVERTIP 76-7 UNIT A 5H,10/23/2018,65618.35,24500,37383
K0516,SILVERTIP 76-7 UNIT A 8H,10/23/2018,63204.17,25400,33994
K0516,SILVERTIP 76-7 UNIT A 8H,11/1/2018,72848,25000,43114
J6661,SILVERTIP 76-7 UNIT B 1H,1/4/2018,51193.37,709.11,49951
J6661,SILVERTIP 76-7 UNIT B 1H,4/16/2018,78658.9,27300,47021
J6661,SILVERTIP 76-7 UNIT B 1H,11/8/2018,81076,26700,49117
J6661,SILVERTIP 76-7 UNIT B 1H,8/3/2017,83574.22,29462.55,50159
J6661,SILVERTIP 76-7 UNIT B 1H,1/9/2019,83812,30700,47450
J6661,SILVERTIP 76-7 UNIT B 1H,11/26/2018,86730,28300,52894
K0519,SILVERTIP 76-7 UNIT B 2H,1/9/2019,81812,30200,46021
K0519,SILVERTIP 76-7 UNIT B 2H,1/9/2019,86906,31900,49181
J7513,SILVERTIP 76-8 D 1H,1/18/2018,136253.5,54893.39,77870
J7513,SILVERTIP 76-8 D 1H,10/17/2017,137334.8,58710.82,77019
J7513,SILVERTIP 76-8 D 1H,11/27/2018,137386,53300,79071
J7513,SILVERTIP 76-8 D 1H,4/23/2019,197533,11.3,
J7506,SILVERTIP 76-8 UNIT C 1H,1/4/2018,62963.54,23671.36,36742
J7506,SILVERTIP 76-8 UNIT C 1H,4/16/2018,64036.71,23900,37425
J7506,SILVERTIP 76-8 UNIT C 1H,8/3/2017,64781.51,23710,38738
J7506,SILVERTIP 76-8 UNIT C 1H,8/21/2018,66564.39,23300,40388
J7506,SILVERTIP 76-8 UNIT C 1H,11/26/2018,68194,24700,39666
J7506,SILVERTIP 76-8 UNIT C 1H,4/23/2019,102368,21,
J7514,SILVERTIP 76-9 UNIT E 1H,11/27/2018,92769,34800,51719
J7514,SILVERTIP 76-9 UNIT E 1H,1/18/2018,95973.38,32845.43,58044
J7514,SILVERTIP 76-9 UNIT E 1H,4/23/2019,141129,14.5,
H8601,SILVERTIP 76-9 UNIT F 1H,11/15/2017,80987.68,29238.43,47124
H8601,SILVERTIP 76-9 UNIT F 1H,4/16/2018,86034.44,28400,53157
H8601,SILVERTIP 76-9 UNIT F 1H,1/18/2018,90885.95,32801.37,53110
H8601,SILVERTIP 76-9 UNIT F 1H,11/27/2018,91382,33800,51566
H8601,SILVERTIP 76-9 UNIT F 1H,4/23/2019,136514,14.4,
J8547,SILVERTIP UNIT Y 1H,2/3/2019,50685,18500,29586
K2108,SILVERTIP UNIT Z 2H,2/3/2019,83812,30700,47450
