DEPT	DTC
10800.5	-999.25
10900.5	-999.25
11000.5	64.0521
11100.5	49.2653
11200.5	55.9402
11300.5	63.3536
11400.5	62.9691
11500.5	62.6718
11600.5	64.7705
11700.5	62.5863
11800.5	59.8585
11900.5	60.4516
12000.5	69.8391
12100.5	74.8688
12200.5	61.311
12300.5	67.6544
12400.5	75.8842
12500.5	90.0019
12600.5	72.044
12700.5	75.21
12800.5	72.683
12900.5	73.0026
13000.5	88.2593
13100.5	78.8238
13200.5	68.3581
13300.5	71.6189
13400.5	67.2859
13500.5	73.2617
13600.5	69.3375
13700.5	77.4071
13800.5	70.1495
13900.5	79.1687
14000.5	86.5038
14100.5	-999.25
14200.5	-999.25
