Date,hours,Elasped Time,Choke,THP,WHP,Gas Rate,Oil Rate,Water Rate
9/30/2018 0:00:00,0.00,0.00,,,,0,0.00,0.00
11/15/2018 0:00:00,1104.00,1104.00,0,0,0.0,0,0.00,0.00
11/16/2018 0:00:00,24.00,1128.00,0,0,0.0,0,0.00,0.00
11/17/2018 0:00:00,24.00,1152.00,0,0,0.0,0,0.00,0.00
11/18/2018 0:00:00,24.00,1176.00,0,0,0.0,0,0.00,0.00
11/19/2018 0:00:00,24.00,1200.00,0,0,0.0,0,0.00,0.00
11/20/2018 0:00:00,24.00,1224.00,0,0,0.0,0,0.00,0.00
11/21/2018 0:00:00,24.00,1248.00,0,0,0.0,0,0.00,0.00
11/22/2018 0:00:00,24.00,1272.00,0,0,0.0,0,0.00,0.00
11/23/2018 0:00:00,24.00,1296.00,0,0,0.0,0,0.00,0.00
11/24/2018 0:00:00,24.00,1320.00,0,0,0.0,0,0.00,0.00
11/25/2018 0:00:00,24.00,1344.00,0,0,0.0,0,0.00,0.00
11/26/2018 0:00:00,24.00,1368.00,0,0,0.0,0,0.00,0.00
11/27/2018 0:00:00,24.00,1392.00,0,0,0.0,0,0.00,0.00
11/28/2018 0:00:00,24.00,1416.00,0,0,0.0,0,0.00,0.00
11/29/2018 0:00:00,24.00,1440.00,0,0,0.0,0,0.00,0.00
11/30/2018 0:00:00,24.00,1464.00,0,0,0.0,0,0.00,0.00
12/1/2018 0:00:00,24.00,1488.00,0,0,0.0,0,0.00,0.00
12/2/2018 0:00:00,24.00,1512.00,0,0,0.0,0,0.00,0.00
12/3/2018 0:00:00,24.00,1536.00,0,0,0.0,0,0.00,0.00
12/4/2018 0:00:00,24.00,1560.00,0,0,0.0,0,0.00,0.00
12/5/2018 0:00:00,24.00,1584.00,0,0,0.0,0,0.00,0.00
12/6/2018 0:00:00,24.00,1608.00,28,0,1525.0,908.6599731,389.00,861.00
12/6/2018 0:00:02,0.00,1608.00,,,,,,
12/7/2018 0:00:00,24.00,1632.00,31,0,1515.0,1213.109985,491.00,1859.00
12/7/2018 0:00:02,0.00,1632.00,,,,,,
12/8/2018 0:00:00,24.00,1656.00,31,0,1919.0,2032.72998,652.00,2971.00
12/8/2018 0:00:02,0.00,1656.00,,,,,,
12/9/2018 0:00:00,24.00,1680.00,31,0,1953.0,1389.97998,363.00,2232.00
12/9/2018 0:00:02,0.00,1680.00,,,,,,
12/10/2018 0:00:00,24.00,1704.00,49,0,1396.0,3083.969971,1271.00,4005.00
12/10/2018 0:00:02,0.00,1704.00,,,,,,
12/10/2018 0:00:04,0.00,1704.00,,,,,,
12/11/2018 0:00:00,24.00,1728.00,49,0,1821.0,2594.899902,913.00,3621.00
12/11/2018 0:00:02,0.00,1728.00,,,,,,
12/12/2018 0:00:00,24.00,1752.00,51,0,1630.0,2098.939941,945.00,2644.00
12/12/2018 0:00:02,0.00,1752.00,,,,,,
12/12/2018 0:00:04,0.00,1752.00,,,,,,
12/13/2018 0:00:00,24.00,1776.00,51,0,1309.0,3623.27002,1586.00,4710.00
12/13/2018 0:00:02,0.00,1776.00,,,,,,
12/14/2018 0:00:00,24.00,1800.00,54,0,1273.0,4138.990234,1865.00,5446.00
12/14/2018 0:00:02,0.00,1800.00,,,,,,
12/15/2018 0:00:00,24.00,1824.00,64,0,1236.0,3112.340088,1234.00,4045.00
12/15/2018 0:00:02,0.00,1824.00,,,,,,
12/16/2018 0:00:00,24.00,1848.00,64,0,1121.0,4417.27002,1772.00,5944.00
12/17/2018 0:00:00,24.00,1872.00,64,0,1095.0,4589.589844,1815.00,6032.00
12/18/2018 0:00:00,24.00,1896.00,64,0,1034.0,2257.830078,922.00,2867.00
12/18/2018 0:00:02,0.00,1896.00,,,,,,
12/18/2018 0:00:04,0.00,1896.00,,,,,,
