Stage,AVERAGE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
"Top Perf, ft",Data from Set Up Tab,23230,23029,22829,22628,22427,22227,22026,21825,21625,21424,21223,21023,20822,20621,20421,20220,20019,19819,19618,19418,19217,19016,18816,18615,18414,18214,18013,17812,17612,17411,17210,17010,16809,16608,16408,16207,16006,15806,15405,15405,15204,15003,14803,14602,14401,14201,14000,13799,13599,13398,13197,12997,12769
"Bottom Perf, ft",,23392,23191,22990,22790,22589,22388,22188,21987,21786,21586,21385,21184,20984,20783,20582,20382,20181,19980,19780,19579,19379,19178,18977,18777,18576,18375,18175,17974,17773,17573,17372,17171,16971,16770,16569,16369,16168,15967,15566,15566,15366,15165,14964,14764,14563,14362,14162,13961,13760,13560,13359,13158,12958
Number of perforations,,24,24,24,24,32,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
"Plug Depth, ft",,23411,23210,23009,22809,22608,22407,22207,22006,21805,21605,21404,21203,21003,20802,20601,20401,20200,19999,19799,19598,19398,19197,18996,18796,18595,18394,18194,17993,17792,17592,17391,17190,16990,16789,16588,16388,16187,15986,15585,15585,15385,15184,14983,14783,14582,14381,14181,13980,13779,13579,13378,13177,12977
"TVD, ft",,12540,12534,12531,12523,12509,12505,12513,12526,12536,12536,12534,12535,12531,12525,12513,12512,12517,12519,12516,12518,12521,12520,12511,12494,12483,12487,12500,12511,12519,12514,12511,12503,12496,12493,12493,12492,12493,12492,12475,12475,12483,12476,12475,12471,12467,12466,12472,12472,12466,12456,12449,12457,12459
"Capacity Top Perf, bbl",Calculated data,423.5,420.5,417.5,414.5,411.5,408.5,405.5,402.5,399.5,396.5,393.5,390.6,387.6,384.6,381.6,378.6,375.6,372.6,369.6,366.6,363.6,360.6,357.6,354.6,351.6,348.6,345.6,342.6,339.6,336.6,333.6,330.6,327.6,324.6,321.6,318.6,315.6,312.7,306.7,306.7,303.7,300.7,297.7,294.7,291.7,288.7,285.7,282.7,279.7,276.7,273.7,270.7,267.3
"Capacity Bottom Perf, bbl",,425.9,422.9,419.9,416.9,413.9,410.9,407.9,404.9,401.9,399,396,393,390,387,384,381,378,375,372,369,366,363,360,357,354,351,348,345,342,339,336,333,330.1,327,324,321.1,318.1,315.1,309.1,309.1,306.1,303.1,300.1,297.1,294.1,291.1,288.1,285.1,282.1,279.1,276.1,273.1,270.1
"Capacity Plug, bbl",,426.2,423.2,420.2,417.2,414.2,411.2,408.2,405.2,402.2,399.2,396.2,393.2,390.3,387.3,384.3,381.3,378.3,375.3,372.3,369.3,366.3,363.3,360.3,357.3,354.3,351.3,348.3,345.3,342.3,339.3,336.3,333.3,330.3,327.3,324.3,321.3,318.3,315.3,309.4,309.4,306.4,303.4,300.4,297.4,294.4,291.4,288.4,285.4,282.4,279.4,276.4,273.4,270.4
Date,AVERAGE,43223,43224,43224,43225,43225,43226,43226,43227,43227,43228,43228,43228,43229,43229,43229,43230,43230,43231,43231,43232,43232,43232,43232,43233,43233,43234,43234,43234,43235,43235,43235,43236,43236,43237,43237,43238,43238,43238,43239,43239,43240,43240,43240,43240,43241,43241,43241,43242,43242,43242,43243,43243,43243
"IWHP, psi",6034,4780,5160,5240,5095,4860,4790,48000,4970,4910,5420,5080,5330,5460,5230,4960,5100,5030,5030,4790,5380,5540,5370,5060,5280,5350,5540,5360,5310,5490,5460,5460,5510,5480,5300,5510,5280,5140,5210,5250,5250,5320,5190,5270,5350,5460,5220,5230,5190,5070,5140,5180,5200,5220
