,Date,X,GROSS WTR
0,2019-03-23,,FORAKER 1207 1SMH-11
1,2019-03-24,,FORAKER 1207 1SMH-11
2,2019-03-25,,FORAKER 1207 1SMH-11
3,2019-03-26,1166.6,FORAKER 1207 1SMH-11
4,2019-03-27,2200.91,FORAKER 1207 1SMH-11
5,2019-03-28,2022.64,FORAKER 1207 1SMH-11
6,2019-03-29,2304.53,FORAKER 1207 1SMH-11
7,2019-03-30,2623.92,FORAKER 1207 1SMH-11
8,2019-03-31,2913.08,FORAKER 1207 1SMH-11
9,2019-04-01,3127.29,FORAKER 1207 1SMH-11
10,2019-04-02,3189.42,FORAKER 1207 1SMH-11
11,2019-04-03,3093.7,FORAKER 1207 1SMH-11
12,2019-04-04,2961.46,FORAKER 1207 1SMH-11
13,2019-04-05,2885.91,FORAKER 1207 1SMH-11
14,2019-04-06,2672.02,FORAKER 1207 1SMH-11
15,2019-04-07,2506.07,FORAKER 1207 1SMH-11
16,2019-04-08,2285.12,FORAKER 1207 1SMH-11
17,2019-04-09,2090.79,FORAKER 1207 1SMH-11
18,2019-04-10,1918.15,FORAKER 1207 1SMH-11
19,2019-04-11,1783.09,FORAKER 1207 1SMH-11
20,2019-04-12,1643.29,FORAKER 1207 1SMH-11
21,2019-04-13,1529.55,FORAKER 1207 1SMH-11
22,2019-04-14,1431.36,FORAKER 1207 1SMH-11
23,2019-04-15,1362.41,FORAKER 1207 1SMH-11
24,2019-04-16,1315.2,FORAKER 1207 1SMH-11
25,2019-04-17,1268.15,FORAKER 1207 1SMH-11
26,2019-04-18,1219.03,FORAKER 1207 1SMH-11
27,2019-04-19,1185.38,FORAKER 1207 1SMH-11
28,2019-04-20,1129.56,FORAKER 1207 1SMH-11
29,2019-04-21,1065.62,FORAKER 1207 1SMH-11
30,2019-04-22,1024.23,FORAKER 1207 1SMH-11
31,2019-04-23,998.67,FORAKER 1207 1SMH-11
32,2019-04-24,883.19,FORAKER 1207 1SMH-11
33,2019-04-25,875.78,FORAKER 1207 1SMH-11
